w,x,y,z
0.924382,0,0,-0.381468
0.923826,0,0,-0.382813
0.923064,0,0,-0.384647
0.92346,0,0,-0.383695
0.923724,0,0,-0.383059
0.923876,0,0,-0.382692
0.92241,0,0,-0.386212
0.923598,0,0,-0.383363
0.924644,0,0,-0.380833
0.923065,0,0,-0.384643
0.923725,0,0,-0.383056
0.923461,0,0,-0.383692
0.9236,0,0,-0.383359
0.924279,0,0,-0.381719
0.923461,0,0,-0.383692
0.923736,0,0,-0.383031
0.923978,0,0,-0.382446
0.923472,0,0,-0.383667
0.923991,0,0,-0.382415
0.924667,0,0,-0.380777
0.924118,0,0,-0.382108
0.923749,0,0,-0.382999
0.924658,0,0,-0.3808
0.924143,0,0,-0.382048
0.923978,0,0,-0.382445
0.924106,0,0,-0.382136
0.923214,0,0,-0.384286
0.923831,0,0,-0.382799
0.923978,0,0,-0.382445
0.923574,0,0,-0.383419
0.923956,0,0,-0.382498
0.923849,0,0,-0.382758
0.922551,0,0,-0.385874
0.924369,0,0,-0.3815
0.923978,0,0,-0.382445
0.924004,0,0,-0.382384
0.923999,0,0,-0.382394
0.923446,0,0,-0.383727
0.923839,0,0,-0.382781
0.924002,0,0,-0.382387
0.923728,0,0,-0.38305
0.923196,0,0,-0.38433
0.924522,0,0,-0.381129
0.923877,0,0,-0.38269
0.924265,0,0,-0.381752
0.923841,0,0,-0.382776
0.923722,0,0,-0.383063
0.923461,0,0,-0.383692
0.924531,0,0,-0.381107
0.923735,0,0,-0.383033
0.923722,0,0,-0.383063
