Sensor,Axis,Angular velocity,X,Y,Z,Temp
E33,X,0,-0.542879,0.691449,-0.91319,26.485882
E33,X,0,-0.59004,0.719267,-0.996685,26.468235
E33,X,0,-0.522272,0.650321,-0.961266,26.491764
E33,X,0,-0.48045,0.684135,-0.967221,26.485882
E33,X,0,-0.56941,0.705437,-1.010155,26.509411
E33,X,0,-0.549358,0.684726,-0.968505,26.50647
E33,X,0,-0.501414,0.650162,-0.981563,26.482941
E33,X,0,-0.507975,0.657079,-1.009235,26.471176
E33,X,0,-0.618746,0.630675,-0.990742,26.515295
E33,X,0,-0.549712,0.65057,-0.975568,26.500587
E33,X,0,-0.556002,0.684809,-0.996211,26.488823
E33,X,0,-0.485928,0.800345,-0.966777,26.468235
E33,X,0,-0.562498,0.712204,-1.003099,26.477058
E33,X,0,-0.576009,0.739646,-0.996327,26.488823
E33,X,0,-0.570216,0.684884,-0.948208,26.465294
E33,X,0,-0.626109,0.637511,-0.928788,26.485882
E33,X,0,-0.494191,0.677433,-0.9813,26.465294
E33,X,0,-0.564011,0.62334,-0.955277,26.468235
E33,X,0,-0.49398,0.725223,-0.939699,26.48
E33,X,0,-0.507826,0.704862,-0.96074,26.471176
E33,X,0,-0.618662,0.637508,-0.990708,26.488823
E33,X,0,-0.583586,0.678219,-1.003652,26.474117
E33,X,0,-0.577524,0.630309,-0.976183,26.459412
E33,X,0,-0.528266,0.759655,-0.912596,26.471176
E33,X,0,-0.507847,0.698036,-0.967668,26.482941
E33,X,0,-0.548962,0.732534,-0.947587,26.494705
E33,X,0,-0.502778,0.609081,-0.885246,26.488823
E33,X,0,-0.528375,0.705052,-0.974913,26.48
E33,X,0,-0.56347,0.677987,-0.941219,26.48
E33,X,0,-0.535717,0.718714,-0.906032,26.491764
E33,X,0,-0.535057,0.732428,-0.961119,26.491764
E33,X,0,-0.549544,0.684707,-0.947823,26.488823
E33,X,0,-0.562769,0.684881,-1.010128,26.474117
E33,X,0,-0.522061,0.698111,-0.919665,26.462353
E33,X,0,-0.515936,0.670679,-0.871411,26.471176
E33,X,0,-0.549047,0.705229,-0.975299,26.485882
E33,X,0,-0.542736,0.677815,-0.947728,26.477058
E33,X,0,-0.522125,0.677632,-0.940448,26.462353
E33,X,0,-0.59689,0.712506,-1.010635,26.468235
E33,X,0,-0.583789,0.71232,-0.934542,26.477058
E33,X,0,-0.529118,0.684505,-0.919861,26.488823
E33,X,0,-0.563613,0.69162,-0.906681,26.477058
E33,X,0,-0.535947,0.68457,-0.926883,26.462353
E33,X,0,-0.549686,0.698341,-0.913284,26.477058
E33,X,0,-0.507225,0.739043,-0.981254,26.485882
E33,X,0,-0.576529,0.691825,-1.003457,26.488823
E33,X,0,-0.500871,0.725282,-0.939828,26.491764
E33,X,0,-0.570629,0.671195,-0.920698,26.491764
E33,X,0,-0.562699,0.766777,-0.90631,26.477058
E33,X,0,-0.57719,0.678111,-0.94837,26.468235
E33,X,0,-0.508962,0.677452,-0.871249,26.48
E33,X,0,-0.550454,0.650495,-0.892837,26.482941
E33,X,0,-0.550601,0.623184,-0.913655,26.471176
E33,X,0,-0.569468,0.746376,-0.947905,26.482941
E33,X,0,-0.460317,0.649783,-0.953216,26.482941
E33,X,0,-0.597677,0.678307,-0.969438,26.485882
E33,X,0,-0.562871,0.691695,-0.989411,26.48
E33,X,0,-0.563549,0.712099,-0.885897,26.482941
E33,X,0,-0.543186,0.711891,-0.85104,26.488823
E33,X,0,-0.522125,0.677632,-0.940448,26.48
E33,X,0,-0.597886,0.650989,-0.983361,26.50647
E33,X,0,-0.569573,0.732717,-0.954867,26.471176
E33,X,0,-0.571169,0.63702,-0.907078,26.482941
E33,X,0,-0.541847,0.705201,-1.009641,26.468235
E33,X,0,-0.535864,0.691403,-0.92685,26.477058
E33,X,0,-0.569926,0.698561,-0.961929,26.491764
E33,X,0,-0.549358,0.684726,-0.968505,26.497646
E33,X,0,-0.529721,0.629852,-0.927024,26.468235
E33,X,0,-0.541743,0.718859,-1.00268,26.503529
E33,X,0,-0.562748,0.691707,-1.0032,26.491764
E33,X,0,-0.46029,0.718027,-0.863254,26.494705
E33,X,0,-0.555874,0.725767,-0.954643,26.494705
E33,X,0,-0.618763,0.664794,-0.942314,26.488823
E33,X,0,-0.549439,0.698366,-0.940861,26.474117
E33,X,0,-0.543688,0.629951,-0.906598,26.491764
E33,X,0,-0.495121,0.656868,-0.905565,26.488823
E33,X,0,-0.528539,0.711859,-0.947303,26.485882
E33,X,0,-0.542981,0.698263,-0.892473,26.491764
E33,X,0,-0.501204,0.697952,-0.939962,26.465294
E33,X,0,-0.47366,0.711362,-0.918698,26.500587
E33,X,0,-0.494605,0.663743,-0.95379,26.494705
E33,X,0,-0.570467,0.643914,-0.975987,26.471176
E33,X,0,-0.626419,0.63748,-0.894317,26.459412
E33,X,0,-0.543175,0.616355,-0.982502,26.497646
E33,X,0,-0.638566,0.706003,-0.983863,26.468235
E33,X,0,-0.646946,0.644496,-0.901563,26.48
E33,X,0,-0.501082,0.677492,-0.981429,26.494705
E33,X,0,-0.611437,0.685251,-0.962767,26.503529
E33,X,0,-0.515026,0.70489,-0.926397,26.468235
E33,X,0,-0.494064,0.71839,-0.939733,26.491764
E33,X,0,-0.529078,0.677685,-0.933683,26.477058
E33,X,0,-0.605085,0.651017,-0.949019,26.465294
E33,X,0,-0.52142,0.725471,-0.954001,26.477058
E33,X,0,-0.58375,0.685027,-0.976042,26.474117
E33,X,0,-0.522726,0.643451,-0.919934,26.500587
E33,X,0,-0.500726,0.73212,-0.946688,26.491764
E33,X,0,-0.584473,0.671307,-0.914061,26.48
E33,X,0,-0.535428,0.732391,-0.919753,26.482941
E33,X,0,-0.542734,0.698288,-0.92005,26.497646
E33,X,0,-0.550187,0.636874,-0.941164,26.482941
E33,X,0,-0.535366,0.732397,-0.926648,26.477058
E33,X,0,-0.570344,0.643927,-0.989775,26.48
E33,X,0,-0.570566,0.691673,-0.899915,26.491764
E33,X,0,-0.576772,0.732745,-0.920524,26.468235
E33,X,0,-0.583623,0.725984,-0.934475,26.465294
E33,X,0,-0.591242,0.650905,-0.955656,26.474117
E33,X,0,-0.584976,0.589367,-0.969619,26.491764
E33,X,0,-0.63271,0.651247,-0.942638,26.494705
E33,X,0,-0.582836,0.760184,-0.975672,26.482941
E33,X,0,-0.438421,0.724793,-0.986931,26.48
E33,X,0,-0.521957,0.711769,-0.912703,26.459412
E33,X,0,-0.569907,0.684915,-0.982679,26.497646
E33,X,0,-0.529242,0.684493,-0.906072,26.488823
E33,X,0,-0.618181,0.712621,-0.942078,26.485882
E33,X,0,-0.590558,0.691918,-0.976137,26.48
E33,X,0,-0.611478,0.692071,-0.948945,26.488823
E33,X,0,-0.535306,0.711931,-0.96122,26.447647
E33,X,0,-0.521833,0.711782,-0.926492,26.468235
E33,X,0,-0.556886,0.698369,-0.878941,26.488823
E33,X,0,-0.610938,0.726245,-0.962565,26.468235
E33,X,0,-0.535099,0.718776,-0.974975,26.474117
E33,X,0,-0.542921,0.677797,-0.927045,26.497646
E33,X,0,-0.514864,0.67761,-0.981685,26.465294
E33,X,0,-0.53586,0.732348,-0.871494,26.48
E33,X,0,-0.576116,0.705515,-1.030966,26.468235
E33,X,0,-0.542676,0.657349,-0.9823,26.45647
E33,X,0,-0.521733,0.684495,-0.974886,26.482941
E33,X,0,-0.528641,0.718673,-0.926587,26.471176
E33,X,0,-0.535285,0.718757,-0.954292,26.453529
E33,X,0,-0.576898,0.71226,-0.934413,26.465294
E33,X,0,-0.583275,0.698723,-1.010446,26.474117
E33,X,0,-0.556481,0.630168,-1.017163,26.459412
E33,X,0,-0.617456,0.746814,-0.976381,26.462353
E33,X,0,-0.612515,0.616902,-0.935527,26.465294
E33,X,0,-0.556805,0.684729,-0.906586,26.471176
E33,X,0,-0.555938,0.705288,-0.975427,26.474117
E33,X,0,-0.521772,0.711788,-0.933386,26.471176
E33,X,0,-0.576981,0.705428,-0.934447,26.48
E33,X,0,-0.556396,0.657473,-0.989451,26.45647
E33,X,0,-0.528541,0.691387,-0.974981,26.468235
E33,X,0,-0.549441,0.677893,-0.968539,26.471176
E33,X,0,-0.528995,0.684517,-0.933649,26.468235
E33,X,0,-0.542819,0.670983,-0.947762,26.465294
E33,X,0,-0.529719,0.650324,-0.899346,26.447647
E33,X,0,-0.514695,0.711747,-0.95394,26.474117
E33,X,0,-0.589976,0.739745,-0.975901,26.438824
E33,X,0,-0.576589,0.712291,-0.968885,26.459412
E33,X,0,-0.590684,0.671434,-0.990026,26.450588
E33,X,0,-0.618969,0.657949,-0.928559,26.468235
E33,X,0,-0.514218,0.745916,-0.960666,26.447647
E33,X,0,-0.52198,0.684471,-0.947309,26.447647
E33,X,0,-0.514156,0.745922,-0.96756,26.477058
E33,X,0,-0.542674,0.677822,-0.954622,26.468235
E33,X,0,-0.584211,0.61674,-1.017744,26.441765
E33,X,0,-0.54994,0.636899,-0.968741,26.441765
E33,X,0,-0.501142,0.697958,-0.946856,26.450588
E33,X,0,-0.604572,0.637421,-1.024922,26.444706
E33,X,0,-0.536504,0.684515,-0.864835,26.435883
E33,X,0,-0.563511,0.684807,-0.927397,26.471176
E33,X,0,-0.611582,0.678412,-0.955907,26.459412
E33,X,0,-0.500854,0.691163,-0.988255,26.447647
E33,X,0,-0.598857,0.616772,-0.921481,26.45647
E33,X,0,-0.557016,0.636939,-0.948187,26.459412
E33,X,0,-0.597632,0.712431,-0.927905,26.45647
E33,X,0,-0.570361,0.678046,-0.941347,26.45647
E33,X,0,-0.569992,0.65761,-1.010391,26.450588
E33,X,0,-0.535285,0.718757,-0.954292,26.462353
E33,X,0,-0.590678,0.732851,-0.906992,26.45647
E33,X,0,-0.52152,0.752758,-0.905607,26.465294
E33,X,0,-0.534396,0.746142,-1.016205,26.477058
E33,X,0,-0.515401,0.663908,-0.940387,26.459412
E33,X,0,-0.550454,0.650495,-0.892837,26.465294
E33,X,0,-0.508548,0.691142,-0.898759,26.450588
E33,X,0,-0.513849,0.72548,-1.029709,26.468235
E33,X,0,-0.467108,0.622556,-1.001738,26.48
E33,X,0,-0.536033,0.657265,-0.954595,26.453529
E33,X,0,-0.542256,0.732456,-0.926776,26.462353
E33,X,0,-0.51484,0.704909,-0.94708,26.471176
E33,X,0,-0.48606,0.718443,-1.0637,26.482941
E33,X,0,-0.570361,0.678046,-0.941347,26.497646
E33,X,0,-0.515217,0.643454,-0.988748,26.468235
E33,X,0,-0.549008,0.677936,-1.016799,26.485882
E33,X,0,-0.548798,0.725726,-0.975198,26.450588
E33,X,0,-0.556392,0.698418,-0.934095,26.482941
E33,X,0,-0.618287,0.67849,-0.976718,26.421177
E33,X,0,-0.549544,0.684707,-0.947823,26.468235
E33,X,0,-0.61187,0.685208,-0.914508,26.450588
E33,X,0,-0.51509,0.684412,-0.947181,26.497646
E33,X,0,-0.529016,0.677691,-0.940577,26.48
E33,X,0,-0.570026,0.725848,-0.913535,26.438824
E33,X,0,-0.521277,0.711837,-0.98854,26.462353
E33,X,0,-0.508346,0.657041,-0.967869,26.471176
E33,X,0,-0.54261,0.6983,-0.933839,26.453529
E33,X,0,-0.528997,0.664045,-0.961327,26.471176
E33,X,0,-0.563347,0.677999,-0.955007,26.435883
E33,X,0,-0.563223,0.678011,-0.968796,26.474117
E33,X,0,-0.549316,0.698378,-0.95465,26.459412
E33,X,0,-0.570052,0.678077,-0.975819,26.462353
E33,X,0,-0.549607,0.664228,-0.968606,26.471176
E33,X,0,-0.535306,0.711931,-0.96122,26.438824
E33,X,0,-0.529493,0.643523,-0.933851,26.453529
E33,X,0,-0.646452,0.644546,-0.956717,26.459412
E33,X,0,-0.527816,0.72558,-1.009284,26.45647
E33,X,0,-0.548736,0.725732,-0.982092,26.453529
E33,X,0,-0.52165,0.691328,-0.974852,26.450588
E33,X,0,-0.555603,0.75309,-0.947615,26.450588
E33,X,0,-0.59815,0.685083,-0.907357,26.459412
E33,X,0,-0.604649,0.692006,-0.941922,26.45647
E33,X,0,-0.50828,0.697993,-0.919408,26.468235
E33,X,0,-0.57067,0.678015,-0.906876,26.462353
E33,X,0,-0.52223,0.663973,-0.94741,26.477058
E33,X,0,-0.577026,0.671303,-0.975981,26.462353
E33,X,0,-0.549625,0.698347,-0.920179,26.459412
E33,X,0,-0.549957,0.671017,-0.920313,26.459412
E33,X,0,-0.507619,0.711707,-0.974494,26.459412
E33,X,0,-0.542593,0.664182,-0.982266,26.462353
E33,X,0,-0.527814,0.746052,-0.981606,26.45647
E33,X,0,-0.549812,0.677856,-0.927174,26.453529
E33,X,0,-0.521629,0.698154,-0.967924,26.462353
E33,X,0,-0.521441,0.718645,-0.960929,26.465294
E33,X,0,-0.515669,0.657057,-0.919738,26.441765
E33,X,0,-0.500939,0.663858,-1.015967,26.488823
E33,X,0,-0.550456,0.630023,-0.920515,26.444706
E33,X,0,-0.577167,0.70541,-0.913764,26.45647
E33,X,0,-0.508429,0.650209,-0.967903,26.453529
E33,X,0,-0.522046,0.643519,-0.995771,26.43
