Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0,-0.526428,-0.12207,-1.152039,25.350588
EXT,X,0,-0.526428,-0.1297,-1.251221,25.335882
EXT,X,0,-0.526428,-0.007629,-1.182556,25.350588
EXT,X,0,-0.526428,-0.076294,-1.205444,25.327059
EXT,X,0,-0.526428,-0.038147,-1.159668,25.344706
EXT,X,0,-0.526428,-0.068665,-1.152039,25.347647
EXT,X,0,-0.526428,-0.137329,-1.205444,25.341764
EXT,X,0,-0.526428,-0.106812,-1.174927,25.33
EXT,X,0,-0.526428,-0.137329,-1.190186,25.33
EXT,X,0,-0.526428,-0.068665,-1.235962,25.332941
EXT,X,0,-0.526428,-0.045776,-1.182556,25.327059
EXT,X,0,-0.526428,-0.061035,-1.213074,25.353529
EXT,X,0,-0.526428,-0.068665,-1.190186,25.321177
EXT,X,0,-0.526428,-0.091553,-1.220703,25.341764
EXT,X,0,-0.526428,-0.076294,-1.197815,25.344706
EXT,X,0,-0.526428,-0.076294,-1.159668,25.341764
EXT,X,0,-0.534058,0.015259,-1.213074,25.341764
EXT,X,0,-0.534058,-0.091553,-1.13678,25.350588
EXT,X,0,-0.534058,-0.1297,-1.213074,25.335882
EXT,X,0,-0.534058,-0.12207,-1.159668,25.365294
EXT,X,0,-0.534058,0.0,-1.197815,25.371176
EXT,X,0,-0.534058,-0.076294,-1.205444,25.341764
EXT,X,0,-0.534058,-0.076294,-1.190186,25.353529
EXT,X,0,-0.534058,-0.076294,-1.213074,25.341764
EXT,X,0,-0.534058,-0.045776,-1.190186,25.344706
EXT,X,0,-0.534058,-0.099182,-1.235962,25.338823
EXT,X,0,-0.534058,-0.068665,-1.190186,25.332941
EXT,X,0,-0.534058,-0.083923,-1.190186,25.335882
EXT,X,0,-0.534058,-0.068665,-1.213074,25.332941
EXT,X,0,-0.534058,-0.137329,-1.174927,25.324118
EXT,X,0,-0.534058,-0.106812,-1.25885,25.338823
EXT,X,0,-0.534058,-0.076294,-1.197815,25.327059
EXT,X,0,-0.534058,-0.030518,-1.113892,25.344706
EXT,X,0,-0.534058,-0.068665,-1.197815,25.332941
EXT,X,0,-0.534058,-0.076294,-1.266479,25.338823
