w,x,y,z
0.999993,0,0,0.003767
0.999993,0,0,-0.003869
0.999983,0,0,-0.005882
0.999996,0,0,-0.00281
0.999997,0,0,0.0025
0.99999,0,0,-0.004435
0.99999,0,0,-0.004416
0.999998,0,0,0.001848
0.999888,0,0,-0.014942
1.0,0,0,1.4e-05
0.999998,0,0,0.002206
0.999984,0,0,-0.005616
0.999993,0,0,0.00381
0.999496,0,0,-0.031752
0.999971,0,0,-0.00763
0.999993,0,0,0.003809
0.999896,0,0,-0.014449
0.999926,0,0,0.012192
0.999899,0,0,-0.014229
0.999933,0,0,-0.011606
0.999983,0,0,-0.005905
0.999992,0,0,-0.004041
0.999907,0,0,-0.013627
0.999901,0,0,-0.014082
0.999974,0,0,-0.007178
0.999899,0,0,-0.014186
0.999986,0,0,-0.005307
0.999983,0,0,-0.005803
0.999983,0,0,-0.005814
0.999998,0,0,0.002054
0.999986,0,0,0.00528
0.999995,0,0,0.00302
0.999997,0,0,-0.002613
0.999992,0,0,-0.004105
0.999897,0,0,-0.014361
0.999976,0,0,-0.006921
0.999974,0,0,-0.007161
0.999988,0,0,0.004988
0.999899,0,0,-0.014242
