w,x,y,z
0.999991,0,0,0.004146
0.999987,0,0,-0.005086
0.999979,0,0,-0.006489
0.999997,0,0,0.002519
0.999997,0,0,0.002294
0.999987,0,0,-0.005106
0.999986,0,0,-0.005228
1.0,0,0,0.000796
0.999871,0,0,-0.016044
1.0,0,0,0.000713
0.999978,0,0,-0.006592
0.999979,0,0,-0.006479
0.999991,0,0,0.004136
0.999426,0,0,-0.033875
0.999979,0,0,-0.006489
0.999991,0,0,0.004229
0.999878,0,0,-0.015594
0.999911,0,0,0.013309
0.999873,0,0,-0.01596
0.999977,0,0,-0.006846
0.999977,0,0,-0.006714
0.999987,0,0,-0.005189
0.999895,0,0,-0.014519
0.999896,0,0,-0.014426
0.99997,0,0,-0.007682
0.999893,0,0,-0.014651
0.999978,0,0,-0.006621
0.999977,0,0,-0.006724
0.999978,0,0,-0.006601
0.999997,0,0,0.002294
0.999992,0,0,0.004023
0.999997,0,0,0.002539
0.999994,0,0,-0.003595
0.999987,0,0,-0.005086
0.999878,0,0,-0.015594
0.99998,0,0,-0.006396
0.999968,0,0,-0.008039
0.999997,0,0,0.002274
0.999875,0,0,-0.015829
