yaw,pitch,roll,p1,p2,p3,p4
0.885627,0.0,0.0,0,0,0,0
2.033107,0.0,0.0,0,0,0,0
0.822662,0.0,0.0,0,0,0,0
0.651059,0.0,0.0,0,0,0,0
1.326214,0.0,0.0,0,0,0,0
0.16657,0.0,0.0,0,0,0,0
-0.778206,0.0,0.0,0,0,0,0
0.00863,0.0,0.0,0,0,0,0
-0.869602,0.0,0.0,0,0,0,0
-1.666117,0.0,0.0,0,0,0,0
-0.628313,0.0,0.0,0,0,0,0
-0.759283,0.0,0.0,0,0,0,0
0.54534,0.0,0.0,0,0,0,0
0.581975,0.0,0.0,0,0,0,0
-0.731629,0.0,0.0,0,0,0,0
-0.549053,0.0,0.0,0,0,0,0
-0.146333,0.0,0.0,0,0,0,0
0.340237,0.0,0.0,0,0,0,0
2.154969,0.0,0.0,0,0,0,0
2.57341,0.0,0.0,0,0,0,0
0.942675,0.0,0.0,0,0,0,0
-0.219116,0.0,0.0,0,0,0,0
0.378203,0.0,0.0,0,0,0,0
-1.195366,0.0,0.0,0,0,0,0
-0.063982,0.0,0.0,0,0,0,0
-0.405874,0.0,0.0,0,0,0,0
0.110791,0.0,0.0,0,0,0,0
-0.305347,0.0,0.0,0,0,0,0
0.186481,0.0,0.0,0,0,0,0
1.465544,0.0,0.0,0,0,0,0
0.168858,0.0,0.0,0,0,0,0
1.19235,0.0,0.0,0,0,0,0
-0.425656,0.0,0.0,0,0,0,0
1.110891,0.0,0.0,0,0,0,0
-1.108286,0.0,0.0,0,0,0,0
-0.702036,0.0,0.0,0,0,0,0
-0.765236,0.0,0.0,0,0,0,0
0.596451,0.0,0.0,0,0,0,0
-1.749849,0.0,0.0,0,0,0,0
-0.164329,0.0,0.0,0,0,0,0
-0.004715,0.0,0.0,0,0,0,0
1.476787,0.0,0.0,0,0,0,0
0.859174,0.0,0.0,0,0,0,0
0.455092,0.0,0.0,0,0,0,0
-0.809318,0.0,0.0,0,0,0,0
0.092579,0.0,0.0,0,0,0,0
0.295317,0.0,0.0,0,0,0,0
0.2209,0.0,0.0,0,0,0,0
0.143453,0.0,0.0,0,0,0,0
0.317495,0.0,0.0,0,0,0,0
0.539035,0.0,0.0,0,0,0,0
0.999562,0.0,0.0,0,0,0,0
0.419393,0.0,0.0,0,0,0,0
0.410169,0.0,0.0,0,0,0,0
1.586979,0.0,0.0,0,0,0,1
0.815974,0.0,0.0,0,0,0,1
-1.659035,0.0,0.0,0,0,0,1
-0.958614,0.0,0.0,0,0,0,1
-0.980097,0.0,0.0,0,0,0,1
0.517821,0.0,0.0,0,0,0,1
0.612846,0.0,0.0,0,0,0,1
1.945646,0.0,0.0,0,0,0,1
