yaw,pitch,roll,p1,p2,p3,p4
-2.448607,0.0,0.0,0,0,0,0
-1.001976,0.0,0.0,0,0,0,0
-2.48155,0.0,0.0,0,0,0,0
1.397585,0.0,0.0,0,0,0,0
1.433054,0.0,0.0,0,0,0,0
3.227257,0.0,0.0,0,0,0,0
-2.68304,0.0,0.0,0,0,0,0
-0.736686,0.0,0.0,0,0,0,0
-2.483951,0.0,0.0,0,0,0,0
-0.997562,0.0,0.0,0,0,0,0
-0.711549,0.0,0.0,0,0,0,0
-2.477767,0.0,0.0,0,0,0,0
-0.756864,0.0,0.0,0,0,0,0
1.414655,0.0,0.0,0,0,0,0
-2.689976,0.0,0.0,0,0,0,0
1.398444,0.0,0.0,0,0,0,0
-0.670485,0.0,0.0,0,0,0,0
-0.69925,0.0,0.0,0,0,0,0
0.710997,0.0,0.0,0,0,0,0
1.459045,0.0,0.0,0,0,0,0
-0.683631,0.0,0.0,0,0,0,0
1.053819,0.0,0.0,0,0,0,0
1.094967,0.0,0.0,0,0,0,0
-0.982955,0.0,0.0,0,0,0,0
-0.712088,0.0,0.0,0,0,0,0
2.795457,0.0,0.0,0,0,0,0
1.457016,0.0,0.0,0,0,0,0
1.444328,0.0,0.0,0,0,0,0
-0.969258,0.0,0.0,0,0,0,0
1.412589,0.0,0.0,0,0,0,0
-0.972059,0.0,0.0,0,0,0,0
1.05003,0.0,0.0,0,0,0,0
1.431132,0.0,0.0,0,0,0,0
-0.682434,0.0,0.0,0,0,0,0
1.416983,0.0,0.0,0,0,0,0
1.091544,0.0,0.0,0,0,0,0
-0.957796,0.0,0.0,0,0,0,0
-0.711105,0.0,0.0,0,0,0,0
1.051632,0.0,0.0,0,0,0,0
-0.965428,0.0,0.0,0,0,0,0
-2.242722,0.0,0.0,0,0,0,0
-0.727356,0.0,0.0,0,0,0,0
1.052215,0.0,0.0,0,0,0,0
1.435533,0.0,0.0,0,0,0,0
1.455531,0.0,0.0,0,0,0,0
1.440036,0.0,0.0,0,0,0,0
1.097254,0.0,0.0,0,0,0,0
1.089517,0.0,0.0,0,0,0,0
-0.373926,0.0,0.0,0,0,0,0
-0.692762,0.0,0.0,0,0,0,0
1.056407,0.0,0.0,0,0,0,0
-2.476914,0.0,0.0,0,0,0,0
-0.42625,0.0,0.0,0,0,0,0
-2.230975,0.0,0.0,0,0,0,0
-1.012295,0.0,0.0,0,0,0,1
-0.685348,0.0,0.0,0,0,0,1
1.051473,0.0,0.0,0,0,0,1
-0.685612,0.0,0.0,0,0,0,1
1.414305,0.0,0.0,0,0,0,1
2.803205,0.0,0.0,0,0,0,1
-0.96301,0.0,0.0,0,0,0,1
-1.002326,0.0,0.0,0,0,0,1
1.020805,0.0,0.0,0,0,0,1
2.458229,0.0,0.0,0,0,0,1
2.448541,0.0,0.0,0,0,0,1
-0.667439,0.0,0.0,0,0,0,1
1.05326,0.0,0.0,0,0,0,1
-0.384232,0.0,0.0,0,0,0,1
0.720335,0.0,0.0,0,0,0,1
-0.695914,0.0,0.0,0,0,0,1
-0.704055,0.0,0.0,0,0,0,1
-0.711897,0.0,0.0,0,0,0,1
-0.381878,0.0,0.0,0,0,0,1
1.041694,0.0,0.0,0,0,0,1
1.090436,0.0,0.0,0,0,0,1
-0.678414,0.0,0.0,0,0,0,1
1.048812,0.0,0.0,0,0,0,1
0.733105,0.0,0.0,0,0,0,1
0.73447,0.0,0.0,0,0,0,1
-0.690152,0.0,0.0,0,0,0,1
1.04766,0.0,0.0,0,0,0,1
1.063166,0.0,0.0,0,0,0,1
-0.680675,0.0,0.0,0,0,0,1
1.413311,0.0,0.0,0,0,0,1
1.090487,0.0,0.0,0,0,0,1
-0.678986,0.0,0.0,0,0,0,1
1.041042,0.0,0.0,0,0,0,1
-0.681318,0.0,0.0,0,0,0,1
-2.48555,0.0,0.0,0,0,0,1
-1.290122,0.0,0.0,0,0,0,1
-2.496681,0.0,0.0,0,0,0,1
0.699259,0.0,0.0,0,0,0,1
-0.384774,0.0,0.0,0,0,0,1
1.03099,0.0,0.0,0,0,0,1
-0.676602,0.0,0.0,0,0,0,1
0.700726,0.0,0.0,0,0,0,1
1.465862,0.0,0.0,0,0,0,1
3.677945,0.0,0.0,0,0,0,1
-0.349647,0.0,0.0,0,0,0,1
-0.689394,0.0,0.0,0,0,0,1
-0.37779,0.0,0.0,0,0,0,1
0.720384,0.0,0.0,0,0,0,1
0.736728,0.0,0.0,0,0,0,1
1.088202,0.0,0.0,0,0,0,1
1.084098,0.0,0.0,0,0,0,1
-2.472165,0.0,0.0,0,0,0,1
1.037209,0.0,0.0,0,0,0,1
-0.369398,0.0,0.0,0,0,0,1
2.406438,0.0,0.0,0,0,0,1
1.455615,0.0,0.0,0,0,0,1
-2.459695,0.0,0.0,0,0,1,0
1.400229,0.0,0.0,0,0,1,0
2.81488,0.0,0.0,0,0,1,0
-0.357229,0.0,0.0,0,0,1,0
1.055402,0.0,0.0,0,0,1,0
-2.469419,0.0,0.0,0,0,1,0
2.783814,0.0,0.0,0,0,1,0
-2.450795,0.0,0.0,0,0,1,0
-2.493847,0.0,0.0,0,0,1,0
-0.434841,0.0,0.0,0,0,1,0
1.417021,0.0,0.0,0,0,1,0
-2.471435,0.0,0.0,0,0,1,0
0.700353,0.0,0.0,0,0,1,0
0.738628,0.0,0.0,0,0,1,0
-2.474336,0.0,0.0,0,0,1,0
-0.100016,0.0,0.0,0,0,1,0
3.665609,0.0,0.0,0,0,1,0
2.466614,0.0,0.0,0,0,1,0
-0.361887,0.0,0.0,0,0,1,0
1.410421,0.0,0.0,0,0,1,0
0.750059,0.0,0.0,0,0,1,0
0.729173,0.0,0.0,0,0,1,0
-0.393088,0.0,0.0,0,0,1,0
1.413287,0.0,0.0,0,0,1,0
1.096035,0.0,0.0,0,0,1,0
-0.367993,0.0,0.0,0,0,1,0
-0.688517,0.0,0.0,0,0,1,0
1.053144,0.0,0.0,0,0,1,0
1.439335,0.0,0.0,0,0,1,0
-0.683104,0.0,0.0,0,0,1,0
-0.690324,0.0,0.0,0,0,1,0
