yaw,pitch,roll,p1,p2,p3,p4
-0.999373,0.0,0.0,0,0,0,0
-2.512142,0.0,0.0,0,0,0,0
1.434947,0.0,0.0,0,0,0,0
1.434319,0.0,0.0,0,0,0,0
3.247473,0.0,0.0,0,0,0,0
-2.747818,0.0,0.0,0,0,0,0
-0.713597,0.0,0.0,0,0,0,0
-2.514197,0.0,0.0,0,0,0,0
-1.001431,0.0,0.0,0,0,0,0
-0.711371,0.0,0.0,0,0,0,0
-2.51277,0.0,0.0,0,0,0,0
-0.710912,0.0,0.0,0,0,0,0
1.435805,0.0,0.0,0,0,0,0
-2.747419,0.0,0.0,0,0,0,0
1.433292,0.0,0.0,0,0,0,0
-0.713199,0.0,0.0,0,0,0,0
-0.712569,0.0,0.0,0,0,0,0
0.726296,0.0,0.0,0,0,0,0
1.435516,0.0,0.0,0,0,0,0
-0.711601,0.0,0.0,0,0,0,0
1.070485,0.0,0.0,0,0,0,0
1.070715,0.0,0.0,0,0,0,0
-1.00183,0.0,0.0,0,0,0,0
-0.713828,0.0,0.0,0,0,0,0
2.826623,0.0,0.0,0,0,0,0
1.434947,0.0,0.0,0,0,0,0
1.434549,0.0,0.0,0,0,0,0
-1.00223,0.0,0.0,0,0,0,0
1.436375,0.0,0.0,0,0,0,0
-1.000632,0.0,0.0,0,0,0,0
1.071114,0.0,0.0,0,0,0,0
1.435346,0.0,0.0,0,0,0,0
-0.71177,0.0,0.0,0,0,0,0
1.435976,0.0,0.0,0,0,0,0
1.06803,0.0,0.0,0,0,0,0
-1.002858,0.0,0.0,0,0,0,0
-0.713199,0.0,0.0,0,0,0,0
1.06803,0.0,0.0,0,0,0,0
-1.00246,0.0,0.0,0,0,0,0
-2.262304,0.0,0.0,0,0,0,0
-0.711371,0.0,0.0,0,0,0,0
1.070485,0.0,0.0,0,0,0,0
1.435747,0.0,0.0,0,0,0,0
1.435116,0.0,0.0,0,0,0,0
1.434549,0.0,0.0,0,0,0,0
1.070086,0.0,0.0,0,0,0,0
1.069058,0.0,0.0,0,0,0,0
-0.405172,0.0,0.0,0,0,0,0
-0.711941,0.0,0.0,0,0,0,0
1.072143,0.0,0.0,0,0,0,0
-2.511113,0.0,0.0,0,0,0,0
-0.402087,0.0,0.0,0,0,0,0
-2.262473,0.0,0.0,0,0,0,0
-1.000802,0.0,0.0,0,0,0,0
1.070086,0.0,0.0,0,0,0,1
-0.71217,0.0,0.0,0,0,0,1
1.435178,0.0,0.0,0,0,0,1
2.82725,0.0,0.0,0,0,0,1
-1.00223,0.0,0.0,0,0,0,1
-1.002627,0.0,0.0,0,0,0,1
1.068659,0.0,0.0,0,0,0,1
2.432994,0.0,0.0,0,0,0,1
2.433623,0.0,0.0,0,0,0,1
-0.710912,0.0,0.0,0,0,0,1
1.070485,0.0,0.0,0,0,0,1
-0.402487,0.0,0.0,0,0,0,1
0.726526,0.0,0.0,0,0,0,1
-0.711711,0.0,0.0,0,0,0,1
-0.713995,0.0,0.0,0,0,0,1
-0.713366,0.0,0.0,0,0,0,1
-0.403285,0.0,0.0,0,0,0,1
1.070086,0.0,0.0,0,0,0,1
1.069058,0.0,0.0,0,0,0,1
-0.709884,0.0,0.0,0,0,0,1
1.070715,0.0,0.0,0,0,0,1
0.727324,0.0,0.0,0,0,0,1
0.726925,0.0,0.0,0,0,0,1
-0.711941,0.0,0.0,0,0,0,1
1.067633,0.0,0.0,0,0,0,1
1.067633,0.0,0.0,0,0,0,1
-0.712969,0.0,0.0,0,0,0,1
1.434151,0.0,0.0,0,0,0,1
1.068261,0.0,0.0,0,0,0,1
-0.71217,0.0,0.0,0,0,0,1
1.068828,0.0,0.0,0,0,0,1
-0.713199,0.0,0.0,0,0,0,1
-2.51317,0.0,0.0,0,0,0,1
-1.272033,0.0,0.0,0,0,0,1
-2.509913,0.0,0.0,0,0,0,1
0.727895,0.0,0.0,0,0,0,1
-0.400312,0.0,0.0,0,0,0,1
1.067633,0.0,0.0,0,0,0,1
-0.712569,0.0,0.0,0,0,0,1
0.724472,0.0,0.0,0,0,0,1
1.436316,0.0,0.0,0,0,0,1
3.698101,0.0,0.0,0,0,0,1
-0.401858,0.0,0.0,0,0,0,1
-0.709484,0.0,0.0,0,0,0,1
-0.402886,0.0,0.0,0,0,0,1
0.730129,0.0,0.0,0,0,0,1
0.725268,0.0,0.0,0,0,0,1
1.069058,0.0,0.0,0,0,0,1
1.068659,0.0,0.0,0,0,0,1
-2.515788,0.0,0.0,0,0,0,1
1.068261,0.0,0.0,0,0,0,1
-0.404544,0.0,0.0,0,0,0,1
2.432994,0.0,0.0,0,0,0,1
1.435976,0.0,0.0,0,0,0,1
-2.51277,0.0,0.0,0,0,0,1
2.8309,0.0,0.0,0,0,1,0
-0.403115,0.0,0.0,0,0,1,0
1.069857,0.0,0.0,0,0,1,0
-2.51294,0.0,0.0,0,0,1,0
2.827647,0.0,0.0,0,0,1,0
-2.513967,0.0,0.0,0,0,1,0
-2.514993,0.0,0.0,0,0,1,0
-0.40511,0.0,0.0,0,0,1,0
1.434947,0.0,0.0,0,0,1,0
-2.512082,0.0,0.0,0,0,1,0
0.727555,0.0,0.0,0,0,1,0
0.727953,0.0,0.0,0,0,1,0
-2.513569,0.0,0.0,0,0,1,0
-0.073874,0.0,0.0,0,0,1,0
3.698331,0.0,0.0,0,0,1,0
2.431967,0.0,0.0,0,0,1,0
-0.40534,0.0,0.0,0,0,1,0
1.434151,0.0,0.0,0,0,1,0
0.724639,0.0,0.0,0,0,1,0
0.723841,0.0,0.0,0,0,1,0
-0.405571,0.0,0.0,0,0,1,0
1.433061,0.0,0.0,0,0,1,0
1.068828,0.0,0.0,0,0,1,0
-0.403915,0.0,0.0,0,0,1,0
-0.713199,0.0,0.0,0,0,1,0
1.068198,0.0,0.0,0,0,1,0
1.434487,0.0,0.0,0,0,1,0
-0.713597,0.0,0.0,0,0,1,0
-0.714625,0.0,0.0,0,0,1,0
0.725897,0.0,0.0,0,0,1,0
1.433124,0.0,0.0,0,0,1,0
2.827019,0.0,0.0,0,0,1,0
-0.714226,0.0,0.0,0,0,1,0
-0.71217,0.0,0.0,0,0,1,0
-0.403746,0.0,0.0,0,0,1,0
-2.26413,0.0,0.0,0,0,1,0
-0.713659,0.0,0.0,0,0,1,0
1.068198,0.0,0.0,0,0,1,0
-0.715884,0.0,0.0,0,0,1,0
1.433061,0.0,0.0,0,0,1,0
1.431634,0.0,0.0,0,0,1,0
-1.004515,0.0,0.0,0,0,1,0
-2.266016,0.0,0.0,0,0,1,0
-2.264759,0.0,0.0,0,0,1,0
1.069227,0.0,0.0,0,0,1,0
-1.002061,0.0,0.0,0,0,1,0
-1.001261,0.0,0.0,0,0,1,0
-0.405971,0.0,0.0,0,0,1,0
-0.714226,0.0,0.0,0,0,1,0
2.430313,0.0,0.0,0,0,1,0
-1.001261,0.0,0.0,0,0,1,0
1.430143,0.0,0.0,0,0,1,0
1.0678,0.0,0.0,0,0,1,0
-0.405571,0.0,0.0,0,0,1,0
-0.073706,0.0,0.0,0,0,1,0
3.246843,0.0,0.0,0,0,1,1
-0.404145,0.0,0.0,0,0,1,1
1.825635,0.0,0.0,0,0,1,1
1.434718,0.0,0.0,0,0,1,1
-0.713597,0.0,0.0,0,0,1,1
-1.003256,0.0,0.0,0,0,1,1
1.822155,0.0,0.0,0,0,1,1
-2.267377,0.0,0.0,0,0,1,1
-0.716911,0.0,0.0,0,0,1,1
1.064716,0.0,0.0,0,0,1,1
-0.714226,0.0,0.0,0,0,1,1
0.72338,0.0,0.0,0,0,1,1
1.068198,0.0,0.0,0,0,1,1
-1.005079,0.0,0.0,0,0,1,1
-0.404145,0.0,0.0,0,0,1,1
1.068429,0.0,0.0,0,0,1,1
-0.716514,0.0,0.0,0,0,1,1
0.722814,0.0,0.0,0,0,1,1
0.722814,0.0,0.0,0,0,1,1
-0.406599,0.0,0.0,0,0,1,1
-2.516417,0.0,0.0,0,0,1,1
1.43346,0.0,0.0,0,0,1,1
1.43346,0.0,0.0,0,0,1,1
-0.404375,0.0,0.0,0,0,1,1
-2.263961,0.0,0.0,0,0,1,1
-2.264361,0.0,0.0,0,0,1,1
-0.405971,0.0,0.0,0,0,1,1
-0.404544,0.0,0.0,0,0,1,1
0.723444,0.0,0.0,0,0,1,1
-2.264926,0.0,0.0,0,0,1,1
1.068429,0.0,0.0,0,0,1,1
1.82358,0.0,0.0,0,0,1,1
-0.713429,0.0,0.0,0,0,1,1
-0.71217,0.0,0.0,0,0,1,1
-0.714688,0.0,0.0,0,0,1,1
-0.404774,0.0,0.0,0,0,1,1
1.067401,0.0,0.0,0,0,1,1
-0.714226,0.0,0.0,0,0,1,1
-1.003256,0.0,0.0,0,0,1,1
1.067003,0.0,0.0,0,0,1,1
1.432264,0.0,0.0,0,0,1,1
0.724639,0.0,0.0,0,0,1,1
-0.405802,0.0,0.0,0,0,1,1
-0.714058,0.0,0.0,0,0,1,1
1.069227,0.0,0.0,0,0,1,1
-0.402946,0.0,0.0,0,0,1,1
0.725667,0.0,0.0,0,0,1,1
1.067171,0.0,0.0,0,0,1,1
-0.406201,0.0,0.0,0,0,1,1
1.431634,0.0,0.0,0,0,1,1
-2.267212,0.0,0.0,0,0,1,1
1.433523,0.0,0.0,0,0,1,1
-1.00246,0.0,0.0,0,0,1,1
