yaw,pitch,roll,p1,p2,p3,p4
0.210206,0.0,0.0,1,0,0,0
0.060925,0.0,0.0,1,0,0,0
-0.013658,0.0,0.0,1,0,0,0
0.160662,0.0,0.0,1,0,0,0
-0.010873,0.0,0.0,1,0,0,0
-0.14348,0.0,0.0,1,0,0,0
0.121408,0.0,0.0,1,0,0,0
0.098791,0.0,0.0,1,0,0,0
0.099569,0.0,0.0,1,0,0,0
0.091785,0.0,0.0,1,0,0,0
0.003337,0.0,0.0,1,0,0,0
0.103975,0.0,0.0,1,0,0,0
-0.109978,0.0,0.0,1,0,0,0
-0.05841,0.0,0.0,1,0,0,0
0.187089,0.0,0.0,1,0,0,0
0.155119,0.0,0.0,1,0,0,0
0.132381,0.0,0.0,1,0,0,0
-0.182791,0.0,0.0,1,0,0,0
0.083632,0.0,0.0,1,0,0,0
-0.049299,0.0,0.0,1,0,0,0
0.081478,0.0,0.0,1,0,0,0
-0.204888,0.0,0.0,1,0,0,0
0.224287,0.0,0.0,1,0,0,0
0.044663,0.0,0.0,1,0,0,0
-0.09935,0.0,0.0,1,0,0,0
0.097422,0.0,0.0,1,0,0,0
0.02453,0.0,0.0,1,0,0,0
0.165645,0.0,0.0,1,0,0,0
-0.040122,0.0,0.0,1,0,0,0
0.22419,0.0,0.0,1,0,0,0
0.15593,0.0,0.0,1,0,0,0
0.166729,0.0,0.0,1,0,0,0
0.269719,0.0,0.0,1,0,0,0
0.041701,0.0,0.0,1,0,0,0
0.077897,0.0,0.0,1,0,0,0
-0.027257,0.0,0.0,1,0,0,0
-0.093835,0.0,0.0,1,0,0,0
-0.066669,0.0,0.0,1,0,0,0
-0.113985,0.0,0.0,1,0,0,0
-0.110549,0.0,0.0,1,0,0,0
0.158528,0.0,0.0,1,0,0,0
0.179572,0.0,0.0,1,0,0,0
-0.005965,0.0,0.0,1,0,0,0
0.074153,0.0,0.0,1,0,0,0
0.054026,0.0,0.0,1,0,0,0
-0.052076,0.0,0.0,1,0,0,0
0.033718,0.0,0.0,1,0,0,0
-0.188495,0.0,0.0,1,0,0,0
0.180055,0.0,0.0,1,0,0,0
0.093191,0.0,0.0,1,0,0,0
0.327846,0.0,0.0,1,0,0,0
-0.092177,0.0,0.0,1,0,0,0
0.010701,0.0,0.0,1,0,0,0
0.011546,0.0,0.0,1,0,0,0
0.113893,0.0,0.0,1,0,0,0
-0.236975,0.0,0.0,2,2,0,1
0.257457,0.0,0.0,2,2,0,1
-0.186277,0.0,0.0,2,2,0,1
-0.167317,0.0,0.0,2,2,0,1
0.110327,0.0,0.0,2,2,0,1
-0.015053,0.0,0.0,2,2,0,1
0.152994,0.0,0.0,2,2,0,1
0.032285,0.0,0.0,2,2,0,1
-0.03965,0.0,0.0,2,2,0,1
0.042675,0.0,0.0,2,2,0,1
-0.018746,0.0,0.0,2,2,0,1
0.109207,0.0,0.0,2,2,0,1
-0.09323,0.0,0.0,2,2,0,1
0.082143,0.0,0.0,2,2,0,1
0.01657,0.0,0.0,2,2,0,1
-0.016644,0.0,0.0,2,2,0,1
0.109734,0.0,0.0,2,2,0,1
-0.01825,0.0,0.0,2,2,0,1
0.11273,0.0,0.0,2,2,0,1
0.110657,0.0,0.0,2,2,0,1
-0.185165,0.0,0.0,2,2,0,1
-0.118621,0.0,0.0,2,2,0,1
0.164459,0.0,0.0,2,2,0,1
0.04437,0.0,0.0,2,2,0,1
-0.055381,0.0,0.0,2,2,0,1
0.038848,0.0,0.0,2,2,0,1
0.036215,0.0,0.0,2,2,0,1
-0.092805,0.0,0.0,2,2,0,1
-0.042538,0.0,0.0,2,2,0,1
-0.107815,0.0,0.0,2,2,0,1
-0.015672,0.0,0.0,2,2,0,1
0.257967,0.0,0.0,2,2,0,1
0.106215,0.0,0.0,2,2,0,1
-0.017064,0.0,0.0,2,2,0,1
-0.214619,0.0,0.0,2,2,0,1
0.053693,0.0,0.0,2,2,0,1
0.037798,0.0,0.0,2,2,0,1
0.032127,0.0,0.0,2,2,0,1
0.054286,0.0,0.0,2,2,0,1
-0.134249,0.0,0.0,2,2,0,1
-0.0106,0.0,0.0,2,2,0,1
-0.047317,0.0,0.0,2,2,0,1
-0.078759,0.0,0.0,2,2,0,1
-0.03012,0.0,0.0,2,2,0,1
0.076133,0.0,0.0,2,2,0,1
0.032686,0.0,0.0,2,2,0,1
0.110699,0.0,0.0,2,2,0,1
-0.037901,0.0,0.0,2,2,0,1
0.030627,0.0,0.0,2,2,0,1
-0.088649,0.0,0.0,2,2,0,1
-0.021308,0.0,0.0,2,2,0,1
-0.002013,0.0,0.0,2,2,0,1
0.233411,0.0,0.0,2,2,0,1
-0.02208,0.0,0.0,2,2,0,1
-0.054306,0.0,0.0,1,3,1,0
0.27518,0.0,0.0,1,3,1,0
-0.249804,0.0,0.0,1,3,1,0
0.197686,0.0,0.0,1,3,1,0
-0.204272,0.0,0.0,1,3,1,0
0.22016,0.0,0.0,1,3,1,0
-0.034189,0.0,0.0,1,3,1,0
0.151805,0.0,0.0,1,3,1,0
-0.054018,0.0,0.0,1,3,1,0
-0.003346,0.0,0.0,1,3,1,0
-0.130986,0.0,0.0,1,3,1,0
0.127732,0.0,0.0,1,3,1,0
-0.153768,0.0,0.0,1,3,1,0
-0.126579,0.0,0.0,1,3,1,0
0.142761,0.0,0.0,1,3,1,0
-0.056743,0.0,0.0,1,3,1,0
-0.180955,0.0,0.0,1,3,1,0
-0.058198,0.0,0.0,1,3,1,0
0.079028,0.0,0.0,1,3,1,0
-0.131036,0.0,0.0,1,3,1,0
0.024773,0.0,0.0,1,3,1,0
0.169773,0.0,0.0,1,3,1,0
0.019196,0.0,0.0,1,3,1,0
0.019933,0.0,0.0,1,3,1,0
0.11591,0.0,0.0,1,3,1,0
-0.106822,0.0,0.0,1,3,1,0
-0.026739,0.0,0.0,1,3,1,0
-0.126826,0.0,0.0,1,3,1,0
0.070712,0.0,0.0,1,3,1,0
-0.204314,0.0,0.0,1,3,1,0
-0.185307,0.0,0.0,1,3,1,0
0.020308,0.0,0.0,1,3,1,0
0.097484,0.0,0.0,1,3,1,0
0.165923,0.0,0.0,1,3,1,0
-0.030163,0.0,0.0,1,3,1,0
0.042688,0.0,0.0,1,3,1,0
0.042888,0.0,0.0,1,3,1,0
-0.030417,0.0,0.0,1,3,1,0
0.142966,0.0,0.0,1,3,1,0
0.170182,0.0,0.0,1,3,1,0
-0.236139,0.0,0.0,1,3,1,0
0.03812,0.0,0.0,1,3,1,0
-0.0899,0.0,0.0,1,3,1,0
0.24021,0.0,0.0,1,3,1,0
0.166391,0.0,0.0,1,3,1,0
