yaw,pitch,roll,p1,p2,p3,p4
0.031466,0.0,0.0,1,0,0,0
-0.041446,0.0,0.0,1,0,0,0
0.108363,0.0,0.0,1,0,0,0
-0.06885,0.0,0.0,1,0,0,0
-0.164383,0.0,0.0,1,0,0,0
0.077044,0.0,0.0,1,0,0,0
0.05426,0.0,0.0,1,0,0,0
0.085586,0.0,0.0,1,0,0,0
0.035566,0.0,0.0,1,0,0,0
-0.041322,0.0,0.0,1,0,0,0
0.081144,0.0,0.0,1,0,0,0
-0.145935,0.0,0.0,1,0,0,0
-0.091529,0.0,0.0,1,0,0,0
0.185266,0.0,0.0,1,0,0,0
0.112494,0.0,0.0,1,0,0,0
0.10837,0.0,0.0,1,0,0,0
-0.214697,0.0,0.0,1,0,0,0
0.06248,0.0,0.0,1,0,0,0
-0.072951,0.0,0.0,1,0,0,0
0.050175,0.0,0.0,1,0,0,0
-0.233112,0.0,0.0,1,0,0,0
0.181166,0.0,0.0,1,0,0,0
0.016928,0.0,0.0,1,0,0,0
-0.145957,0.0,0.0,1,0,0,0
0.058354,0.0,0.0,1,0,0,0
0.008211,0.0,0.0,1,0,0,0
0.127132,0.0,0.0,1,0,0,0
-0.064708,0.0,0.0,1,0,0,0
0.185316,0.0,0.0,1,0,0,0
0.135339,0.0,0.0,1,0,0,0
0.135339,0.0,0.0,1,0,0,0
0.245945,0.0,0.0,1,0,0,0
0.00823,0.0,0.0,1,0,0,0
0.05424,0.0,0.0,1,0,0,0
-0.068869,0.0,0.0,1,0,0,0
-0.123292,0.0,0.0,1,0,0,0
-0.072973,0.0,0.0,1,0,0,0
-0.14179,0.0,0.0,1,0,0,0
-0.14177,0.0,0.0,1,0,0,0
0.131234,0.0,0.0,1,0,0,0
0.131241,0.0,0.0,1,0,0,0
-0.041322,0.0,0.0,1,0,0,0
0.031473,0.0,0.0,1,0,0,0
0.022755,0.0,0.0,1,0,0,0
-0.06886,0.0,0.0,1,0,0,0
0.008202,0.0,0.0,1,0,0,0
-0.237274,0.0,0.0,1,0,0,0
0.154087,0.0,0.0,1,0,0,0
0.054253,0.0,0.0,1,0,0,0
0.281059,0.0,0.0,1,0,0,0
-0.11912,0.0,0.0,1,0,0,0
-0.018635,0.0,0.0,1,0,0,0
-0.050239,0.0,0.0,1,0,0,0
0.077047,0.0,0.0,1,0,0,0
0.245855,0.0,0.0,2,2,0,1
-0.196305,0.0,0.0,2,2,0,1
-0.173665,0.0,0.0,2,2,0,1
0.099908,0.0,0.0,2,2,0,1
-0.023349,0.0,0.0,2,2,0,1
0.145922,0.0,0.0,2,2,0,1
0.026872,0.0,0.0,2,2,0,1
-0.04614,0.0,0.0,2,2,0,1
0.026872,0.0,0.0,2,2,0,1
-0.027511,0.0,0.0,2,2,0,1
0.099904,0.0,0.0,2,2,0,1
-0.100597,0.0,0.0,2,2,0,1
0.08118,0.0,0.0,2,2,0,1
0.008242,0.0,0.0,2,2,0,1
-0.027473,0.0,0.0,2,2,0,1
0.099913,0.0,0.0,2,2,0,1
-0.023368,0.0,0.0,2,2,0,1
0.103996,0.0,0.0,2,2,0,1
0.099882,0.0,0.0,2,2,0,1
-0.192157,0.0,0.0,2,2,0,1
-0.123291,0.0,0.0,2,2,0,1
0.154107,0.0,0.0,2,2,0,1
0.031026,0.0,0.0,2,2,0,1
-0.064697,0.0,0.0,2,2,0,1
0.031031,0.0,0.0,2,2,0,1
0.026883,0.0,0.0,2,2,0,1
-0.100603,0.0,0.0,2,2,0,1
-0.050269,0.0,0.0,2,2,0,1
-0.119156,0.0,0.0,2,2,0,1
-0.027528,0.0,0.0,2,2,0,1
0.250037,0.0,0.0,2,2,0,1
0.099904,0.0,0.0,2,2,0,1
-0.023352,0.0,0.0,2,2,0,1
-0.224145,0.0,0.0,2,2,0,1
0.049723,0.0,0.0,2,2,0,1
0.031009,0.0,0.0,2,2,0,1
0.026878,0.0,0.0,2,2,0,1
0.049706,0.0,0.0,2,2,0,1
-0.137664,0.0,0.0,2,2,0,1
-0.023373,0.0,0.0,2,2,0,1
-0.05508,0.0,0.0,2,2,0,1
-0.081992,0.0,0.0,2,2,0,1
-0.041957,0.0,0.0,2,2,0,1
0.068464,0.0,0.0,2,2,0,1
0.026878,0.0,0.0,2,2,0,1
0.104017,0.0,0.0,2,2,0,1
-0.050269,0.0,0.0,2,2,0,1
0.026872,0.0,0.0,2,2,0,1
-0.096452,0.0,0.0,2,2,0,1
-0.027516,0.0,0.0,2,2,0,1
-0.004698,0.0,0.0,2,2,0,1
0.227067,0.0,0.0,2,2,0,1
-0.027493,0.0,0.0,2,2,0,1
-0.059225,0.0,0.0,2,2,0,1
-0.252122,0.0,0.0,1,3,1,0
0.195863,0.0,0.0,1,3,1,0
-0.205717,0.0,0.0,1,3,1,0
0.21888,0.0,0.0,1,3,1,0
-0.036475,0.0,0.0,1,3,1,0
0.149818,0.0,0.0,1,3,1,0
-0.055142,0.0,0.0,1,3,1,0
-0.004747,0.0,0.0,1,3,1,0
-0.132499,0.0,0.0,1,3,1,0
0.126898,0.0,0.0,1,3,1,0
-0.155198,0.0,0.0,1,3,1,0
-0.128362,0.0,0.0,1,3,1,0
0.14155,0.0,0.0,1,3,1,0
-0.059309,0.0,0.0,1,3,1,0
-0.183135,0.0,0.0,1,3,1,0
-0.059307,0.0,0.0,1,3,1,0
0.076657,0.0,0.0,1,3,1,0
