raw yaw,kal yaw,p1,p2,p3,p4
103.447327,109.293037,0,3,0,1
127.71701,133.566254,0,3,0,1
129.468491,135.307114,0,3,0,1
131.56842,137.411194,0,3,0,1
136.233658,142.080399,0,3,0,1
136.323639,142.173737,0,3,0,1
136.406006,142.256561,0,3,0,1
137.216873,143.063004,0,3,0,1
137.294693,143.139221,0,3,0,1
136.667419,142.5159,0,3,0,1
137.451324,143.294861,0,3,0,1
137.532364,143.372726,0,3,0,1
137.614151,143.460114,0,3,0,1
137.697052,143.547989,0,3,0,1
138.132416,143.982925,0,3,0,1
138.589172,144.44017,0,3,0,1
138.674088,144.516479,0,3,0,1
138.765289,144.606873,0,3,0,1
140.010178,145.853149,0,3,0,1
140.558746,146.402588,0,3,0,1
141.518845,147.361023,0,3,0,1
142.534073,148.378494,0,3,0,1
144.120377,149.962891,0,3,0,1
145.722458,151.574295,0,3,0,1
147.649124,153.498611,0,3,0,1
150.063309,155.907013,0,3,0,1
153.54744,159.394684,0,3,0,1
157.098114,162.942947,0,3,0,1
160.412689,166.263016,0,3,0,1
165.036896,170.886765,0,3,0,1
169.721436,175.566467,0,3,0,1
174.005051,179.856369,0,3,0,1
175.146408,-179.006805,0,3,0,1
176.412704,-177.734528,0,3,0,1
177.96257,-176.18985,0,3,0,1
179.043137,-175.11554,0,3,0,1
-179.031769,175.109039,0,3,0,1
-176.937531,-171.085129,0,3,0,1
-174.939926,-169.089539,0,3,0,1
-173.048187,-167.200439,0,3,0,1
-171.101074,-165.253265,0,3,0,1
-169.333923,-163.487091,0,3,0,1
-166.934311,-161.083954,0,3,0,1
-164.590836,-158.74295,0,3,0,1
-162.307449,-156.45816,0,3,0,1
-160.466827,-154.621246,0,3,0,1
-157.722153,-151.874405,0,3,0,1
-155.247665,-149.406311,0,3,0,1
-152.765472,-146.919907,0,3,0,1
-150.00087,-144.154434,0,3,0,1
-147.484619,-141.639114,0,3,0,1
-144.641388,-138.792709,0,3,0,1
