raw yaw,kal yaw,p1,p2,p3,p4
-85.51844,-82.314423,0,3,0,1
-47.491943,-44.292282,0,3,0,1
-43.140419,-39.950443,0,3,0,1
-37.144314,-33.956306,0,3,0,1
-31.385405,-28.191183,0,3,0,1
-24.331259,-21.132874,0,3,0,1
-17.052414,-13.856377,0,3,0,1
-9.140332,-5.930895,0,3,0,1
-0.375302,2.830048,0,3,0,1
8.362679,11.554506,0,3,0,1
16.875902,20.070322,0,3,0,1
24.714411,27.907917,0,3,0,1
31.807184,35.00481,0,3,0,1
38.519459,41.713261,0,3,0,1
44.970989,48.163181,0,3,0,1
50.807114,54.001369,0,3,0,1
56.17762,59.369148,0,3,0,1
57.212334,60.403473,0,3,0,1
72.016541,75.235573,0,3,0,1
82.684265,85.894196,0,3,0,1
88.036209,91.234077,0,3,0,1
91.232895,94.421509,0,3,0,1
92.290062,95.476738,0,3,0,1
91.710304,94.89682,0,3,0,1
92.652252,95.844406,0,3,0,1
92.81942,96.004677,0,3,0,1
93.786995,96.97393,0,3,0,1
96.212715,99.399498,0,3,0,1
100.191193,103.381233,0,3,0,1
107.749969,110.949669,0,3,0,1
117.705925,120.908943,0,3,0,1
130.606674,133.831116,0,3,0,1
145.931931,149.157425,0,3,0,1
160.16832,163.376572,0,3,0,1
170.04451,173.241302,0,3,0,1
176.713333,179.901901,0,3,0,1
-179.196823,177.593918,0,3,0,1
-177.580368,-174.396545,0,3,0,1
-176.551544,-173.36647,0,3,0,1
-175.942169,-172.759277,0,3,0,1
-176.529709,-173.338257,0,3,0,1
-175.017487,-171.827545,0,3,0,1
-171.437393,-168.243454,0,3,0,1
-167.636673,-164.428436,0,3,0,1
-160.584473,-157.385803,0,3,0,1
-150.76152,-147.56308,0,3,0,1
-137.880814,-134.673889,0,3,0,1
-123.975891,-120.75898,0,3,0,1
-110.923439,-107.706696,0,3,0,1
-100.557976,-97.358833,0,3,0,1
-95.000473,-91.804367,0,3,0,1
-90.148888,-86.962387,0,3,0,1
-88.166504,-84.974251,0,3,0,1
-87.13504,-83.941818,0,3,0,1
-85.785553,-82.595238,0,3,0,1
-85.507874,-82.30732,0,3,0,1
-84.828339,-81.633133,0,3,0,1
-82.724022,-79.53656,0,3,0,1
-77.161766,-73.971855,0,3,0,1
-70.113182,-66.921974,0,3,0,1
-58.960224,-55.760033,0,3,0,1
-47.348686,-44.147358,0,3,0,1
-43.088993,-39.90295,0,3,0,1
-37.193485,-34.001957,0,3,0,1
-31.221279,-28.024111,0,3,0,1
-24.59812,-21.401848,0,3,0,1
-16.940102,-13.737978,0,3,0,1
-8.890968,-5.684793,0,3,0,1
-0.043055,3.161596,0,3,0,1
8.464892,11.661224,0,3,0,1
17.054022,20.247858,0,3,0,1
24.767309,27.966394,0,3,0,1
31.775616,34.972797,0,3,0,1
38.600933,41.794621,0,3,0,1
44.975971,48.170193,0,3,0,1
50.938442,54.128983,0,3,0,1
56.289207,59.479652,0,3,0,1
57.580547,60.771904,0,3,0,1
71.984901,75.198715,0,3,0,1
82.106819,85.315193,0,3,0,1
88.005096,91.204414,0,3,0,1
89.937637,93.123108,0,3,0,1
91.867752,95.056068,0,3,0,1
91.68261,94.869591,0,3,0,1
92.248337,95.437614,0,3,0,1
93.177681,96.364571,0,3,0,1
94.168648,97.349342,0,3,0,1
96.191254,99.378265,0,3,0,1
99.731453,102.924622,0,3,0,1
107.872643,111.073486,0,3,0,1
118.003174,121.212433,0,3,0,1
130.586349,133.810349,0,3,0,1
146.790955,150.022079,0,3,0,1
159.522583,162.726028,0,3,0,1
170.87059,174.071716,0,3,0,1
177.711136,-179.093948,0,3,0,1
-179.233368,177.556763,0,3,0,1
-177.604584,-174.418427,0,3,0,1
-176.988647,-173.799088,0,3,0,1
-176.374466,-173.188324,0,3,0,1
-176.142151,-172.953903,0,3,0,1
-174.594574,-171.397537,0,3,0,1
-171.852875,-168.66571,0,3,0,1
-167.08905,-163.88446,0,3,0,1
-160.465973,-157.265701,0,3,0,1
-149.667664,-146.471207,0,3,0,1
-137.924301,-134.720032,0,3,0,1
-124.018707,-120.808197,0,3,0,1
-110.724602,-107.510811,0,3,0,1
