yaw,pitch,roll,p1,p2,p3,p4
0.567281,0.0,0.0,0,0,0,0
0.516389,0.0,0.0,0,0,0,0
0.400275,0.0,0.0,0,0,0,0
0.447936,0.0,0.0,0,0,0,0
0.344971,0.0,0.0,0,0,0,0
0.447055,0.0,0.0,0,0,0,0
0.447055,0.0,0.0,0,0,0,0
0.447055,0.0,0.0,0,0,0,0
0.577321,0.0,0.0,0,0,0,0
0.322541,0.0,0.0,0,0,0,0
0.326994,0.0,0.0,0,0,0,0
0.382134,0.0,0.0,0,0,0,0
0.334275,0.0,0.0,0,0,0,0
0.379873,0.0,0.0,0,0,0,0
0.865403,0.0,0.0,0,0,0,0
0.703636,0.0,0.0,0,0,0,0
0.74922,0.0,0.0,0,0,0,0
0.857588,0.0,0.0,0,0,0,0
0.801239,0.0,0.0,0,0,0,0
0.746543,0.0,0.0,0,0,0,0
0.749835,0.0,0.0,0,0,0,0
0.699743,0.0,0.0,0,0,0,0
0.752881,0.0,0.0,0,0,0,0
0.595624,0.0,0.0,0,0,0,0
0.751393,0.0,0.0,0,0,0,0
0.750368,0.0,0.0,0,0,0,0
0.853928,0.0,0.0,0,0,0,0
0.905551,0.0,0.0,0,0,0,0
0.635047,0.0,0.0,0,0,0,0
0.810747,0.0,0.0,0,0,0,0
0.757813,0.0,0.0,0,0,0,0
0.654062,0.0,0.0,0,0,0,0
0.753605,0.0,0.0,0,0,0,0
0.750518,0.0,0.0,0,0,0,0
0.645771,0.0,0.0,0,0,0,0
0.645675,0.0,0.0,0,0,0,0
0.805734,0.0,0.0,0,0,0,0
1.636747,0.0,0.0,0,0,0,0
1.457627,0.0,0.0,0,0,0,0
1.616074,0.0,0.0,0,0,0,0
1.502638,0.0,0.0,0,0,0,0
1.145097,0.0,0.0,0,0,0,0
1.501081,0.0,0.0,0,0,0,0
1.506778,0.0,0.0,0,0,0,0
1.560721,0.0,0.0,0,0,0,0
1.451302,0.0,0.0,0,0,0,0
1.562565,0.0,0.0,0,0,0,0
1.619926,0.0,0.0,0,0,0,0
1.508594,0.0,0.0,0,0,0,0
1.558577,0.0,0.0,0,0,0,0
1.400227,0.0,0.0,0,0,0,0
1.348837,0.0,0.0,0,0,0,0
1.522731,0.0,0.0,0,0,0,0
1.514536,0.0,0.0,0,0,0,0
1.609696,0.0,0.0,0,0,0,0
1.498582,0.0,0.0,0,0,0,0
1.508594,0.0,0.0,0,0,0,0
1.347731,0.0,0.0,0,0,0,0
1.399394,0.0,0.0,0,0,0,0
1.409952,0.0,0.0,0,0,0,0
1.456944,0.0,0.0,0,0,0,0
1.56523,0.0,0.0,0,0,0,0
1.403423,0.0,0.0,0,0,0,0
1.511926,0.0,0.0,0,0,0,0
1.456656,0.0,0.0,0,0,0,0
1.401551,0.0,0.0,0,0,0,0
1.619326,0.0,0.0,0,0,0,0
1.39673,0.0,0.0,0,0,0,0
1.497968,0.0,0.0,0,0,0,0
1.564109,0.0,0.0,0,0,0,0
1.510315,0.0,0.0,0,0,0,0
1.511175,0.0,0.0,0,0,0,0
1.613247,0.0,0.0,0,0,0,0
1.506777,0.0,0.0,0,0,0,0
1.614695,0.0,0.0,0,0,0,0
1.606527,0.0,0.0,0,0,0,0
1.617302,0.0,0.0,0,0,0,0
1.572606,0.0,0.0,0,0,0,0
1.614681,0.0,0.0,0,0,0,0
1.664339,0.0,0.0,0,0,0,0
