yaw,pitch,roll,p1,p2,p3,p4
0.199504,0.0,0.0,0,0,0,0
0.029629,0.0,0.0,0,0,0,0
0.084463,0.0,0.0,0,0,0,0
-0.024056,0.0,0.0,0,0,0,0
0.083335,0.0,0.0,0,0,0,0
0.083335,0.0,0.0,0,0,0,0
-0.046764,0.0,0.0,0,0,0,0
-0.043414,0.0,0.0,0,0,0,0
0.013852,0.0,0.0,0,0,0,0
-0.036932,0.0,0.0,0,0,0,0
0.010575,0.0,0.0,0,0,0,0
0.123462,0.0,0.0,0,0,0,0
-0.041885,0.0,0.0,0,0,0,0
0.00545,0.0,0.0,0,0,0,0
0.114026,0.0,0.0,0,0,0,0
0.059226,0.0,0.0,0,0,0,0
0.005573,0.0,0.0,0,0,0,0
0.005589,0.0,0.0,0,0,0,0
-0.041697,0.0,0.0,0,0,0,0
0.005654,0.0,0.0,0,0,0,0
-0.149013,0.0,0.0,0,0,0,0
0.010884,0.0,0.0,0,0,0,0
0.006849,0.0,0.0,0,0,0,0
0.114192,0.0,0.0,0,0,0,0
0.163763,0.0,0.0,0,0,0,0
-0.101568,0.0,0.0,0,0,0,0
0.065849,0.0,0.0,0,0,0,0
0.010974,0.0,0.0,0,0,0,0
-0.092413,0.0,0.0,0,0,0,0
0.00573,0.0,0.0,0,0,0,0
-0.092413,0.0,0.0,0,0,0,0
-0.097591,0.0,0.0,0,0,0,0
0.064692,0.0,0.0,0,0,0,0
-0.043891,0.0,0.0,0,0,0,0
0.113146,0.0,0.0,0,0,0,0
0.004567,0.0,0.0,0,0,0,0
-0.363111,0.0,0.0,0,0,0,0
0.01096,0.0,0.0,0,0,0,0
0.054142,0.0,0.0,0,0,0,0
-0.047951,0.0,0.0,0,0,0,0
0.058274,0.0,0.0,0,0,0,0
0.108947,0.0,0.0,0,0,0,0
-0.097412,0.0,0.0,0,0,0,0
-0.148252,0.0,0.0,0,0,0,0
0.014158,0.0,0.0,0,0,0,0
0.014182,0.0,0.0,0,0,0,0
0.113428,0.0,0.0,0,0,0,0
0.006055,0.0,0.0,0,0,0,0
0.010163,0.0,0.0,0,0,0,0
-0.15203,0.0,0.0,0,0,0,0
-0.097186,0.0,0.0,0,0,0,0
-0.095982,0.0,0.0,0,0,0,0
-0.04343,0.0,0.0,0,0,0,0
0.064074,0.0,0.0,0,0,0,0
-0.097058,0.0,0.0,0,0,0,0
0.007429,0.0,0.0,0,0,0,0
-0.048504,0.0,0.0,0,0,0,0
-0.101019,0.0,0.0,0,0,0,0
0.119059,0.0,0.0,0,0,0,0
-0.100956,0.0,0.0,0,0,0,0
0.007531,0.0,0.0,0,0,0,0
0.060033,0.0,0.0,0,0,0,0
0.007515,0.0,0.0,0,0,0,0
0.0064,0.0,0.0,0,0,0,0
0.1138,0.0,0.0,0,0,0,0
0.007541,0.0,0.0,0,0,0,0
0.116047,0.0,0.0,0,0,0,0
0.110728,0.0,0.0,0,0,0,0
0.109586,0.0,0.0,0,0,0,0
0.071735,0.0,0.0,0,0,0,0
0.114858,0.0,0.0,0,0,0,0
0.170817,0.0,0.0,0,0,0,0
0.066375,0.0,0.0,0,0,0,0
0.168521,0.0,0.0,0,0,0,0
0.06106,0.0,0.0,0,0,0,0
0.012569,0.0,0.0,0,0,0,0
-0.037102,0.0,0.0,0,0,0,0
0.119977,0.0,0.0,0,0,0,0
0.067394,0.0,0.0,0,0,0,0
0.016574,0.0,0.0,0,0,0,0
0.115752,0.0,0.0,0,0,0,0
-0.144672,0.0,0.0,0,0,0,0
-0.14357,0.0,0.0,0,0,0,0
-0.042546,0.0,0.0,0,0,0,0
0.011146,0.0,0.0,0,0,0,0
-0.036229,0.0,0.0,0,0,0,0
0.067111,0.0,0.0,0,0,0,0
0.012215,0.0,0.0,0,0,0,0
0.116619,0.0,0.0,0,0,0,0
0.120736,0.0,0.0,0,1,0,0
0.061712,0.0,0.0,0,1,0,0
0.061687,0.0,0.0,0,1,0,0
0.012081,0.0,0.0,0,1,0,0
0.061663,0.0,0.0,0,1,0,0
-0.042811,0.0,0.0,0,1,0,0
0.017277,0.0,0.0,0,1,0,0
0.00564,0.0,0.0,0,1,0,0
-0.146232,0.0,0.0,0,1,0,0
0.060465,0.0,0.0,0,1,0,0
-0.045694,0.0,0.0,0,1,0,0
-0.150211,0.0,0.0,0,1,0,0
0.065751,0.0,0.0,0,1,0,0
-0.041709,0.0,0.0,0,1,0,0
-0.042848,0.0,0.0,0,1,0,0
-0.043983,0.0,0.0,0,1,0,0
0.055174,0.0,0.0,0,1,0,0
0.103541,0.0,0.0,0,1,0,0
0.001545,0.0,0.0,0,1,0,0
0.103533,0.0,0.0,0,1,0,0
0.000404,0.0,0.0,0,1,0,0
0.047647,0.0,0.0,0,1,0,0
-0.106847,0.0,0.0,0,1,0,0
0.005628,0.0,0.0,0,1,0,0
0.001572,0.0,0.0,0,1,0,0
0.157165,0.0,0.0,0,1,0,0
0.053984,0.0,0.0,0,1,0,0
-0.00489,0.0,0.0,0,1,0,0
-0.098918,0.0,0.0,0,1,0,0
0.000261,0.0,0.0,0,1,0,0
0.003211,0.0,0.0,0,1,0,0
0.004301,0.0,0.0,0,1,0,0
0.052723,0.0,0.0,0,1,0,0
-0.104203,0.0,0.0,0,1,0,0
-0.006226,0.0,0.0,0,1,0,0
-0.059865,0.0,0.0,0,1,0,0
-0.156824,0.0,0.0,0,1,0,0
-0.103198,0.0,0.0,0,1,0,0
-0.161987,0.0,0.0,0,1,0,0
-0.053663,0.0,0.0,0,1,0,0
-0.001237,0.0,0.0,0,1,0,0
-0.14678,0.0,0.0,0,1,0,0
-0.103415,0.0,0.0,0,1,0,0
-0.269304,0.0,0.0,0,1,0,0
0.053399,0.0,0.0,0,1,0,0
-0.004365,0.0,0.0,0,1,0,0
-0.108665,0.0,0.0,0,1,0,0
-0.05279,0.0,0.0,0,1,0,0
-0.159994,0.0,0.0,0,1,0,0
-0.059157,0.0,0.0,0,1,0,0
-0.156065,0.0,0.0,0,1,0,0
-0.058013,0.0,0.0,0,1,0,0
0.049146,0.0,0.0,0,1,0,0
0.004846,0.0,0.0,0,1,0,0
-0.054035,0.0,0.0,0,1,0,0
-0.052861,0.0,0.0,0,1,0,0
-0.103632,0.0,0.0,0,1,0,0
-0.000399,0.0,0.0,0,1,0,0
0.099793,0.0,0.0,0,1,0,0
-0.052819,0.0,0.0,0,1,0,0
-0.116683,0.0,0.0,0,1,0,0
-0.107568,0.0,0.0,0,1,0,0
0.054488,0.0,0.0,0,1,0,0
0.05451,0.0,0.0,0,1,0,0
-0.051547,0.0,0.0,0,1,0,0
-0.149622,0.0,0.0,0,2,0,0
-0.199338,0.0,0.0,0,2,0,0
-0.047458,0.0,0.0,0,2,0,0
-0.055437,0.0,0.0,0,2,0,0
-0.102151,0.0,0.0,0,2,0,0
-0.042122,0.0,0.0,0,2,0,0
-0.002943,0.0,0.0,0,2,0,0
-0.106056,0.0,0.0,0,2,0,0
0.046653,0.0,0.0,0,2,0,0
0.159196,0.0,0.0,0,2,0,0
0.153878,0.0,0.0,0,2,0,0
-0.053463,0.0,0.0,0,2,0,0
-0.043035,0.0,0.0,0,2,0,0
0.056164,0.0,0.0,0,2,0,0
0.109832,0.0,0.0,0,2,0,0
0.057355,0.0,0.0,0,2,0,0
0.050931,0.0,0.0,0,2,0,0
0.159408,0.0,0.0,0,2,0,0
-0.212873,0.0,0.0,0,2,0,0
-0.095452,0.0,0.0,0,2,0,0
0.213082,0.0,0.0,0,2,0,0
0.007857,0.0,0.0,0,2,0,0
0.006719,0.0,0.0,0,2,0,0
-0.040591,0.0,0.0,0,2,0,0
-0.102927,0.0,0.0,0,2,0,0
-0.048112,0.0,0.0,0,2,0,0
0.002613,0.0,0.0,0,2,0,0
0.002629,0.0,0.0,0,2,0,0
-0.053322,0.0,0.0,0,2,0,0
0.05098,0.0,0.0,0,2,0,0
0.04985,0.0,0.0,0,2,0,0
-0.100625,0.0,0.0,0,2,0,0
0.056253,0.0,0.0,0,2,0,0
0.00671,0.0,0.0,0,2,0,0
-0.052122,0.0,0.0,0,2,0,0
0.05512,0.0,0.0,0,2,0,0
0.109904,0.0,0.0,0,2,0,0
0.146461,0.0,0.0,0,2,0,0
0.108791,0.0,0.0,0,2,0,0
0.107707,0.0,0.0,0,2,0,0
-0.003727,0.0,0.0,0,2,0,0
0.156048,0.0,0.0,0,2,0,0
-0.004841,0.0,0.0,0,2,0,0
-0.058377,0.0,0.0,0,2,0,0
-0.00071,0.0,0.0,0,2,0,0
-0.162664,0.0,0.0,0,2,0,0
0.103645,0.0,0.0,0,2,0,0
0.098373,0.0,0.0,0,2,0,0
-0.054246,0.0,0.0,0,2,0,0
-0.107777,0.0,0.0,0,2,0,0
-0.101441,0.0,0.0,0,2,0,0
0.001824,0.0,0.0,0,2,0,0
-0.102519,0.0,0.0,0,2,0,0
-0.106477,0.0,0.0,0,2,0,0
-0.047612,0.0,0.0,0,2,0,0
-0.15368,0.0,0.0,0,2,0,0
-0.158764,0.0,0.0,0,2,0,0
-0.003177,0.0,0.0,0,2,0,0
0.007299,0.0,0.0,0,2,0,0
0.052791,0.0,0.0,0,2,0,0
-0.109085,0.0,0.0,0,2,0,0
-0.162597,0.0,0.0,0,2,0,0
-0.001981,0.0,0.0,0,2,0,0
-0.101153,0.0,0.0,0,2,0,0
-0.100002,0.0,0.0,0,2,0,0
-0.003177,0.0,0.0,0,2,0,0
0.007203,0.0,0.0,0,3,0,0
0.10396,0.0,0.0,0,3,0,0
-0.26096,0.0,0.0,0,3,0,0
0.047316,0.0,0.0,0,3,0,0
-0.159011,0.0,0.0,0,3,0,0
0.056539,0.0,0.0,0,3,0,0
-0.202537,0.0,0.0,0,3,0,0
-0.045615,0.0,0.0,0,3,0,0
0.003909,0.0,0.0,0,3,0,0
0.002709,0.0,0.0,0,3,0,0
0.052211,0.0,0.0,0,3,0,0
-0.001389,0.0,0.0,0,3,0,0
0.160551,0.0,0.0,0,3,0,0
0.052133,0.0,0.0,0,3,0,0
0.149854,0.0,0.0,0,3,0,0
-0.002628,0.0,0.0,0,3,0,0
0.207616,0.0,0.0,0,3,0,0
-0.047053,0.0,0.0,0,3,0,0
0.003699,0.0,0.0,0,3,0,0
-0.253788,0.0,0.0,0,3,0,0
0.11096,0.0,0.0,0,3,0,0
0.067851,0.0,0.0,0,3,0,0
0.007756,0.0,0.0,0,3,0,0
0.002532,0.0,0.0,0,3,0,0
0.061416,0.0,0.0,0,3,0,0
-0.101864,0.0,0.0,0,3,0,0
0.054995,0.0,0.0,0,3,0,0
0.056167,0.0,0.0,0,3,0,0
0.007768,0.0,0.0,0,3,0,0
0.100394,0.0,0.0,0,3,0,0
-0.055118,0.0,0.0,0,3,0,0
-0.002714,0.0,0.0,0,3,0,0
-0.003855,0.0,0.0,0,3,0,0
0.099217,0.0,0.0,0,3,0,0
0.056147,0.0,0.0,0,3,0,0
0.050882,0.0,0.0,0,3,0,0
0.050878,0.0,0.0,0,3,0,0
0.049733,0.0,0.0,0,3,0,0
0.049713,0.0,0.0,0,3,0,0
0.153928,0.0,0.0,0,3,0,0
0.001329,0.0,0.0,0,3,0,0
0.049676,0.0,0.0,0,3,0,0
0.156938,0.0,0.0,0,3,0,0
0.103259,0.0,0.0,0,3,0,0
0.100263,0.0,0.0,0,3,0,0
-0.052398,0.0,0.0,0,3,0,0
0.108498,0.0,0.0,0,3,0,0
-0.167066,0.0,0.0,0,3,0,0
0.044248,0.0,0.0,0,3,0,0
-0.057681,0.0,0.0,0,3,0,0
-0.159727,0.0,0.0,0,3,0,0
-0.048544,0.0,0.0,0,3,0,0
-0.111356,0.0,0.0,0,3,0,0
-0.102219,0.0,0.0,0,3,0,0
-0.214549,0.0,0.0,0,3,0,0
-0.00429,0.0,0.0,0,3,0,0
-0.05793,0.0,0.0,0,3,0,0
-0.004356,0.0,0.0,0,3,0,0
-0.05278,0.0,0.0,0,3,0,0
-0.062008,0.0,0.0,0,3,0,0
-0.003297,0.0,0.0,0,3,0,0
-0.007355,0.0,0.0,0,3,0,0
-0.056862,0.0,0.0,0,3,0,0
-0.161231,0.0,0.0,0,3,0,0
-0.060908,0.0,0.0,0,3,0,0
0.04616,0.0,0.0,0,3,0,0
-0.007384,0.0,0.0,0,3,0,0
-0.052924,0.0,0.0,0,3,0,0
-0.003392,0.0,0.0,0,3,0,0
0.050238,0.0,0.0,0,3,0,0
0.046153,0.0,0.0,0,3,0,0
0.256315,0.0,0.0,1,0,0,0
-0.06206,0.0,0.0,1,0,0,0
-0.055703,0.0,0.0,1,0,0,0
-0.105275,0.0,0.0,1,0,0,0
-0.000883,0.0,0.0,1,0,0,0
-0.00204,0.0,0.0,1,0,0,0
0.003189,0.0,0.0,1,0,0,0
0.045189,0.0,0.0,1,0,0,0
-0.099973,0.0,0.0,1,0,0,0
-0.047887,0.0,0.0,1,0,0,0
-0.054228,0.0,0.0,1,0,0,0
-0.055365,0.0,0.0,1,0,0,0
-0.00061,0.0,0.0,1,0,0,0
-0.104887,0.0,0.0,1,0,0,0
0.160287,0.0,0.0,1,0,0,0
0.051909,0.0,0.0,1,0,0,0
