X0 b'E33: x = -0.542879, y = 0.691449, z = -0.913190, temp = 26.485882\r\n'
X0 b'E33: x = -0.590040, y = 0.719267, z = -0.996685, temp = 26.468235\r\n'
X0 b'E33: x = -0.522272, y = 0.650321, z = -0.961266, temp = 26.491764\r\n'
X0 b'E33: x = -0.480450, y = 0.684135, z = -0.967221, temp = 26.485882\r\n'
X0 b'E33: x = -0.569410, y = 0.705437, z = -1.010155, temp = 26.509411\r\n'
X0 b'E33: x = -0.549358, y = 0.684726, z = -0.968505, temp = 26.506470\r\n'
X0 b'E33: x = -0.501414, y = 0.650162, z = -0.981563, temp = 26.482941\r\n'
X0 b'E33: x = -0.507975, y = 0.657079, z = -1.009235, temp = 26.471176\r\n'
X0 b'E33: x = -0.618746, y = 0.630675, z = -0.990742, temp = 26.515295\r\n'
X0 b'E33: x = -0.549712, y = 0.650570, z = -0.975568, temp = 26.500587\r\n'
X0 b'E33: x = -0.556002, y = 0.684809, z = -0.996211, temp = 26.488823\r\n'
X0 b'E33: x = -0.485928, y = 0.800345, z = -0.966777, temp = 26.468235\r\n'
X0 b'E33: x = -0.562498, y = 0.712204, z = -1.003099, temp = 26.477058\r\n'
X0 b'E33: x = -0.576009, y = 0.739646, z = -0.996327, temp = 26.488823\r\n'
X0 b'E33: x = -0.570216, y = 0.684884, z = -0.948208, temp = 26.465294\r\n'
X0 b'E33: x = -0.626109, y = 0.637511, z = -0.928788, temp = 26.485882\r\n'
X0 b'E33: x = -0.494191, y = 0.677433, z = -0.981300, temp = 26.465294\r\n'
X0 b'E33: x = -0.564011, y = 0.623340, z = -0.955277, temp = 26.468235\r\n'
X0 b'E33: x = -0.493980, y = 0.725223, z = -0.939699, temp = 26.480000\r\n'
X0 b'E33: x = -0.507826, y = 0.704862, z = -0.960740, temp = 26.471176\r\n'
X0 b'E33: x = -0.618662, y = 0.637508, z = -0.990708, temp = 26.488823\r\n'
X0 b'E33: x = -0.583586, y = 0.678219, z = -1.003652, temp = 26.474117\r\n'
X0 b'E33: x = -0.577524, y = 0.630309, z = -0.976183, temp = 26.459412\r\n'
X0 b'E33: x = -0.528266, y = 0.759655, z = -0.912596, temp = 26.471176\r\n'
X0 b'E33: x = -0.507847, y = 0.698036, z = -0.967668, temp = 26.482941\r\n'
X0 b'E33: x = -0.548962, y = 0.732534, z = -0.947587, temp = 26.494705\r\n'
X0 b'E33: x = -0.502778, y = 0.609081, z = -0.885246, temp = 26.488823\r\n'
X0 b'E33: x = -0.528375, y = 0.705052, z = -0.974913, temp = 26.480000\r\n'
X0 b'E33: x = -0.563470, y = 0.677987, z = -0.941219, temp = 26.480000\r\n'
X0 b'E33: x = -0.535717, y = 0.718714, z = -0.906032, temp = 26.491764\r\n'
X0 b'E33: x = -0.535057, y = 0.732428, z = -0.961119, temp = 26.491764\r\n'
X0 b'E33: x = -0.549544, y = 0.684707, z = -0.947823, temp = 26.488823\r\n'
X0 b'E33: x = -0.562769, y = 0.684881, z = -1.010128, temp = 26.474117\r\n'
X0 b'E33: x = -0.522061, y = 0.698111, z = -0.919665, temp = 26.462353\r\n'
X0 b'E33: x = -0.515936, y = 0.670679, z = -0.871411, temp = 26.471176\r\n'
X0 b'E33: x = -0.549047, y = 0.705229, z = -0.975299, temp = 26.485882\r\n'
X0 b'E33: x = -0.542736, y = 0.677815, z = -0.947728, temp = 26.477058\r\n'
X0 b'E33: x = -0.522125, y = 0.677632, z = -0.940448, temp = 26.462353\r\n'
X0 b'E33: x = -0.596890, y = 0.712506, z = -1.010635, temp = 26.468235\r\n'
X0 b'E33: x = -0.583789, y = 0.712320, z = -0.934542, temp = 26.477058\r\n'
X0 b'E33: x = -0.529118, y = 0.684505, z = -0.919861, temp = 26.488823\r\n'
X0 b'E33: x = -0.563613, y = 0.691620, z = -0.906681, temp = 26.477058\r\n'
X0 b'E33: x = -0.535947, y = 0.684570, z = -0.926883, temp = 26.462353\r\n'
X0 b'E33: x = -0.549686, y = 0.698341, z = -0.913284, temp = 26.477058\r\n'
X0 b'E33: x = -0.507225, y = 0.739043, z = -0.981254, temp = 26.485882\r\n'
X0 b'E33: x = -0.576529, y = 0.691825, z = -1.003457, temp = 26.488823\r\n'
X0 b'E33: x = -0.500871, y = 0.725282, z = -0.939828, temp = 26.491764\r\n'
X0 b'E33: x = -0.570629, y = 0.671195, z = -0.920698, temp = 26.491764\r\n'
X0 b'E33: x = -0.562699, y = 0.766777, z = -0.906310, temp = 26.477058\r\n'
X0 b'E33: x = -0.577190, y = 0.678111, z = -0.948370, temp = 26.468235\r\n'
X0 b'E33: x = -0.508962, y = 0.677452, z = -0.871249, temp = 26.480000\r\n'
X0 b'E33: x = -0.550454, y = 0.650495, z = -0.892837, temp = 26.482941\r\n'
X0 b'E33: x = -0.550601, y = 0.623184, z = -0.913655, temp = 26.471176\r\n'
X0 b'E33: x = -0.569468, y = 0.746376, z = -0.947905, temp = 26.482941\r\n'
X0 b'E33: x = -0.460317, y = 0.649783, z = -0.953216, temp = 26.482941\r\n'
X0 b'E33: x = -0.597677, y = 0.678307, z = -0.969438, temp = 26.485882\r\n'
X0 b'E33: x = -0.562871, y = 0.691695, z = -0.989411, temp = 26.480000\r\n'
X0 b'E33: x = -0.563549, y = 0.712099, z = -0.885897, temp = 26.482941\r\n'
X0 b'E33: x = -0.543186, y = 0.711891, z = -0.851040, temp = 26.488823\r\n'
X0 b'E33: x = -0.522125, y = 0.677632, z = -0.940448, temp = 26.480000\r\n'
X0 b'E33: x = -0.597886, y = 0.650989, z = -0.983361, temp = 26.506470\r\n'
X0 b'E33: x = -0.569573, y = 0.732717, z = -0.954867, temp = 26.471176\r\n'
X0 b'E33: x = -0.571169, y = 0.637020, z = -0.907078, temp = 26.482941\r\n'
X0 b'E33: x = -0.541847, y = 0.705201, z = -1.009641, temp = 26.468235\r\n'
X0 b'E33: x = -0.535864, y = 0.691403, z = -0.926850, temp = 26.477058\r\n'
X0 b'E33: x = -0.569926, y = 0.698561, z = -0.961929, temp = 26.491764\r\n'
X0 b'E33: x = -0.549358, y = 0.684726, z = -0.968505, temp = 26.497646\r\n'
X0 b'E33: x = -0.529721, y = 0.629852, z = -0.927024, temp = 26.468235\r\n'
X0 b'E33: x = -0.541743, y = 0.718859, z = -1.002680, temp = 26.503529\r\n'
X0 b'E33: x = -0.562748, y = 0.691707, z = -1.003200, temp = 26.491764\r\n'
