x,y,z
-90.533333,-436.933319,-90.266663
-90.400002,-436.533325,-90.400002
-90.666664,-435.200012,-90.133331
-90.800003,-435.866669,-89.733337
-91.066666,-435.866669,-90.533333
-91.066666,-436.0,-90.933334
-90.933334,-435.733337,-90.933334
-90.933334,-435.466644,-90.533333
-90.666664,-435.733337,-90.0
-90.666664,-436.399994,-89.733337
-90.800003,-436.266663,-90.0
-91.066666,-435.466644,-90.666664
-91.199997,-435.200012,-90.400002
-91.066666,-435.466644,-91.066666
-90.666664,-436.799988,-90.266663
-90.666664,-435.733337,-90.133331
-90.800003,-435.866669,-89.866669
-91.066666,-434.799988,-89.599998
-90.800003,-435.066681,-89.333336
-76.666664,-440.666656,-86.666672
-69.466667,-448.666656,-62.399998
-123.73333,-451.06665,4.4
-113.73333,-455.733337,74.533333
-124.666664,-443.733337,-41.866665
-201.866669,-409.06665,-109.066666
-265.200012,-354.133331,-85.200005
-245.333328,-316.266663,-30.666666
-202.666656,-312.933319,-35.733334
-163.866669,-326.666687,-33.466667
-158.266663,-326.266663,-12.0
-204.400009,-306.399994,14.0
-262.666656,-275.333313,50.266666
-262.533325,-271.333344,9.866667
-297.600006,-232.266678,-18.266666
-352.93335,-149.199997,-19.866667
-386.133362,-61.199997,-5.866666
-395.466644,28.933334,20.533333
-338.133301,188.266663,5.333333
-226.0,305.06665,14.266666
-113.599998,358.533325,-2.533333
-286.0,261.06665,-32.400002
-376.533325,87.866669,-47.600002
-301.466675,255.599991,-17.733334
-74.133331,361.199982,0.933333
74.0,338.266663,-26.266668
17.466667,350.400024,-36.666668
-250.800003,275.06665,-45.200001
-387.866669,46.399998,-78.26667
-383.866638,-112.933334,-43.866669
-379.199982,68.800003,-53.466667
-184.266663,330.533325,34.266666
51.466667,358.533325,3.066667
-28.800001,363.866638,-34.266666
-274.666687,259.333313,-70.266663
-332.799988,74.133331,-123.73333
-310.799988,168.799988,-111.066666
-136.800003,331.06665,-45.333332
86.133339,325.600006,-23.866669
90.133331,319.333313,-49.200001
-177.199997,319.866669,-46.133331
-340.666656,145.600006,-54.266666
-367.866669,56.666664,-78.533333
-260.93335,227.199997,-105.066673
-38.800003,323.866638,-117.866669
128.266663,313.600006,-39.599998
210.93335,244.400009,-69.599998
198.799988,242.53334,-84.0
4.533333,338.266663,-78.666672
-253.199997,264.0,-102.666664
-323.600006,84.666664,-164.266663
-359.333344,-44.133335,-121.466667
-309.599976,19.066666,-175.599991
-300.93335,32.533333,-186.933319
-325.066681,90.666664,-144.0
-340.133331,125.066673,-103.199997
-326.799988,151.199997,-99.333336
-306.666656,190.400009,-95.200005
-300.93335,219.333328,-78.0
-311.733337,228.0,-58.0
-317.600006,214.666672,-59.599998
-322.266663,205.333328,-56.399998
-348.399994,169.866653,-48.400002
-357.733337,122.933334,-60.933334
-373.866638,83.866661,-49.466667
-376.533325,-5.6,-62.666668
-314.666687,146.800003,-95.866669
-50.133331,308.266663,-133.733337
99.733337,284.666687,-139.466675
75.199997,300.133331,-145.200012
-187.600006,288.666656,-133.733337
-347.06665,106.26667,-142.266663
-366.666687,-68.933334,-128.666672
-373.333313,47.066666,-113.73333
-188.133331,212.0,-170.93335
34.933334,236.933319,-189.06665
125.733337,166.800003,-208.799988
29.6,233.46666,-202.399994
-186.133331,230.0,-194.400009
-313.733337,86.933334,-177.46666
-378.133301,-16.666666,-101.066666
-348.533325,154.266663,-86.53334
-138.666672,283.200012,-130.800003
110.800003,246.399994,-139.333328
192.666656,103.199997,-185.733337
169.466675,171.066666,-168.399994
-57.600002,293.466675,-162.133331
