raw,kal
0.0056,0.01782
-0.00623,0.00377
-0.00307,0.00504
-0.04226,-0.03653
0.01193,0.01978
0.01175,0.01738
-0.00648,0.00166
0.08681,0.09794
-0.00976,-0.00293
0.0204,0.0273
0.02027,0.0264
0.02027,0.02936
0.11387,0.1176
0.0202,0.03457
0.07137,0.08428
0.08644,0.09401
-0.01591,-0.00521
0.03203,0.04442
0.05046,0.0614
0.01434,0.02775
0.04714,0.05368
0.11369,0.12936
0.04716,0.05682
0.05037,0.05795
0.032,0.03777
0.04386,0.05145
0.04712,0.05856
0.04706,0.05662
0.11036,0.11789
-0.01293,-0.00316
0.06206,0.06983
0.07412,0.08217
0.01397,0.0245
-0.05239,-0.03982
0.02859,0.03924
0.01957,0.02718
0.08594,0.09375
0.06749,0.07232
-0.05805,-0.04774
-0.02845,-0.01713
0.05856,0.07042
-0.05538,-0.04897
0.04976,0.05657
-0.03169,-0.02626
0.05541,0.0639
-0.01347,-0.00661
0.03458,0.04008
0.00178,0.01177
-0.01651,-0.00705
0.01957,0.03104
0.01951,0.02759
-0.0132,-0.00319
0.07719,0.08564
0.01653,0.02805
0.02296,0.03442
0.03168,0.04209
0.01085,0.02518
-0.00104,0.0056
0.03826,0.04378
0.04704,0.05612
0.13118,0.14555
-0.01601,-0.00603
0.06239,0.06881
-0.01913,-0.01083
0.00793,0.013
0.03521,0.04714
0.07767,0.08954
0.05048,0.06056
0.0473,0.0549
-0.04,-0.02464
-0.03095,-0.02236
0.06251,0.07003
0.12591,0.1337
0.00508,0.01154
0.05932,0.06672
0.07772,0.08634
0.04739,0.05844
0.02648,0.03604
0.01133,0.02188
0.09872,0.10562
0.1413,0.14687
-0.03658,-0.02679
0.07475,0.09099
0.04762,0.06012
-0.03644,-0.02721
-0.01227,-0.00571
-0.09015,-0.07952
-0.0299,-0.0175
0.08391,0.09466
0.08152,0.09102
0.09916,0.10719
-0.03025,-0.01533
-0.03291,-0.02338
0.01509,0.02204
0.01189,0.02
0.16262,0.17172
-0.01835,-0.00899
0.08083,0.0887
0.03918,0.04926
-0.04216,-0.03486
0.0301,0.03752
0.12641,0.13474
-0.05454,-0.04869
-0.06327,-0.05381
0.0148,0.02508
0.0444,0.05476
0.02989,0.0409
0.04759,0.05668
0.14697,0.15272
0.04431,0.05632
0.04739,0.05788
0.05946,0.06802
-0.01835,-0.01111
-0.0038,0.00664
0.01453,0.02106
0.04734,0.05195
0.02648,0.03604
0.07461,0.08494
0.05934,0.07073
0.05938,0.06757
0.12912,0.14431
0.05936,0.07007
0.01444,0.02452
0.01441,0.02109
0.09293,0.11097
0.02628,0.03502
0.07762,0.08565
0.00848,0.01107
0.06548,0.06989
0.06222,0.07182
0.04691,0.05167
-0.00111,0.01226
0.0469,0.05574
-0.03723,-0.02572
0.16795,0.17784
0.03157,0.04011
0.01388,0.02252
0.01388,0.02765
0.02584,0.03872
-0.00444,0.0052
0.02279,0.03557
0.08284,0.09171
-0.01631,-0.00841
-0.01628,-0.00678
0.00825,0.01724
0.06207,0.07009
0.07738,0.08835
0.08068,0.08871
0.04389,0.0477
0.07759,0.09092
-0.04014,-0.02709
0.03529,0.03962
0.07131,0.0826
-0.03679,-0.0284
0.02968,0.03807
0.07457,0.07811
-0.02477,-0.01786
0.07468,0.08454
0.07793,0.09085
-0.00959,0.00124
0.00817,0.01811
0.02662,0.03562
0.0234,0.03198
0.02985,0.03986
0.01148,0.01862
0.02041,0.03237
0.01733,0.02635
-0.03339,-0.02523
0.06613,0.05861
-0.04243,-0.04357
0.01179,0.01859
-0.01183,-0.00558
0.00266,0.01445
0.06008,0.15057
0.1948,0.19985
0.12297,0.13461
0.02143,0.04002
0.14272,0.19791
1.95895,2.45067
2.91686,3.34947
4.16638,4.64936
5.68011,6.14331
6.93582,7.33722
8.76929,9.5413
11.89018,13.50508
15.68271,16.55256
19.73714,21.00115
24.10298,24.79307
25.61755,25.98174
26.9699,27.28922
28.38878,28.68922
29.58396,29.81669
30.41987,30.59842
31.16704,31.26125
31.35062,31.38547
31.43292,31.43626
31.35995,31.38431
31.40509,31.42165
31.1788,31.19386
31.63423,31.6506
31.58036,31.59342
31.54188,31.56594
31.83903,31.85792
31.55563,31.52021
31.60484,31.61119
31.47543,31.48493
31.38282,31.39484
31.42131,31.42293
31.47452,31.48937
31.33131,31.34702
31.48726,31.49775
31.4456,31.45748
31.48499,31.49658
31.52613,31.53542
31.55163,31.55702
31.52592,31.53536
31.5508,31.55874
31.47569,31.48674
31.52794,31.53553
31.60862,31.61981
31.42342,31.43178
31.44073,31.45061
31.42342,31.42669
31.38601,31.39519
31.40228,31.4147
31.39376,31.40319
31.55004,31.5534
31.55412,31.56276
31.5767,31.58137
31.46823,31.49254
31.45913,31.47121
31.53429,31.54507
31.52144,31.53643
31.57611,31.58411
31.4835,31.49268
31.6487,31.65501
31.51943,31.52573
31.49717,31.50664
31.56115,31.57374
31.53504,31.54942
31.55876,31.56102
31.61109,31.62398
31.61189,31.62999
31.46863,31.47988
31.59979,31.61093
31.50594,31.52151
31.56005,31.57555
31.61266,31.61911
31.51167,31.5176
31.49732,31.50282
31.49493,31.50663
31.45968,31.47712
31.44666,31.46695
31.53696,31.54392
31.53533,31.54426
31.51946,31.56387
31.50587,31.51172
31.74216,31.7491
31.63709,31.63999
31.68838,31.69816
31.63881,31.65021
31.63917,31.65223
31.47079,31.47779
31.67988,31.69269
31.53729,31.54752
31.48847,31.50829
31.46178,31.47187
31.42405,31.4382
31.41111,31.41525
31.51412,31.52271
31.46151,31.47674
31.47948,31.48583
31.42196,31.43175
31.46086,31.47014
31.70615,31.71585
31.48499,31.49446
31.52463,31.53584
31.4835,31.49288
31.48514,31.5068
31.54777,31.53987
31.57206,31.5846
31.63646,31.64684
31.42952,31.4371
31.50525,31.51646
31.51959,31.52945
31.46962,31.48041
31.63531,31.63962
31.55805,31.56717
31.62177,31.63284
31.50611,31.51416
31.63278,31.64093
31.54093,31.53949
31.58064,31.59045
31.5959,31.60749
31.52359,31.5385
31.48407,31.49683
31.48301,31.49454
31.52117,31.52562
31.56083,31.57235
31.54202,31.5615
31.54506,31.54691
31.6109,31.62342
31.64896,31.66432
31.56928,31.57788
31.62476,31.63631
31.50994,31.518
31.66329,31.66888
31.45702,31.46866
31.54729,31.559
31.52497,31.53516
31.58795,31.59546
31.54451,31.55061
31.41713,31.42616
31.37901,31.39315
31.49111,31.49938
31.59744,31.602
31.43085,31.44248
31.4131,31.42402
31.52313,31.53181
31.65076,31.66071
31.57101,31.5801
31.32412,31.33594
31.59682,31.60085
31.67313,31.6897
31.54342,31.55086
31.58186,31.58422
31.50241,31.51235
31.59301,31.59765
31.54142,31.55217
31.64743,31.65401
31.37235,31.38135
31.58221,31.58505
31.595,31.6062
31.52877,31.54281
31.49011,31.50056
31.58293,31.59002
31.6353,31.64825
31.59117,31.60048
31.52923,31.54068
31.60555,31.79459
31.61768,31.62627
31.66003,31.67207
31.52163,31.53126
31.54403,31.55742
31.3548,31.36397
31.42496,31.42789
31.40396,31.41783
31.2553,31.2596
31.24995,31.25582
31.3525,31.3935
31.44621,31.44434
31.48037,31.45584
31.56253,31.57713
31.62629,31.70152
33.22989,33.63957
34.60985,34.91466
35.82123,36.07391
36.84304,37.03431
37.58215,37.7213
38.25486,38.35201
38.29562,38.32183
38.47534,38.4777
38.28637,38.28907
38.28569,38.26519
38.28281,38.29248
38.50527,38.51549
38.58762,38.7052
38.4501,38.45941
38.44752,38.45136
38.63446,38.65034
