x,y,z
556.923096,186.92308,-301.538452
557.692322,185.384613,-303.846161
554.615417,190.0,-303.846161
558.461548,186.153854,-302.307709
556.923096,188.461548,-296.923096
557.692322,185.384613,-300.769226
555.384644,185.384613,-299.230774
558.461548,184.615387,-301.538452
557.692322,189.230774,-304.615387
555.384644,185.384613,-302.307709
558.461548,185.384613,-297.692322
559.230774,184.615387,-301.538452
556.923096,187.692307,-298.461548
560.0,184.615387,-304.615387
555.384644,187.692307,-304.615387
558.461548,190.0,-300.769226
556.923096,188.461548,-303.846161
549.230774,188.461548,-303.076935
559.230774,184.615387,-301.538452
556.15387,182.307693,-294.615387
506.923096,230.0,-314.615387
396.153839,368.461548,-236.92308
413.076935,336.923096,-170.769241
742.307678,-212.307693,-162.307693
651.538452,-20.0,-223.07692
439.230774,308.461548,-293.076935
276.153839,478.461548,-282.307709
380.769226,341.538483,-333.846161
460.0,270.0,-326.153839
331.538483,382.307709,-336.153839
274.615387,428.461548,-374.615387
200.769241,514.615417,-365.384613
448.461548,232.307693,-353.076935
383.846161,283.846161,-356.153839
246.92308,390.0,-379.230774
143.07692,446.153839,-373.076935
-6.153846,558.461548,-375.384613
-120.769234,461.538483,-448.461548
-143.846161,215.384613,-386.923096
-299.230774,254.615387,-321.538452
64.615387,534.615417,-323.846161
-10.769231,823.846191,-593.846191
31.538462,640.0,-389.230774
143.846161,143.07692,-186.92308
150.0,20.0,-220.769241
87.692307,-129.230774,-312.307709
40.0,-221.538467,-189.230774
440.0,249.230774,-151.538467
588.461548,374.615387,-250.769241
510.769226,98.46154,-183.846161
136.92308,-265.384613,-24.615385
-315.384613,123.846153,-336.153839
-343.846161,384.615387,-295.384613
-174.615387,833.076965,-543.076904
-202.307693,894.615417,-750.0
30.0,549.230774,-583.846191
280.769226,-233.076935,-131.538467
330.769226,-581.538452,43.076923
284.615387,-373.846161,-150.769226
42.307693,-136.153854,-319.230774
176.153854,-170.0,-232.307693
243.846161,140.0,-246.92308
-126.153847,284.615387,-476.923096
-211.538467,303.846161,-597.692322
24.615385,-200.769241,-366.153839
-61.538464,17.692308,-470.0
1.538462,-217.692307,-363.846161
-50.76923,-147.692307,-183.846161
177.692307,340.769226,-293.076935
143.07692,708.461548,-587.692322
444.615387,260.769226,-387.692322
582.307678,-14.615385,-337.692322
606.923096,-100.769234,-230.769241
573.846191,-383.076935,0.0
473.076935,-313.076935,0.0
270.769226,13.846154,-186.92308
46.923077,239.230774,-303.846161
-123.076927,406.153839,-343.076935
-243.846161,560.0,-333.846161
-205.384613,558.461548,-354.615387
-143.846161,481.538483,-350.0
-118.46154,543.076904,-343.076935
4.615385,470.769226,-370.0
38.46154,468.461548,-363.846161
175.384613,472.307709,-369.230774
-126.153847,519.230774,-598.461548
-120.0,423.846161,-773.076965
-106.153847,338.461548,-600.0
-209.230774,420.769226,-569.230774
-263.076935,387.692322,-383.076935
199.230774,608.461548,-319.230774
306.923096,826.923096,-452.307709
352.307709,550.769226,-310.769226
87.692307,148.461548,-429.230774
-96.153847,48.46154,-648.461548
-169.230774,108.46154,-675.384644
-50.76923,46.153847,-416.153839
88.46154,500.769226,-530.769226
-23.076923,784.615417,-663.846191
160.769226,691.538452,-501.538483
316.923096,371.538483,-317.692322
323.846161,-191.538467,-208.461548
154.615387,-506.15387,-266.153839
-28.461538,-120.769234,-519.230774
18.461538,-153.846161,-393.076935
111.53846,220.0,-400.769226
11.538462,580.769226,-657.692322
163.846161,506.923096,-574.615417
470.769226,-91.53846,-156.92308
269.230774,-775.384644,-80.769234
116.153847,-516.15387,-423.846161
155.384613,-254.615387,-522.307678
-236.153854,176.153854,-442.307709
163.07692,3150.769287,-84.615387
372.307709,-1026.923096,-171.538467
275.384613,-809.230774,-208.461548
239.230774,-535.384644,-87.692307
405.384613,-185.384613,-31.538462
450.769226,-86.92308,-200.0
472.307709,-396.153839,-72.307693
223.846161,-846.923096,14.615385
-358.461548,678.461548,-698.461548
-140.769226,322.307709,-556.15387
85.384621,-22.307693,-336.923096
387.692322,-663.846191,115.384621
468.461548,-1066.923096,296.923096
443.846161,-780.769226,89.230774
253.846161,-344.615387,-140.769226
16.923077,-117.692307,-313.846161
-126.153847,19.23077,-347.692322
