x,y,z
-321.794891,-466.666687,-502.564117
-320.512817,-476.923096,-510.256439
-319.230774,-469.230774,-505.128235
-328.205139,-464.10257,-497.435913
-324.358978,-465.384644,-508.974365
-332.0513,-460.256439,-502.564117
-321.794891,-473.076935,-500.000031
-325.641022,-475.641052,-497.435913
-328.205139,-474.358978,-496.15387
-324.358978,-464.10257,-489.743591
-293.589752,-467.94873,-476.923096
-294.871796,-515.384644,-510.256439
-265.384613,-321.794891,-455.128235
-143.589752,-396.15387,-517.94873
-212.820526,-343.589752,-471.794891
-292.307709,-300.0,-397.435913
-321.794891,-335.897461,-376.923096
-348.717957,-358.974365,-374.358978
-326.923096,-328.205139,-361.538483
-423.076935,-164.10257,-261.538483
-571.794861,93.589745,-69.230774
-651.282043,91.025642,-3.846154
-751.282104,115.384621,38.46154
-907.692322,348.717957,155.128204
-1017.94873,476.923096,189.743591
-1100.0,442.307709,111.538467
-1071.794922,212.820526,-76.92308
-220.512833,-883.333374,-230.769241
457.692322,-793.589783,91.025642
-339.743591,-624.359009,-528.205139
-348.717957,-612.820557,-530.769226
-347.435913,-617.94873,-524.359009
-373.076935,-602.564148,-524.359009
-370.512848,-619.230774,-526.923096
-370.512848,-614.1026,-529.487183
-376.923096,-612.820557,-532.05127
-373.076935,-620.512817,-543.589783
-385.897461,-615.384644,-530.769226
-370.512848,-611.538452,-533.333374
-375.641052,-617.94873,-537.179504
-338.461548,-588.461548,-528.205139
-400.0,-369.230774,-451.282074
-525.641052,346.15387,32.051285
-873.076965,743.589783,353.846161
-1174.359009,466.666687,189.743591
-1248.718018,274.358978,16.666668
205.128204,-962.820557,11.538462
-378.205139,-724.359009,-626.923096
-378.205139,-712.820557,-628.205139
-387.179504,-719.230774,-624.359009
-384.615387,-720.512817,-626.923096
-388.461548,-711.538513,-621.794922
-378.205139,-733.333374,-620.512817
-378.205139,-726.923096,-620.512817
-400.0,-725.641052,-615.384644
-392.307709,-735.897461,-617.94873
-460.256439,-585.897461,-576.923096
-606.410278,-153.846161,-380.769257
-548.717957,-407.692322,-442.307709
-757.692322,-674.359009,-494.871826
-474.358978,-1033.333374,-516.666687
-482.0513,-951.282104,-432.0513
-879.487183,-461.538483,-406.410278
-692.307739,-476.923096,-534.615417
-723.076965,-255.12822,-457.692322
-742.307739,-474.358978,-583.333374
-598.717957,-514.1026,-541.025635
-743.589783,-479.487183,-574.359009
-666.666687,-401.282074,-575.641052
-642.307739,-433.333344,-589.743591
-737.179504,-334.615387,-561.538452
-573.076965,-367.94873,-651.282043
-630.769226,-614.1026,-770.512817
-579.487183,-737.179504,-773.076965
-579.487183,-671.794922,-666.666687
-464.10257,-776.923096,-573.076965
-437.179504,-783.333374,-557.692322
-450.0,-723.076965,-552.564148
-403.846161,-661.538513,-541.025635
-367.94873,-691.025635,-567.94873
-328.205139,-539.743591,-535.897461
-235.897446,-567.94873,-589.743591
-132.051285,-543.589783,-629.487183
-117.948723,-482.0513,-587.179504
-111.538467,-430.769257,-597.435913
-70.512825,-401.282074,-612.820557
-91.025642,-321.794891,-587.179504
-137.179489,-296.15387,-543.589783
-169.230774,-297.435913,-521.794861
-170.512833,-160.256409,-548.717957
-166.666672,-173.076935,-558.974365
-165.384628,-158.974365,-547.435913
-160.256409,-158.974365,-555.128235
-174.358978,-155.128204,-552.564148
-164.10257,-152.564102,-560.256409
-175.641037,-139.743591,-561.538452
-175.641037,-151.282059,-552.564148
-161.538467,-184.615387,-544.871826
-178.205139,-319.230774,-533.333374
-206.410263,-464.10257,-552.564148
-242.307693,-487.179504,-548.717957
-94.871796,-416.666687,-647.435913
-160.256409,-301.282074,-579.487183
-167.94873,-302.564117,-564.1026
-197.435898,-255.12822,-528.205139
-103.846161,-160.256409,-543.589783
-107.692314,-153.846161,-585.897461
-166.666672,3.846154,-564.1026
-188.461548,-153.846161,-584.615417
