x,y,z,h
-263.87,4.67,8.47,264.05
-263.89,4.68,8.34,264.06
-263.88,4.63,8.28,264.05
-263.88,4.71,8.19,264.05
-263.91,4.72,8.21,264.08
-263.89,4.66,8.18,264.06
-263.92,4.67,8.21,264.09
-263.89,4.71,8.35,264.06
-263.82,4.71,8.43,264.0
-263.91,4.65,8.42,264.08
-263.82,4.68,8.44,264.0
-263.86,4.7,8.43,264.04
-263.83,4.66,8.43,264.01
-263.66,4.65,8.53,263.84
-263.63,4.69,8.54,263.81
-263.62,4.68,8.57,263.8
-263.74,4.58,8.54,263.91
-263.73,4.69,8.54,263.91
-263.69,4.74,8.52,263.87
-263.74,4.63,8.51,263.92
-263.68,4.69,8.48,263.86
-263.7,4.73,8.36,263.87
-263.75,4.72,8.36,263.93
-263.68,4.64,8.33,263.85
-263.67,4.69,8.32,263.84
-263.73,4.69,8.39,263.91
-263.73,4.7,8.38,263.9
-263.82,4.6,8.33,263.99
-263.76,4.64,8.36,263.94
-263.69,4.69,8.38,263.87
-263.72,4.68,8.36,263.89
-268.39,3.27,8.91,268.56
-266.66,4.13,8.58,266.83
-266.46,4.24,8.63,266.63
-266.55,4.26,8.64,266.72
-266.72,4.22,8.56,266.89
-249.44,48.2,12.21,254.35
76.91,79.05,249.71,272.98
261.8,108.67,58.62,289.46
249.44,120.88,89.17,291.18
249.68,121.49,88.81,291.53
249.68,121.93,88.43,291.6
249.18,122.25,87.68,291.08
248.52,124.37,86.67,291.1
248.54,124.48,86.53,291.13
248.54,124.65,86.46,291.18
248.58,124.62,86.33,291.17
248.58,124.73,86.29,291.2
248.47,124.77,86.3,291.13
248.5,124.81,86.24,291.15
248.59,124.89,86.12,291.23
248.59,124.93,86.07,291.23
248.59,124.97,86.04,291.24
248.55,125.02,85.95,291.2
248.52,125.0,85.95,291.16
248.54,125.07,85.91,291.2
248.59,125.1,85.88,291.24
