t1,t2,t3,t4
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.621349,20.621349
20.653532,20.589157,20.621349,20.621349
20.653532,20.589157,20.621349,20.621349
20.653532,20.573059,20.621349,20.621349
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.637436,20.621349
20.653532,20.573059,20.621349,20.621349
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.637436,20.621349
20.653532,20.589157,20.637436,20.621349
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.637436,20.621349
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.621349,20.621349
20.653532,20.589157,20.637436,20.621349
20.653532,20.573059,20.637436,20.621349
20.653532,20.589157,20.637436,20.621349
20.669628,20.589157,20.637436,20.621349
20.669628,20.589157,20.653532,20.637436
20.669628,20.589157,20.637436,20.621349
20.669628,20.589157,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.653532,20.573059,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.669628,20.589157,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.669628,20.589157,20.637436,20.637436
20.653532,20.589157,20.637436,20.637436
20.669628,20.589157,20.637436,20.637436
20.669628,20.589157,20.653532,20.637436
20.669628,20.589157,20.653532,20.637436
20.669628,20.605253,20.637436,20.653532
20.653532,20.589157,20.653532,20.637436
20.669628,20.589157,20.637436,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.589157,20.637436,20.637436
20.669628,20.589157,20.653532,20.653532
20.669628,20.589157,20.637436,20.637436
20.669628,20.589157,20.637436,20.653532
20.669628,20.589157,20.653532,20.637436
20.669628,20.589157,20.637436,20.653532
20.669628,20.589157,20.653532,20.637436
20.669628,20.605253,20.637436,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.605253,20.637436,20.653532
20.653532,20.589157,20.637436,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.589157,20.637436,20.653532
20.669628,20.589157,20.653532,20.653532
20.669628,20.605253,20.653532,20.637436
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.653532
20.669628,20.605253,20.653532,20.637436
20.669628,20.605253,20.637436,20.653532
20.669628,20.605253,20.653532,20.653532
