x,y,z,temp
0.195706,0.552795,-0.014072,19.912354
0.327453,0.718612,0.035126,19.918236
-0.054183,-0.447055,0.022521,19.927059
0.322046,0.217759,-0.043925,19.924118
0.233837,0.50697,-0.059533,19.918236
0.187571,0.552813,0.039394,19.915295
0.020727,-0.554002,0.061716,19.885881
0.021744,-0.447773,0.092873,19.918236
0.179914,0.530137,0.008506,19.909412
-0.005075,-0.781503,0.067825,19.906471
0.376564,0.968693,0.021899,19.921177
0.013723,-0.455325,0.123327,19.900589
0.068962,-0.364652,0.063507,19.924118
0.210735,-0.054634,0.044632,19.906471
0.042351,-0.67562,0.046229,19.906471
0.060363,-0.425325,0.08604,19.90353
0.273264,0.051097,0.046297,19.921177
0.234701,0.673827,0.071482,19.921177
0.064166,-0.713835,0.123054,19.93
0.019803,-0.629899,0.061342,19.912354
0.30483,0.696102,-0.034339,19.912354
0.218667,-0.031931,0.044887,19.912354
0.27281,0.643161,0.04907,19.909412
0.404086,0.680063,-0.024901,19.932941
0.054583,-0.220399,0.155832,19.912354
0.298236,0.772078,-0.049425,19.927059
0.249731,0.628185,0.040909,19.918236
0.342876,0.710912,0.012399,19.918236
0.388455,0.665001,-0.009944,19.924118
0.089232,0.037478,0.058115,19.941765
-0.019406,-0.060297,0.086265,19.909412
0.18521,-0.259367,0.050853,19.932941
-0.005374,-0.789114,0.090763,19.915295
0.293923,0.445686,-0.012741,19.912354
-0.033414,-0.644564,-0.000998,19.918236
0.128499,0.135796,0.08229,19.927059
0.12176,-0.418254,0.079561,19.894707
-0.079015,-0.583494,0.044395,19.924118
0.318454,0.551773,-0.042423,19.912354
0.067989,-0.478457,0.016996,19.912354
0.367567,0.824595,-0.024904,19.927059
0.306098,0.232988,0.047765,19.918236
0.398942,0.285363,0.011447,19.921177
0.442619,0.763146,0.060466,19.906471
0.296569,0.028193,-0.022312,19.918236
-0.020041,-0.781338,0.029248,19.921177
0.140974,0.492495,0.030581,19.918236
0.41394,0.922792,0.06068,19.90353
0.311028,-0.002345,0.031432,19.941765
0.313936,0.787147,-0.07204,19.924118
0.034237,-0.690762,0.076645,19.935883
0.388985,0.702956,-0.017416,19.921177
0.162431,-0.243991,0.0505,19.921177
0.088541,-0.569861,0.162484,19.93
0.397125,0.748422,-0.009391,19.909412
0.184611,-0.297329,0.065983,19.938824
0.328378,0.817251,0.066246,19.909412
0.368397,0.331115,0.064709,19.932941
0.068456,0.166762,-0.010603,19.921177
0.182396,-0.479483,0.065086,19.938824
0.020772,-0.561578,0.046362,19.927059
0.327675,0.096203,0.016887,19.924118
0.099013,0.234718,0.089863,19.941765
0.436347,0.854316,0.030138,19.938824
-0.062757,-0.477403,0.083496,19.927059
0.210788,0.567802,0.032238,19.921177
0.155405,0.408891,0.015138,19.935883
-0.085124,-0.461986,0.037192,19.944706
0.023127,-0.356669,0.062688,19.906471
0.080121,-0.660838,0.123601,19.906471
0.132533,0.416678,0.014747,19.953529
0.421677,0.83935,-0.062123,19.950588
0.007569,-0.326241,0.131478,19.921177
0.264289,-0.10816,-0.023556,19.927059
0.275709,0.240854,0.031915,19.93
0.157092,0.575831,0.054252,19.927059
0.004099,-0.690451,0.022466,19.944706
