m1,m2,m3
-524.359009,6.410256,-74.358978
-526.923096,10.256411,-83.333336
-523.076965,5.128205,-79.487183
-521.794861,-1.282051,-75.641029
-523.076965,6.410256,-87.179489
-521.794861,-7.692308,-78.205132
-529.487183,6.410256,-80.769234
-528.205139,0.0,-79.487183
-517.94873,2.564103,-76.92308
-523.076965,-1.282051,-89.743591
-528.205139,0.0,-73.076927
-517.94873,5.128205,-79.487183
-526.923096,0.0,-76.92308
-521.794861,2.564103,-76.92308
-521.794861,3.846154,-80.769234
-523.076965,0.0,-83.333336
-519.230774,-2.564103,-79.487183
-526.923096,0.0,-82.051285
-525.641052,5.128205,-78.205132
-517.94873,-1.282051,-75.641029
-525.641052,5.128205,-82.051285
-530.769226,3.846154,-76.92308
-526.923096,-3.846154,-79.487183
-526.923096,0.0,-82.051285
-523.076965,-2.564103,-76.92308
-523.076965,5.128205,-80.769234
-521.794861,0.0,-73.076927
-520.512817,8.97436,-71.794876
-530.769226,5.128205,-84.615387
-517.94873,-1.282051,-79.487183
-529.487183,0.0,-84.615387
-517.94873,0.0,-82.051285
-520.512817,-8.97436,-79.487183
-524.359009,5.128205,-84.615387
-528.205139,6.410256,-78.205132
-526.923096,-1.282051,-83.333336
-525.641052,1.282051,-75.641029
-524.359009,1.282051,-75.641029
-523.076965,-7.692308,-82.051285
-520.512817,-6.410256,-82.051285
-526.923096,5.128205,-87.179489
-523.076965,3.846154,-84.615387
-516.666687,-6.410256,-82.051285
-521.794861,0.0,-80.769234
-524.359009,-5.128205,-80.769234
-528.205139,1.282051,-82.051285
-526.923096,5.128205,-74.358978
-529.487183,11.538462,-73.076927
-528.205139,6.410256,-87.179489
-523.076965,-1.282051,-75.641029
-525.641052,6.410256,-78.205132
-517.94873,6.410256,-83.333336
-523.076965,6.410256,-73.076927
-523.076965,10.256411,-79.487183
-526.923096,-1.282051,-78.205132
-525.641052,-6.410256,-79.487183
-528.205139,7.692308,-76.92308
-521.794861,2.564103,-80.769234
-530.769226,2.564103,-78.205132
-514.1026,7.692308,-75.641029
-524.359009,1.282051,-74.358978
-516.666687,-7.692308,-79.487183
-523.076965,8.97436,-78.205132
-526.923096,1.282051,-76.92308
-524.359009,-1.282051,-79.487183
-520.512817,5.128205,-71.794876
-517.94873,-3.846154,-73.076927
-529.487183,-8.97436,-83.333336
-521.794861,6.410256,-74.358978
-529.487183,10.256411,-83.333336
-521.794861,-1.282051,-85.897438
-525.641052,5.128205,-76.92308
-526.923096,-1.282051,-91.025642
-525.641052,-2.564103,-67.948723
-519.230774,6.410256,-73.076927
-524.359009,-5.128205,-84.615387
-529.487183,7.692308,-79.487183
-524.359009,5.128205,-85.897438
-528.205139,-5.128205,-80.769234
-521.794861,-2.564103,-80.769234
-524.359009,0.0,-76.92308
-525.641052,1.282051,-76.92308
-526.923096,1.282051,-79.487183
-530.769226,6.410256,-85.897438
-517.94873,5.128205,-71.794876
-529.487183,-2.564103,-82.051285
-525.641052,1.282051,-78.205132
-512.820557,-7.692308,-79.487183
-529.487183,-2.564103,-74.358978
-529.487183,3.846154,-88.46154
-523.076965,-2.564103,-82.051285
-529.487183,-1.282051,-80.769234
-525.641052,-5.128205,-80.769234
-521.794861,0.0,-80.769234
-525.641052,-6.410256,-78.205132
-525.641052,-6.410256,-93.589745
-526.923096,11.538462,-76.92308
-528.205139,8.97436,-78.205132
-524.359009,-1.282051,-79.487183
-528.205139,1.282051,-67.948723
-526.923096,2.564103,-91.025642
-516.666687,0.0,-73.076927
-520.512817,-5.128205,-75.641029
-523.076965,-7.692308,-80.769234
-529.487183,-5.128205,-92.307693
-520.512817,6.410256,-69.230774
-526.923096,1.282051,-75.641029
-532.05127,0.0,-88.46154
-516.666687,-1.282051,-75.641029
-529.487183,-5.128205,-79.487183
-530.769226,1.282051,-85.897438
-516.666687,-5.128205,-73.076927
-532.05127,-6.410256,-78.205132
-516.666687,0.0,-79.487183
-517.94873,7.692308,-73.076927
-528.205139,2.564103,-79.487183
-526.923096,6.410256,-91.025642
-517.94873,7.692308,-80.769234
-512.820557,-1.282051,-73.076927
-521.794861,3.846154,-74.358978
-524.359009,-8.97436,-88.46154
-521.794861,8.97436,-71.794876
-530.769226,0.0,-85.897438
-519.230774,2.564103,-80.769234
-529.487183,5.128205,-75.641029
-525.641052,2.564103,-91.025642
-521.794861,-10.256411,-87.179489
-529.487183,7.692308,-70.512825
-530.769226,2.564103,-80.769234
-517.94873,0.0,-71.794876
-521.794861,7.692308,-74.358978
-524.359009,-7.692308,-84.615387
-524.359009,8.97436,-73.076927
-533.333374,6.410256,-83.333336
-523.076965,-6.410256,-85.897438
-526.923096,-7.692308,-87.179489
-529.487183,0.0,-74.358978
-529.487183,1.282051,-82.051285
-526.923096,7.692308,-70.512825
-530.769226,7.692308,-84.615387
-525.641052,0.0,-83.333336
-525.641052,-1.282051,-75.641029
-521.794861,3.846154,-74.358978
-524.359009,-8.97436,-82.051285
-515.384644,-7.692308,-73.076927
-528.205139,5.128205,-82.051285
-519.230774,0.0,-79.487183
-517.94873,0.0,-82.051285
-515.384644,5.128205,-82.051285
-521.794861,-1.282051,-73.076927
-523.076965,-5.128205,-85.897438
-516.666687,-6.410256,-80.769234
-521.794861,0.0,-71.794876
-523.076965,1.282051,-79.487183
-526.923096,-6.410256,-88.46154
-520.512817,0.0,-78.205132
-532.05127,3.846154,-85.897438
-525.641052,2.564103,-88.46154
-525.641052,0.0,-87.179489
-515.384644,0.0,-76.92308
-529.487183,2.564103,-78.205132
-516.666687,-6.410256,-83.333336
-516.666687,5.128205,-75.641029
-525.641052,3.846154,-73.076927
-520.512817,-5.128205,-89.743591
-526.923096,1.282051,-78.205132
-530.769226,7.692308,-75.641029
-515.384644,-11.538462,-80.769234
-520.512817,-2.564103,-74.358978
-526.923096,-6.410256,-85.897438
-529.487183,2.564103,-82.051285
-523.076965,6.410256,-84.615387
-517.94873,3.846154,-79.487183
-529.487183,10.256411,-71.794876
-516.666687,6.410256,-65.384621
-530.769226,3.846154,-82.051285
-525.641052,-5.128205,-84.615387
-515.384644,5.128205,-75.641029
-525.641052,-2.564103,-78.205132
-525.641052,-3.846154,-82.051285
-519.230774,5.128205,-74.358978
-532.05127,8.97436,-80.769234
-526.923096,-1.282051,-82.051285
-521.794861,-1.282051,-73.076927
-529.487183,-3.846154,-74.358978
-516.666687,3.846154,-78.205132
-528.205139,0.0,-83.333336
-519.230774,6.410256,-70.512825
-524.359009,-7.692308,-91.025642
-514.1026,0.0,-82.051285
-516.666687,-10.256411,-79.487183
-517.94873,-5.128205,-71.794876
-529.487183,-7.692308,-87.179489
-519.230774,7.692308,-71.794876
-528.205139,2.564103,-76.92308
-517.94873,3.846154,-82.051285
-529.487183,-7.692308,-83.333336
-519.230774,-6.410256,-84.615387
-519.230774,-7.692308,-84.615387
-512.820557,-6.410256,-82.051285
-530.769226,5.128205,-83.333336
-528.205139,1.282051,-80.769234
-521.794861,-8.97436,-69.230774
-533.333374,-5.128205,-79.487183
-526.923096,-5.128205,-85.897438
-520.512817,5.128205,-79.487183
-524.359009,3.846154,-67.948723
-525.641052,-7.692308,-84.615387
