mx,my,mz
-134.615387,-584.615417,-203.846161
-135.897446,-584.615417,-244.871796
-132.051285,-584.615417,-153.846161
-137.179489,-587.179504,-217.94873
-124.358978,-593.589783,-162.820511
-138.461548,-596.15387,-233.333344
-138.461548,-578.205139,-187.179489
-133.333344,-587.179504,-200.0
-130.769241,-578.205139,-160.256409
-133.333344,-589.743591,-225.641037
-132.051285,-582.051331,-198.717957
-133.333344,-583.333374,-197.435898
-135.897446,-575.641052,-164.10257
-135.897446,-585.897461,-206.410263
-134.615387,-587.179504,-203.846161
-129.487183,-589.743591,-179.487183
-134.615387,-580.769226,-183.333344
-135.897446,-589.743591,-201.282059
-135.897446,-585.897461,-212.820526
-133.333344,-584.615417,-161.538467
-148.717957,-580.769226,-201.282059
-135.897446,-587.179504,-202.564102
-135.897446,-589.743591,-232.051285
-130.769241,-587.179504,-153.846161
-133.333344,-583.333374,-203.846161
-134.615387,-585.897461,-170.512833
-138.461548,-592.307739,-234.615387
-133.333344,-578.205139,-184.615387
-144.871796,-584.615417,-229.487183
-141.02565,-578.205139,-152.564102
-141.02565,-589.743591,-239.743591
-132.051285,-580.769226,-193.589752
-138.461548,-583.333374,-221.794876
-142.307693,-587.179504,-155.128204
-132.051285,-588.461548,-232.051285
-135.897446,-591.025635,-230.769241
-134.615387,-584.615417,-185.897446
-141.02565,-580.769226,-235.897446
-132.051285,-591.025635,-157.692307
-134.615387,-580.769226,-196.153854
-132.051285,-582.051331,-160.256409
-139.743591,-593.589783,-224.358978
-133.333344,-582.051331,-203.846161
-137.179489,-592.307739,-187.179489
-130.769241,-580.769226,-173.076935
-130.769241,-593.589783,-220.512833
-135.897446,-582.051331,-206.410263
-132.051285,-588.461548,-192.307693
-133.333344,-580.769226,-173.076935
-132.051285,-584.615417,-208.974365
-138.461548,-585.897461,-212.820526
-130.769241,-588.461548,-151.282059
-133.333344,-587.179504,-200.0
-135.897446,-583.333374,-200.0
-138.461548,-582.051331,-220.512833
-134.615387,-584.615417,-153.846161
-134.615387,-585.897461,-207.692322
-134.615387,-587.179504,-187.179489
-130.769241,-585.897461,-196.153854
-135.897446,-583.333374,-246.153854
-133.333344,-585.897461,-210.256424
-133.333344,-583.333374,-205.128204
-130.769241,-592.307739,-173.076935
-139.743591,-594.871826,-219.230774
-134.615387,-593.589783,-173.076935
-141.02565,-585.897461,-244.871796
-133.333344,-582.051331,-189.743591
-130.769241,-575.641052,-184.615387
-130.769241,-583.333374,-224.358978
-128.205139,-589.743591,-158.974365
-132.051285,-593.589783,-234.615387
-132.051285,-578.205139,-197.435898
-138.461548,-584.615417,-220.512833
-133.333344,-585.897461,-155.128204
-134.615387,-588.461548,-238.461548
