mx,my,mz,temp
205.466675,426.399994,74.400002,29.34375
201.200012,430.0,73.466667,29.34375
204.533325,425.066681,74.0,29.34375
200.0,429.866669,73.066666,29.34375
203.600006,427.599976,75.066666,29.34375
200.266663,431.733337,74.800003,29.34375
208.133331,426.266663,72.266663,29.34375
201.066666,431.733337,77.333328,29.34375
204.133331,425.733337,74.0,29.34375
202.666656,430.266693,75.333336,29.34375
202.399994,426.533325,74.666664,29.34375
203.066681,432.0,75.199997,29.34375
202.399994,428.93335,72.800003,29.34375
205.733337,427.733337,76.266663,29.34375
204.933334,426.666687,72.533333,29.34375
202.0,429.733307,77.466667,29.34375
201.333328,430.533325,74.800003,29.34375
205.200012,424.399994,74.26667,29.34375
202.666656,430.133331,73.066666,29.34375
203.066681,426.666687,76.799995,29.34375
205.066666,434.0,77.600006,29.339844
202.399994,425.200012,73.066666,29.34375
205.866669,431.333344,76.799995,29.34375
201.200012,425.466644,73.599998,29.34375
208.933334,429.466675,78.800003,29.34375
198.533325,427.333344,72.266663,29.34375
206.666656,427.866669,76.666664,29.34375
202.933334,430.93335,72.399994,29.339844
204.933334,424.266663,74.133331,29.34375
202.399994,435.066681,76.0,29.34375
204.400009,422.799988,73.866669,29.339844
203.066681,434.399994,75.333336,29.34375
206.933319,425.600006,70.0,29.34375
205.599991,430.266693,81.599998,29.34375
202.266678,424.799988,69.066666,29.339844
206.53334,432.400024,79.333336,29.339844
204.533325,428.533325,70.533333,29.339844
203.866669,428.800018,75.866669,29.339844
202.133331,430.800018,72.266663,29.339844
206.0,424.799988,74.666664,29.339844
205.866669,431.199982,74.133331,29.34375
201.466675,425.466644,77.733337,29.34375
203.333344,431.866699,69.199997,29.339844
205.599991,424.799988,72.933334,29.339844
205.866669,431.866699,76.666664,29.34375
202.0,426.133362,72.933334,29.339844
204.533325,430.400024,75.73333,29.339844
201.600006,426.0,74.800003,29.339844
205.866669,430.666656,78.533333,29.339844
201.066666,424.399994,72.0,29.34375
207.066666,430.666656,78.0,29.339844
199.733337,426.533325,74.533333,29.339844
206.399994,428.266663,79.733337,29.339844
201.333328,427.200012,69.066666,29.339844
206.53334,427.200012,77.066666,29.339844
199.733337,430.666656,70.0,29.339844
205.066666,425.600006,75.466667,29.339844
202.266678,433.333313,73.066666,29.339844
204.933334,424.133331,76.133331,29.339844
201.466675,432.0,72.133331,29.339844
202.399994,424.0,76.266663,29.339844
202.933334,433.066681,74.800003,29.339844
204.799988,425.200012,73.066666,29.339844
201.733337,433.733337,77.066666,29.335938
202.800003,428.800018,71.199997,29.339844
204.0,428.0,78.533333,29.335938
204.0,427.599976,70.133331,29.339844
203.866669,429.06665,78.800003,29.339844
203.866669,434.0,72.800003,29.339844
199.599991,424.933319,78.133331,29.335938
206.133331,432.400024,69.466667,29.339844
204.0,423.866638,76.266663,29.339844
208.933334,430.666656,78.26667,29.335938
202.53334,427.866669,72.133331,29.339844
205.200012,429.466675,77.466667,29.339844
203.066681,427.06665,72.399994,29.339844
205.866669,427.333344,78.400002,29.339844
201.200012,430.400024,70.0,29.339844
206.266663,426.533325,74.666664,29.335938
204.400009,430.0,70.666664,29.339844
205.599991,422.93335,75.066666,29.335938
200.800003,433.333313,72.266663,29.335938
205.733337,422.400024,75.466667,29.335938
203.866669,434.399994,73.200005,29.339844
204.666672,424.799988,73.200005,29.339844
201.866669,434.133331,76.799995,29.339844
205.066666,422.93335,73.599998,29.335938
200.800003,434.0,77.466667,29.335938
207.333344,426.399994,70.133331,29.335938
201.733337,430.800018,82.0,29.339844
203.46666,424.399994,69.599998,29.335938
204.0,432.266663,80.400002,29.339844
201.733337,430.93335,70.266663,29.335938
203.733337,426.266663,78.666672,29.339844
203.46666,429.333344,70.400002,29.339844
204.266663,427.733337,79.199997,29.335938
206.399994,434.133331,73.200005,29.335938
200.133347,423.733337,76.933334,29.339844
206.399994,432.533325,68.666672,29.335938
203.066681,425.466644,76.799995,29.339844
204.533325,433.733337,78.400002,29.335938
202.399994,422.0,71.73333,29.335938
206.133331,433.466675,76.133331,29.339844
201.733337,424.0,72.800003,29.339844
204.533325,429.466675,80.533333,29.335938
198.533325,426.799988,68.133331,29.335938
208.533325,430.666656,76.666664,29.339844
198.133331,427.599976,72.399994,29.335938
206.266663,425.600006,78.133331,29.335938
201.600006,431.600006,72.0,29.335938
205.733337,423.600006,77.199997,29.335938
199.199997,431.866699,69.866669,29.335938
203.333344,424.266663,74.933334,29.335938
203.600006,432.533325,74.666664,29.335938
205.599991,423.066681,74.26667,29.335938
198.533325,434.0,76.133331,29.335938
203.333344,425.733337,72.266663,29.335938
204.533325,429.733307,77.600006,29.335938
202.133331,426.0,70.533333,29.335938
202.399994,432.133331,79.066666,29.335938
203.600006,431.866699,74.26667,29.335938
203.600006,424.799988,76.0,29.335938
202.53334,432.799988,73.866669,29.335938
207.600006,423.333313,71.466667,29.335938
205.599991,431.333344,76.933334,29.335938
203.866669,427.06665,69.866669,29.335938
203.199997,430.0,80.266663,29.335938
