theta,phi,temp
0.0,0.0,38.65625
1.275687,2.356194,38.625
0.0,0.0,38.625
0.0,0.0,38.625
1.275687,2.356194,38.65625
1.268726,0.762009,38.625
1.275687,2.356194,38.65625
1.162912,1.570909,38.625
0.0,0.0,38.625
0.0,0.0,38.625
1.268726,0.762009,38.625
1.275687,2.356194,38.625
0.0,0.0,38.625
1.275687,2.356194,38.65625
1.268726,0.762009,38.625
1.183551,1.892547,38.625
1.268726,0.762009,38.625
0.0,0.0,38.625
1.246921,2.245537,38.625
1.275687,2.356194,38.65625
1.275687,2.356194,38.625
0.0,0.0,38.625
1.177638,1.837048,38.625
1.255295,2.432966,38.625
1.203025,2.446854,38.625
1.268726,0.762009,38.625
1.275687,3.926991,38.625
0.0,0.0,38.625
0.0,0.0,38.625
1.203711,2.034444,38.625
0.0,0.0,38.625
1.275687,2.356194,38.625
0.0,0.0,38.625
1.268726,0.762009,38.625
1.275687,2.356194,38.625
0.0,0.0,38.625
0.0,0.0,38.625
0.0,0.0,38.625
0.0,0.0,38.625
1.275687,2.356194,38.625
1.243647,2.231839,38.625
0.0,0.0,38.625
1.221014,2.356194,38.59375
0.0,0.0,38.625
0.940031,1.219053,38.625
1.203711,2.034444,38.59375
1.268726,0.762009,38.625
1.268726,0.762009,38.59375
1.268726,0.762009,38.59375
1.268726,0.762009,38.625
1.162912,1.570909,38.625
1.162912,1.570909,38.625
0.0,0.0,38.59375
0.0,0.0,38.59375
1.268726,0.762009,38.59375
1.275687,2.356194,38.59375
1.203711,2.034444,38.59375
1.243647,2.231839,38.625
1.268726,0.762009,38.59375
1.275687,3.926991,38.625
1.275687,3.926991,38.59375
1.275687,2.356194,38.59375
1.275687,2.356194,38.59375
0.0,0.0,38.59375
1.251816,2.446854,38.59375
1.275687,3.926991,38.59375
1.234278,2.521343,38.59375
0.0,0.0,38.59375
1.268726,0.762009,38.59375
0.0,0.0,38.59375
1.275687,5.497787,38.59375
1.234278,2.191046,38.59375
1.268726,0.762009,38.59375
1.268726,0.762009,38.59375
0.0,0.0,38.59375
1.185718,2.356194,38.59375
1.275687,2.356194,38.59375
0.0,0.0,38.59375
1.268726,0.762009,38.59375
0.0,0.0,38.59375
0.0,0.0,38.5625
1.243647,2.48055,38.59375
1.275687,2.356194,38.59375
1.268726,0.762009,38.5625
1.194486,1.975688,38.59375
0.0,0.0,38.5625
1.268726,0.762009,38.5625
1.268726,0.762009,38.59375
1.194486,1.975688,38.59375
1.275687,3.926991,38.5625
1.275687,2.356194,38.59375
0.0,0.0,38.59375
0.824454,0.762009,38.59375
1.275687,2.356194,38.5625
0.0,0.0,38.59375
1.275687,2.356194,38.59375
1.275687,2.356194,38.59375
1.183551,1.892547,38.59375
1.140271,2.358461,38.5625
1.268726,0.762009,38.59375
1.162912,1.570909,38.5625
1.268726,0.762009,38.59375
1.268726,0.762009,38.5625
1.275687,5.497787,38.59375
0.0,0.0,38.5625
1.275687,2.356194,38.59375
1.275687,2.356194,38.59375
0.0,0.0,38.59375
1.275687,2.356194,38.5625
1.243647,2.231839,38.59375
1.268726,0.762009,38.59375
0.0,0.0,38.59375
1.194486,1.975688,38.5625
0.0,0.0,38.5625
1.275687,2.356194,38.59375
1.275687,2.356194,38.59375
1.275687,2.356194,38.59375
1.183551,1.892547,38.5625
1.275687,2.356194,38.59375
1.165034,-0.000253,38.5625
