x,y,z,temp
-0.016396,-0.492915,0.015352,38.344707
-0.047684,-0.553363,0.006823,38.318233
-0.521405,0.156608,0.00897,38.327061
-0.124393,-0.583045,-0.017728,38.344707
-0.523805,-0.040725,0.007998,38.330002
-0.069196,-0.462055,-0.031448,38.338825
-0.46663,0.18659,-0.081782,38.330002
-0.244998,-0.44536,-0.042313,38.318233
-0.117271,-0.643808,-0.04086,38.330002
-0.14005,-0.628432,-0.041213,38.321175
-0.344569,0.185499,-0.033549,38.324116
-0.405837,-0.451572,-0.045346,38.335884
-0.221923,-0.475868,-0.095643,38.335884
-0.222546,-0.521413,-0.088209,38.338825
-0.244782,0.207415,-0.031582,38.315292
-0.527777,-0.389825,-0.024355,38.344707
-0.369088,-0.588501,-0.060623,38.335884
-0.170523,0.001857,-0.05414,38.321175
-0.539924,-0.12406,-0.015673,38.327061
-0.007546,-0.439797,-0.045511,38.335884
-0.09594,-0.165766,-0.061194,38.324116
-0.554608,-0.055642,0.007353,38.318233
-0.106274,-0.408544,-0.093167,38.30941
-0.023619,-0.530709,-0.084537,38.338825
-0.012177,-0.196854,-0.052116,38.315292
-0.567983,0.05839,-0.053639,38.330002
-0.115867,-0.567863,-0.094094,38.341766
-0.44306,0.29258,-0.004247,38.332943
-0.468287,0.095458,-0.020964,38.321175
-0.177468,-0.552213,-0.033894,38.30941
-0.192552,-0.589962,-0.11095,38.324116
-0.390475,0.170733,-0.057455,38.318233
-0.513478,0.133828,-0.052266,38.312351
-0.253533,-0.551509,-0.088929,38.300587
-0.222905,0.100982,-0.054653,38.335884
-0.487568,-0.25351,-0.053602,38.297646
-0.482166,0.201859,-0.036042,38.312351
-0.361154,-0.543056,-0.029622,38.318233
-0.517654,-0.192551,-0.030899,38.30941
-0.098087,-0.347913,-0.06975,38.306469
-0.443903,-0.451223,-0.069035,38.315292
-0.110626,-0.12009,-0.068914,38.312351
-0.071352,0.046453,0.047498,38.318233
-0.121327,-0.370485,-0.07029,38.321175
-0.428199,-0.390671,-0.030159,38.303528
-0.073168,-0.249368,-0.153078,38.318233
-0.582045,0.172353,-0.038047,38.303528
-0.576807,0.035597,0.045665,38.30941
-0.442218,-0.307025,-0.060666,38.315292
-0.527036,-0.306365,0.00669,38.321175
0.041611,-0.197293,-0.074092,38.338825
-0.636657,0.172709,0.075831,38.335884
-0.554682,-0.101132,-0.04648,38.327061
-0.08296,-0.340482,-0.038793,38.318233
-0.589328,0.225519,-0.007294,38.318233
-0.155314,-0.635877,-0.056852,38.297646
-0.608171,-0.093083,-0.047441,38.294704
-0.000353,-0.477812,-0.045555,38.335884
-0.474282,0.209397,-0.051179,38.297646
-0.307944,-0.596616,-0.059519,38.306469
-0.591889,0.02059,-0.000645,38.338825
-0.039111,-0.523015,-0.054151,38.306469
-0.497293,0.194428,-0.066999,38.306469
-0.289863,-0.346314,-0.027366,38.324116
-0.147546,-0.643511,-0.079722,38.312351
-0.438242,0.087558,0.033178,38.321175
-0.466209,0.277598,-0.00475,38.30941
-0.344766,-0.505177,-0.098075,38.312351
-0.176801,-0.514244,-0.056682,38.327061
-0.306414,0.147256,-0.071315,38.315292
-0.450981,-0.398036,-0.061257,38.315292
-0.141176,-0.119821,-0.077143,38.306469
-0.245753,0.116352,-0.047348,38.294704
-0.525841,-0.253182,-0.054315,38.277058
-0.52787,-0.397415,-0.024392,38.30941
-0.088723,-0.196198,-0.053543,38.294704
-0.17089,-0.00576,-0.023544,38.327061
-0.517514,-0.169795,-0.01547,38.303528
-0.038645,-0.439583,0.007527,38.303528
-0.475182,0.141083,-0.043857,38.321175
0.010789,-0.174309,-0.020942,38.312351
-0.601066,-0.093204,0.013968,38.300587
-0.107244,-0.499607,-0.108932,38.297646
-0.567449,0.141829,0.000381,38.306469
-0.079757,-0.127908,-0.106672,38.300587
-0.515022,0.035127,-0.01446,38.321175
-0.016147,-0.523212,-0.053723,38.291763
-0.497823,0.156473,-0.059527,38.291763
-0.066496,-0.234371,-0.022668,38.300587
-0.659083,0.059253,-0.139593,38.285881
-0.154322,-0.559973,-0.064137,38.312351
-0.469222,0.125686,0.124695,38.285881
-0.005008,-0.242451,-0.059856,38.291763
-0.577087,-0.009914,0.014808,38.288822
-0.122963,-0.476776,-0.032521,38.294704
-0.412466,0.284735,-0.011372,38.300587
-0.690492,0.157982,0.082415,38.30941
-0.182431,-0.41543,-0.148239,38.294704
-0.300069,0.101577,0.012846,38.312351
-0.290641,0.207815,-0.040097,38.318233
-0.520759,0.209736,0.009232,38.303528
-0.154966,-0.590359,-0.033653,38.28294
-0.346548,0.079174,0.042511,38.303528
-0.282963,0.215333,-0.032258,38.306469
-0.46877,0.072668,0.001899,38.318233
-0.177743,-0.552241,-0.00326,38.294704
-0.275978,0.154556,-0.040073,38.28294
-0.420564,-0.352836,0.02378,38.318233
-0.492354,0.050062,0.039651,38.28294
-0.132488,-0.636087,-0.041107,38.285881
-0.359738,0.208385,-0.018405,38.28294
-0.481871,-0.37506,-0.000449,38.306469
-0.214475,-0.475954,-0.072525,38.294704
-0.192735,-0.5824,-0.080279,38.297646
-0.390247,0.155595,-0.10348,38.300587
-0.406161,-0.489507,-0.06085,38.300587
-0.237048,-0.460557,-0.095854,38.318233
-0.238259,0.10869,-0.039584,38.297646
-0.246418,0.101124,0.006186,38.294704
-0.451598,-0.398098,0.007668,38.279999
-0.201395,-0.013067,-0.047127,38.291763
-0.421051,-0.421109,-0.014849,38.291763
-0.051139,-0.219336,-0.006991,38.279999
-0.638693,-0.039748,0.013517,38.321175
-0.239436,0.017606,-0.032374,38.321175
-0.412634,-0.352874,-0.006711,38.303528
-0.179373,-0.051261,0.006723,38.327061
-0.471314,-0.192903,-0.075993,38.30941
-0.495403,-0.223141,0.007672,38.312351
-0.059786,-0.295175,0.000151,38.306469
-0.584928,-0.047769,-0.016156,38.318233
-0.610198,-0.214574,0.013228,38.297646
-0.473409,-0.314401,-0.007666,38.303528
-0.13403,-0.173001,-0.092578,38.297646
-0.469807,0.00434,0.024538,38.318233
-0.530908,-0.017863,-0.022666,38.303528
-0.457804,-0.329663,-0.061064,38.288822
-0.474101,-0.359953,0.007427,38.315292
-0.614692,0.028383,-0.008694,38.312351
-0.030185,-0.401666,-0.030435,38.300587
-0.497135,-0.382504,-0.016088,38.303528
-0.117471,-0.036558,-0.04567,38.303528
-0.042405,-0.181391,-0.075587,38.294704
-0.585023,-0.078101,-0.046939,38.30941
-0.473414,-0.359884,-0.069157,38.30941
-0.126854,-0.150373,-0.008081,38.294704
-0.577366,-0.055425,-0.01605,38.306469
-0.562637,-0.131419,-0.054431,38.321175
-0.434289,-0.307063,-0.091157,38.324116
-0.149036,-0.119776,-0.05431,38.30941
-0.111938,-0.188446,-0.015641,38.306469
-0.585733,-0.085752,0.021949,38.321175
-0.36763,-0.429165,-0.006229,38.297646
-0.104631,-0.234029,-0.038698,38.318233
-0.545969,-0.048029,-0.092026,38.338825
-0.145306,-0.453775,-0.071129,38.297646
-0.444796,-0.451312,0.030524,38.318233
-0.111225,-0.158052,-0.053784,38.303528
-0.670255,-0.100224,0.035622,38.327061
-0.069592,-0.522739,-0.070039,38.300587
-0.429404,-0.534821,-0.092136,38.306469
-0.287531,-0.148988,-0.018736,38.321175
-0.524082,-0.063494,0.007886,38.330002
-0.563051,-0.154202,-0.039226,38.30941
-0.436176,-0.405799,-0.015059,38.315292
-0.179468,-0.081592,-0.02406,38.324116
-0.639781,-0.168725,-0.040728,38.335884
-0.068673,-0.492325,-0.131156,38.30941
-0.338098,-0.535663,-0.029157,38.341766
-0.049804,-0.143398,-0.052568,38.338825
-0.58712,-0.22234,-0.009357,38.324116
-0.060692,-0.431714,-0.084764,38.335884
-0.388134,-0.322595,-0.136326,38.321175
-0.179517,-0.119499,-0.070198,38.30941
-0.593272,-0.070514,0.02954,38.341766
-0.029842,-0.401631,-0.068727,38.353531
-0.17161,-0.104379,-0.077638,38.341766
-0.576909,-0.062959,-0.077355,38.318233
-0.137138,-0.355243,0.006083,38.341766
-0.536927,0.088493,-0.060577,38.338825
-0.193787,-0.028298,-0.062376,38.335884
-0.540984,-0.199971,-0.00073,38.335884
-0.046138,-0.431921,-0.000237,38.338825
-0.474701,0.141131,-0.097466,38.318233
-0.63224,-0.161222,-0.017572,38.332943
-0.075428,-0.423945,-0.138621,38.344707
-0.475475,0.178956,0.040572,38.347649
-0.44565,0.034585,-0.066785,38.341766
-0.656674,-0.214235,0.073639,38.324116
-0.113233,-0.317443,-0.04691,38.338825
-0.029799,-0.431949,-0.114827,38.356472
-0.523135,0.019986,0.015956,38.332943
-0.524136,-0.146885,-0.099742,38.353531
-0.525121,-0.154564,-0.000221,38.35059
-0.02133,-0.303065,-0.029807,38.330002
-0.507921,-0.010477,-0.014542,38.365295
-0.546937,-0.11635,-0.077046,38.353531
-0.556175,-0.161926,0.037463,38.365295
-0.042635,-0.188995,-0.060308,38.374119
-0.475506,0.103148,-0.059361,38.374119
-0.563834,-0.207344,-0.024171,38.359413
-0.122201,-0.408475,-0.024527,38.359413
-0.082825,-0.36321,-0.084856,38.356472
-0.523898,-0.048315,0.007961,38.365295
-0.571304,-0.192098,-0.024239,38.371178
-0.013013,-0.310645,-0.113944,38.353531
-0.492771,0.004537,0.02411,38.359413
-0.477073,-0.003136,-0.029251,38.362354
-0.563377,-0.214878,-0.085475,38.362354
0.041334,-0.220062,-0.074204,38.380001
-0.567773,0.103894,-0.015123,38.371178
-0.568149,0.00531,-0.107509,38.382942
-0.548478,-0.192309,-0.008494,38.368237
-0.096816,-0.226498,-0.046176,38.362354
-0.476339,0.012098,-0.090443,38.368237
-0.153513,-0.476506,-0.04075,38.37706
-0.49642,-0.32937,-0.023485,38.382942
-0.03588,-0.257375,-0.052843,38.371178
-0.55323,-0.010021,-0.084323,38.391766
-0.05442,-0.522884,-0.054437,38.359413
-0.580088,-0.267951,-0.00178,38.374119
-0.05797,-0.219188,-0.099034,38.380001
