t1,t2,t3,t4
23.820999,23.547916,23.6443,23.580048
23.837051,23.547916,23.628235,23.580048
23.837051,23.515783,23.628235,23.580048
23.837051,23.563982,23.6443,23.580048
23.837051,23.531849,23.6443,23.596104
23.820999,23.547916,23.6443,23.596104
23.820999,23.547916,23.6443,23.596104
23.853115,23.547916,23.6443,23.596104
23.853115,23.547916,23.6443,23.596104
23.837051,23.547916,23.6443,23.580048
23.820999,23.547916,23.6443,23.580048
23.837051,23.547916,23.628235,23.596104
23.837051,23.547916,23.6443,23.580048
23.820999,23.547916,23.6443,23.580048
23.820999,23.547916,23.628235,23.596104
23.820999,23.531849,23.6443,23.580048
23.820999,23.547916,23.628235,23.580048
23.837051,23.531849,23.628235,23.596104
23.837051,23.547916,23.628235,23.580048
23.820999,23.547916,23.6443,23.580048
23.837051,23.563982,23.628235,23.580048
23.837051,23.515783,23.628235,23.580048
23.837051,23.563982,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.820999,23.531849,23.6443,23.596104
23.820999,23.515783,23.6443,23.596104
23.820999,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.820999,23.531849,23.6443,23.580048
23.820999,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.563982
23.837051,23.547916,23.628235,23.580048
23.820999,23.531849,23.628235,23.612169
23.820999,23.547916,23.628235,23.580048
23.820999,23.531849,23.628235,23.580048
23.804935,23.531849,23.628235,23.580048
23.820999,23.547916,23.628235,23.596104
23.820999,23.531849,23.628235,23.612169
23.820999,23.531849,23.628235,23.596104
23.837051,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.6443,23.580048
23.820999,23.531849,23.628235,23.596104
23.820999,23.531849,23.628235,23.580048
23.804935,23.531849,23.628235,23.580048
23.820999,23.515783,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.804935,23.531849,23.612169,23.596104
23.804935,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.596104
23.820999,23.547916,23.6443,23.596104
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.804935,23.547916,23.612169,23.580048
23.804935,23.531849,23.628235,23.596104
23.820999,23.531849,23.628235,23.580048
23.820999,23.563982,23.628235,23.580048
23.804935,23.515783,23.628235,23.596104
23.820999,23.531849,23.628235,23.596104
23.820999,23.547916,23.612169,23.580048
23.837051,23.531849,23.628235,23.580048
23.820999,23.547916,23.628235,23.580048
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.580048
23.820999,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.820999,23.547916,23.628235,23.580048
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.6443,23.580048
23.804935,23.531849,23.612169,23.580048
23.804935,23.531849,23.628235,23.580048
23.804935,23.580048,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.820999,23.531849,23.612169,23.580048
23.804935,23.531849,23.628235,23.580048
23.820999,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.580048
23.804935,23.547916,23.628235,23.580048
23.820999,23.547916,23.612169,23.596104
23.804935,23.531849,23.628235,23.580048
23.820999,23.531849,23.628235,23.596104
23.820999,23.547916,23.628235,23.580048
23.804935,23.547916,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.820999,23.563982,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.531849,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.580048
23.804935,23.531849,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.531849,23.628235,23.580048
23.804935,23.531849,23.628235,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.6443,23.596104
23.820999,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.612169,23.596104
23.820999,23.563982,23.628235,23.596104
23.788872,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.580048
23.804935,23.547916,23.628235,23.612169
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.612169,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.563982,23.612169,23.596104
23.820999,23.547916,23.628235,23.612169
23.804935,23.580048,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.820999,23.563982,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.612169
23.804935,23.563982,23.628235,23.596104
23.804935,23.547916,23.628235,23.580048
23.820999,23.580048,23.612169,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.6443,23.596104
23.820999,23.563982,23.612169,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.547916,23.628235,23.612169
23.804935,23.531849,23.6443,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.531849,23.612169,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.820999,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.596104
23.804935,23.547916,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.820999,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.612169,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.612169
23.804935,23.580048,23.628235,23.596104
23.804935,23.563982,23.6443,23.612169
23.804935,23.563982,23.628235,23.596104
23.788872,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.596104
23.804935,23.547916,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.547916,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.820999,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.788872,23.580048,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.820999,23.580048,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.820999,23.563982,23.628235,23.612169
23.804935,23.580048,23.6443,23.612169
23.788872,23.547916,23.6443,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.563982,23.628235,23.596104
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.788872,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.563982,23.6443,23.612169
23.804935,23.563982,23.628235,23.612169
23.788872,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.788872,23.563982,23.6443,23.628235
23.804935,23.580048,23.628235,23.628235
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.563982,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.628235
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.628235
23.804935,23.580048,23.628235,23.612169
23.820999,23.580048,23.628235,23.612169
23.804935,23.580048,23.628235,23.612169
