theta,phi,temp
1.162912,1.570909,23.46875
8.4e-05,0.004901,23.4375
1.162912,1.570909,23.46875
0.814841,2.368205,23.46875
1.162912,1.570909,23.4375
1.162912,1.570909,23.46875
1.268726,0.762009,23.46875
1.268726,0.762009,23.4375
8.4e-05,0.004901,23.46875
0.0,0.0,23.46875
0.0,0.0,23.4375
0.0,0.0,23.46875
0.0,0.0,23.46875
1.162912,1.570909,23.4375
1.162912,1.570909,23.4375
1.165034,-0.000253,23.46875
1.162912,1.570909,23.46875
0.0,0.0,23.4375
8.4e-05,0.004901,23.46875
0.824454,0.762009,23.4375
1.268726,0.762009,23.46875
1.162912,1.570909,23.4375
1.162912,1.570909,23.46875
0.0,0.0,23.46875
1.162912,1.570909,23.46875
1.268726,0.762009,23.4375
0.828456,1.574858,23.4375
0.828456,1.574858,23.4375
1.162912,1.570909,23.4375
1.183551,1.892547,23.4375
0.824454,0.762009,23.4375
1.275687,2.356194,23.4375
1.165034,-0.000253,23.4375
0.0,0.0,23.46875
0.0,0.0,23.4375
1.275687,3.926991,23.4375
1.162912,1.570909,23.4375
1.162912,1.570909,23.4375
1.275687,2.356194,23.4375
1.165034,-0.000253,23.46875
1.268726,0.762009,23.4375
0.0,0.0,23.4375
1.268726,0.762009,23.4375
1.268726,0.762009,23.4375
1.275687,5.497787,23.4375
1.162912,1.570909,23.4375
0.824454,0.762009,23.4375
0.0,0.0,23.4375
1.268726,0.762009,23.4375
1.183551,1.892547,23.4375
1.162912,1.570909,23.4375
0.0,0.0,23.4375
1.268726,0.762009,23.4375
1.162912,1.570909,23.4375
1.165034,-0.000253,23.4375
1.165034,-0.000253,23.4375
1.268726,0.762009,23.4375
1.183551,1.892547,23.4375
0.0,0.0,23.4375
8.4e-05,0.004901,23.4375
8.4e-05,0.004901,23.4375
1.165034,-0.000253,23.40625
1.162912,1.570909,23.4375
1.275687,3.926991,23.4375
8.4e-05,0.004901,23.40625
1.018671,0.756407,23.40625
1.268726,0.762009,23.4375
1.268726,0.762009,23.4375
1.162912,1.570909,23.40625
1.183551,1.892547,23.4375
1.268726,0.762009,23.4375
1.275687,2.356194,23.40625
0.0,0.0,23.4375
1.162912,1.570909,23.40625
1.162912,1.570909,23.4375
1.275687,2.356194,23.40625
0.0,0.0,23.40625
1.268726,0.762009,23.4375
8.4e-05,0.004901,23.40625
1.165034,-0.000253,23.4375
0.824454,0.762009,23.40625
0.824454,0.762009,23.4375
1.268726,0.762009,23.40625
1.275687,5.497787,23.40625
1.275687,2.356194,23.40625
1.165034,-0.000253,23.40625
1.165034,-0.000253,23.4375
1.275687,5.497787,23.40625
1.193501,1.243066,23.40625
0.0,0.0,23.4375
1.162912,1.570909,23.40625
0.0,0.0,23.40625
1.268726,0.762009,23.4375
1.165034,-0.000253,23.40625
1.268726,0.762009,23.40625
1.162431,-5.2e-05,23.40625
0.0,0.0,23.40625
0.814841,2.368205,23.40625
0.814841,2.368205,23.40625
0.814841,2.368205,23.40625
1.268726,0.762009,23.40625
0.0,0.0,23.40625
1.268726,0.762009,23.40625
1.162912,1.570909,23.40625
0.823357,3.148723,23.40625
1.138298,0.324486,23.4375
1.162912,1.570909,23.40625
0.814841,2.368205,23.40625
1.162912,1.570909,23.40625
1.162912,1.570909,23.40625
8.4e-05,0.004901,23.4375
0.0,0.0,23.40625
1.275687,2.356194,23.40625
0.837031,5.506919,23.40625
0.0,0.0,23.40625
1.275687,2.356194,23.40625
1.138298,0.324486,23.40625
1.268726,0.762009,23.40625
1.162912,1.570909,23.375
8.4e-05,0.004901,23.40625
1.275687,2.356194,23.40625
1.275687,3.926991,23.40625
1.268726,0.762009,23.40625
1.275687,5.497787,23.4375
1.203711,2.034444,23.40625
1.268726,0.762009,23.40625
1.165034,-0.000253,23.375
1.162912,1.570909,23.375
1.162912,1.570909,23.40625
0.0,0.0,23.40625
1.268726,0.762009,23.375
1.183551,1.892547,23.40625
8.4e-05,0.004901,23.40625
1.268726,0.762009,23.40625
1.183551,1.892547,23.40625
1.275687,5.497787,23.40625
1.268726,0.762009,23.40625
1.268726,0.762009,23.40625
0.0,0.0,23.375
1.165034,-0.000253,23.40625
0.0,0.0,23.375
1.162912,1.570909,23.375
1.162912,1.570909,23.40625
1.275687,5.497787,23.40625
0.828456,1.574858,23.40625
1.183551,1.892547,23.40625
1.268726,0.762009,23.40625
0.0,0.0,23.40625
1.268726,0.762009,23.375
