x,y,z,temp
0.021558,0.076093,-0.027224,23.197647
0.074099,-0.038178,-0.065078,23.209412
0.074655,0.030102,-0.034108,23.20647
0.104542,0.037347,0.0584,23.23
0.113115,0.067695,-0.002574,23.203529
0.029414,0.030565,-0.111548,23.209412
0.075117,0.068051,-0.033921,23.221176
0.034289,-0.068325,0.064251,23.197647
0.097365,0.014719,-0.026097,23.200588
0.083458,0.068054,-0.110362,23.20647
0.058011,-0.045705,0.011183,23.197647
0.075204,0.030157,-0.095375,23.200588
0.090973,0.045233,-0.125649,23.20647
0.097136,0.007116,-0.010817,23.194706
0.052657,0.075879,-0.080262,23.203529
0.118923,-0.084165,-0.003179,23.191765
0.021949,0.091293,-0.050125,23.194706
0.074998,0.030137,-0.0724,23.197647
0.157333,-0.084479,-0.017783,23.18
0.029116,0.022954,-0.08861,23.191765
0.097614,-0.015578,-0.095172,23.20647
0.118831,-0.091754,-0.003217,23.197647
0.112904,0.022191,-0.041091,23.191765
0.089801,-0.000367,-0.056948,23.197647
0.090703,0.090689,-0.033524,23.177059
0.058354,-0.045671,-0.027109,23.174118
0.013302,0.015455,-0.042983,23.197647
0.053417,0.121438,-0.103013,23.191765
0.087723,-0.182507,-0.073162,23.174118
0.104696,-0.023281,-0.041458,23.191765
0.043206,-0.037943,-0.035015,23.185883
0.065668,-0.023029,0.042071,23.185883
0.050146,-0.091143,-0.027476,23.194706
0.0273,-0.053032,0.010575,23.177059
0.081715,0.037558,0.042656,23.18
0.104075,-0.046085,-0.003278,23.185883
0.1272,-0.038685,-0.010471,23.200588
0.073434,-0.053405,-0.011544,23.182941
0.105366,0.03743,-0.0335,23.197647
0.005811,0.045859,-0.020001,23.188824
0.073133,-0.083757,-0.019352,23.185883
0.119659,-0.046189,-0.033626,23.15353
0.050955,-0.007677,-0.00409,23.197647
0.051459,-4.6e-05,-0.050003,23.191765
0.089872,0.022381,-0.03386,23.182941
0.073803,-0.023046,-0.011395,23.177059
0.058955,0.015033,-0.011493,23.171177
0.150834,0.021829,-0.002085,23.194706
0.05153,0.022703,-0.026915,23.18
0.035412,-0.060633,-0.050587,23.174118
-0.001493,0.114184,0.033802,23.188824
0.0587,-0.022895,-0.034655,23.177059
0.066127,-0.007822,0.011512,23.168236
0.1044,-0.00815,0.012226,23.185883
0.050979,-9.4e-05,0.003606,23.165295
0.058079,-0.045698,0.003524,23.185883
0.051135,-0.037981,-0.065506,23.182941
0.066633,0.022551,-0.003655,23.191765
0.112746,0.037337,-0.002724,23.18
0.075138,0.052892,-0.056971,23.177059
0.074013,0.022458,0.027121,23.165295
0.058354,-0.045671,-0.027109,23.171177
0.097136,0.007116,-0.010817,23.177059
0.090056,0.037561,-0.033786,23.165295
0.052264,0.037937,-0.088107,23.174118
0.021423,0.098821,0.018838,23.156471
0.05923,0.015061,-0.042127,23.165295
0.074563,0.022513,-0.034146,23.165295
0.074032,-0.015443,-0.026674,23.141766
0.081985,-0.007898,-0.049469,23.159412
0.105709,0.037464,-0.071792,23.150589
0.081431,-0.053436,-0.049694,23.185883
0.134902,-0.023585,0.005063,23.156471
0.111586,-0.114389,-0.080055,23.147648
0.112559,-0.000585,-0.033544,23.162354
0.073296,-0.053419,0.003772,23.15353
0.128284,0.044809,-0.017718,23.144707
0.089455,-0.023143,-0.049401,23.147648
0.034036,-0.083512,0.071835,23.144707
0.105804,0.067795,-0.041009,23.135881
0.09688,-0.030812,-0.033979,23.15353
0.082539,0.03764,-0.049245,23.144707
0.090743,0.037629,-0.110369,23.150589
0.143198,-0.016006,-0.056024,23.150589
0.066539,-0.007781,-0.034438,23.150589
0.035369,-0.030315,-0.004487,23.135881
0.043921,0.015192,-0.042412,23.144707
0.057731,-0.091216,-0.019675,23.127058
0.127385,-0.023506,-0.010396,23.129999
0.066312,0.007358,0.011587,23.15353
0.097758,0.052661,-0.018251,23.147648
0.089065,-0.038343,-0.026501,23.127058
0.075185,0.068058,-0.04158,23.144707
0.044198,0.037961,-0.0423,23.124117
0.035414,-0.037891,-0.019841,23.138824
0.120398,0.014529,-0.033327,23.121176
0.144349,0.044753,-0.101675,23.112352
0.044032,-0.015119,-0.09617,23.129999
0.006204,0.0838,-0.012155,23.13294
0.097867,-0.000392,-0.102755,23.109411
0.158233,-0.016165,-0.025105,23.124117
0.050354,-0.068381,-0.019706,23.156471
0.066058,-0.007829,0.019171,23.150589
0.127039,-0.046282,-0.00285,23.097647
0.126187,-0.09943,0.019864,23.121176
0.081384,-0.068602,-0.065085,23.135881
0.127572,0.014416,0.020424,23.103529
0.013693,0.030655,-0.065883,23.150589
0.058494,-0.022915,-0.01168,23.121176
0.06474,-0.144409,-0.019794,23.138824
0.098634,0.113392,-0.033269,23.147648
0.050839,-0.022849,-0.011823,23.112352
0.172112,-0.122566,-0.010026,23.138824
0.006704,0.045948,-0.11956,23.112352
0.096558,-0.046005,-0.018737,23.138824
0.088833,-0.068688,-0.041967,23.127058
0.051575,0.015127,-0.042269,23.138824
0.027411,-0.083343,-0.043183,23.159412
0.104786,-0.038433,-0.072166,23.124117
0.059048,0.022623,-0.011456,23.138824
0.127428,-0.053823,-0.056496,23.13294
0.103749,-0.106761,-0.049527,23.10647
0.083254,0.090775,-0.056642,23.121176
0.066745,-0.00776,-0.057413,23.13294
0.005281,0.007903,-0.012529,23.118235
0.111822,-0.038561,-0.003098,23.121176
0.104767,-0.000533,-0.01837,23.103529
-0.017867,-0.00708,-0.013032,23.118235
0.097256,0.067772,0.058407,23.097647
0.037376,0.129076,-0.01136,23.129999
0.134325,-0.076706,-0.002857,23.129999
0.181634,0.014004,-0.032186,23.138824
0.005787,0.038276,-0.027697,23.103529
0.088766,-0.045954,-0.003563,23.100588
0.106424,0.090599,-0.079189,23.109411
