mx,my,mz
-132.051285,-773.076965,-192.307693
-116.666672,-764.1026,-191.02565
-126.92308,-776.923096,-191.02565
-132.051285,-775.641052,-188.461548
-132.051285,-771.794922,-188.461548
-119.230774,-771.794922,-188.461548
-130.769241,-764.1026,-189.743591
-128.205139,-770.512817,-193.589752
-132.051285,-776.923096,-183.333344
-120.512825,-770.512817,-189.743591
-126.92308,-771.794922,-184.615387
-120.512825,-769.230774,-185.897446
-132.051285,-766.666687,-188.461548
-128.205139,-778.205139,-187.179489
-123.076927,-767.94873,-191.02565
-137.179489,-770.512817,-188.461548
-126.92308,-774.359009,-192.307693
-128.205139,-770.512817,-187.179489
-125.641029,-775.641052,-189.743591
-144.871796,-776.923096,-193.589752
-125.641029,-769.230774,-192.307693
-135.897446,-775.641052,-185.897446
-125.641029,-770.512817,-187.179489
-130.769241,-775.641052,-188.461548
-117.948723,-770.512817,-191.02565
-130.769241,-776.923096,-188.461548
-128.205139,-770.512817,-185.897446
-130.769241,-769.230774,-192.307693
-123.076927,-775.641052,-191.02565
-130.769241,-774.359009,-187.179489
-120.512825,-766.666687,-188.461548
-135.897446,-778.205139,-187.179489
-128.205139,-769.230774,-193.589752
-129.487183,-775.641052,-191.02565
-117.948723,-770.512817,-183.333344
-139.743591,-774.359009,-189.743591
-120.512825,-773.076965,-188.461548
-132.051285,-773.076965,-188.461548
-116.666672,-767.94873,-189.743591
-138.461548,-774.359009,-200.0
-126.92308,-766.666687,-198.717957
-125.641029,-776.923096,-193.589752
-124.358978,-775.641052,-188.461548
-132.051285,-773.076965,-185.897446
-126.92308,-771.794922,-192.307693
-129.487183,-769.230774,-189.743591
-115.384621,-770.512817,-189.743591
-133.333344,-775.641052,-193.589752
-126.92308,-769.230774,-185.897446
-119.230774,-770.512817,-187.179489
-125.641029,-770.512817,-185.897446
-135.897446,-776.923096,-188.461548
-123.076927,-764.1026,-188.461548
-132.051285,-771.794922,-185.897446
-124.358978,-775.641052,-189.743591
-135.897446,-776.923096,-191.02565
-132.051285,-775.641052,-193.589752
-123.076927,-774.359009,-187.179489
-125.641029,-778.205139,-193.589752
-135.897446,-769.230774,-185.897446
-130.769241,-773.076965,-193.589752
-128.205139,-774.359009,-185.897446
-117.948723,-769.230774,-187.179489
-135.897446,-776.923096,-188.461548
-125.641029,-767.94873,-191.02565
-133.333344,-765.384644,-191.02565
-126.92308,-773.076965,-192.307693
-133.333344,-773.076965,-188.461548
-126.92308,-767.94873,-187.179489
-126.92308,-770.512817,-185.897446
-124.358978,-769.230774,-194.871796
-130.769241,-770.512817,-191.02565
-129.487183,-774.359009,-185.897446
-125.641029,-767.94873,-193.589752
-125.641029,-774.359009,-197.435898
-124.358978,-773.076965,-185.897446
-135.897446,-775.641052,-191.02565
-130.769241,-770.512817,-187.179489
-128.205139,-765.384644,-191.02565
-133.333344,-778.205139,-189.743591
-130.769241,-769.230774,-187.179489
-120.512825,-771.794922,-182.051285
-125.641029,-766.666687,-191.02565
-126.92308,-776.923096,-187.179489
-130.769241,-767.94873,-188.461548
-132.051285,-774.359009,-191.02565
-132.051285,-774.359009,-189.743591
-128.205139,-778.205139,-191.02565
-128.205139,-775.641052,-188.461548
-141.02565,-773.076965,-189.743591
-135.897446,-778.205139,-187.179489
-132.051285,-778.205139,-189.743591
-130.769241,-771.794922,-187.179489
-130.769241,-769.230774,-191.02565
-134.615387,-774.359009,-185.897446
-126.92308,-775.641052,-197.435898
-126.92308,-774.359009,-185.897446
-132.051285,-774.359009,-194.871796
-133.333344,-773.076965,-185.897446
-130.769241,-769.230774,-187.179489
-119.230774,-766.666687,-184.615387
-137.179489,-774.359009,-189.743591
-134.615387,-770.512817,-189.743591
-126.92308,-767.94873,-193.589752
-134.615387,-774.359009,-187.179489
-132.051285,-775.641052,-188.461548
-138.461548,-770.512817,-192.307693
-137.179489,-774.359009,-192.307693
-119.230774,-769.230774,-192.307693
-129.487183,-776.923096,-184.615387
-125.641029,-766.666687,-192.307693
-133.333344,-776.923096,-189.743591
-138.461548,-776.923096,-188.461548
-130.769241,-773.076965,-183.333344
-123.076927,-771.794922,-187.179489
-130.769241,-778.205139,-188.461548
-134.615387,-774.359009,-191.02565
-133.333344,-778.205139,-187.179489
-117.948723,-770.512817,-189.743591
-135.897446,-776.923096,-191.02565
-128.205139,-775.641052,-192.307693
-129.487183,-778.205139,-187.179489
-123.076927,-770.512817,-191.02565
-137.179489,-769.230774,-191.02565
-123.076927,-773.076965,-192.307693
-126.92308,-775.641052,-192.307693
-121.794876,-769.230774,-189.743591
-129.487183,-771.794922,-188.461548
-130.769241,-767.94873,-194.871796
-121.794876,-767.94873,-187.179489
-121.794876,-771.794922,-187.179489
-124.358978,-771.794922,-187.179489
-132.051285,-770.512817,-185.897446
-129.487183,-773.076965,-193.589752
-121.794876,-775.641052,-189.743591
-132.051285,-771.794922,-191.02565
-119.230774,-769.230774,-189.743591
-132.051285,-775.641052,-185.897446
-124.358978,-775.641052,-200.0
-137.179489,-774.359009,-185.897446
-138.461548,-774.359009,-192.307693
-125.641029,-774.359009,-193.589752
-126.92308,-775.641052,-192.307693
-134.615387,-773.076965,-197.435898
-123.076927,-769.230774,-189.743591
-137.179489,-775.641052,-192.307693
-121.794876,-774.359009,-191.02565
-130.769241,-776.923096,-191.02565
-124.358978,-775.641052,-191.02565
-129.487183,-773.076965,-191.02565
-125.641029,-776.923096,-187.179489
-133.333344,-778.205139,-196.153854
-134.615387,-771.794922,-187.179489
-134.615387,-778.205139,-187.179489
-116.666672,-773.076965,-187.179489
-133.333344,-773.076965,-188.461548
-125.641029,-764.1026,-188.461548
-133.333344,-761.538513,-194.871796
-126.92308,-762.820557,-187.179489
-126.92308,-774.359009,-183.333344
-132.051285,-771.794922,-187.179489
-124.358978,-769.230774,-191.02565
-129.487183,-776.923096,-189.743591
-129.487183,-774.359009,-188.461548
-135.897446,-775.641052,-183.333344
-124.358978,-774.359009,-189.743591
-126.92308,-770.512817,-191.02565
-124.358978,-779.487183,-185.897446
-138.461548,-764.1026,-187.179489
-114.10257,-774.359009,-187.179489
-129.487183,-773.076965,-193.589752
-128.205139,-770.512817,-188.461548
-133.333344,-775.641052,-192.307693
-112.820518,-773.076965,-189.743591
-134.615387,-774.359009,-184.615387
-128.205139,-775.641052,-187.179489
-141.02565,-779.487183,-192.307693
-126.92308,-774.359009,-198.717957
-130.769241,-774.359009,-191.02565
-121.794876,-769.230774,-185.897446
-139.743591,-766.666687,-193.589752
-116.666672,-774.359009,-188.461548
-129.487183,-773.076965,-192.307693
-130.769241,-770.512817,-188.461548
-130.769241,-774.359009,-188.461548
-124.358978,-775.641052,-193.589752
-121.794876,-771.794922,-188.461548
-123.076927,-779.487183,-191.02565
-132.051285,-770.512817,-188.461548
-125.641029,-778.205139,-189.743591
-123.076927,-776.923096,-192.307693
-134.615387,-771.794922,-184.615387
-126.92308,-775.641052,-192.307693
-125.641029,-778.205139,-188.461548
-119.230774,-774.359009,-185.897446
-129.487183,-766.666687,-184.615387
-126.92308,-775.641052,-187.179489
-129.487183,-776.923096,-192.307693
-129.487183,-771.794922,-187.179489
-132.051285,-773.076965,-192.307693
-130.769241,-769.230774,-189.743591
-137.179489,-776.923096,-193.589752
-126.92308,-773.076965,-187.179489
-134.615387,-773.076965,-191.02565
-124.358978,-773.076965,-189.743591
-135.897446,-775.641052,-189.743591
-132.051285,-773.076965,-192.307693
-135.897446,-773.076965,-185.897446
-125.641029,-774.359009,-184.615387
-134.615387,-775.641052,-187.179489
-124.358978,-770.512817,-185.897446
-137.179489,-767.94873,-191.02565
-114.10257,-770.512817,-182.051285
-137.179489,-770.512817,-196.153854
-126.92308,-769.230774,-184.615387
-133.333344,-769.230774,-189.743591
-119.230774,-776.923096,-192.307693
-137.179489,-770.512817,-189.743591
-128.205139,-778.205139,-187.179489
-129.487183,-770.512817,-189.743591
-123.076927,-770.512817,-187.179489
-130.769241,-773.076965,-189.743591
-126.92308,-776.923096,-188.461548
-132.051285,-775.641052,-189.743591
-132.051285,-769.230774,-192.307693
-124.358978,-776.923096,-187.179489
-124.358978,-769.230774,-192.307693
-135.897446,-776.923096,-188.461548
-137.179489,-776.923096,-188.461548
-123.076927,-776.923096,-189.743591
-120.512825,-774.359009,-188.461548
-132.051285,-774.359009,-188.461548
-129.487183,-771.794922,-191.02565
-130.769241,-770.512817,-182.051285
-124.358978,-774.359009,-187.179489
-137.179489,-771.794922,-189.743591
-119.230774,-771.794922,-191.02565
-132.051285,-773.076965,-187.179489
-129.487183,-771.794922,-193.589752
-138.461548,-776.923096,-192.307693
-126.92308,-770.512817,-188.461548
-129.487183,-774.359009,-191.02565
-130.769241,-774.359009,-184.615387
-134.615387,-767.94873,-191.02565
-124.358978,-767.94873,-188.461548
-123.076927,-771.794922,-187.179489
-124.358978,-767.94873,-188.461548
-135.897446,-770.512817,-192.307693
-124.358978,-771.794922,-194.871796
-134.615387,-774.359009,-189.743591
-125.641029,-774.359009,-189.743591
-129.487183,-773.076965,-187.179489
-123.076927,-767.94873,-188.461548
-135.897446,-773.076965,-184.615387
-126.92308,-774.359009,-188.461548
-133.333344,-776.923096,-188.461548
-125.641029,-769.230774,-193.589752
-134.615387,-775.641052,-185.897446
-128.205139,-775.641052,-189.743591
-137.179489,-773.076965,-188.461548
-123.076927,-774.359009,-185.897446
-126.92308,-766.666687,-188.461548
-126.92308,-771.794922,-185.897446
-125.641029,-778.205139,-189.743591
-132.051285,-774.359009,-189.743591
-133.333344,-779.487183,-187.179489
-126.92308,-775.641052,-180.769241
-135.897446,-779.487183,-191.02565
-124.358978,-775.641052,-191.02565
-123.076927,-775.641052,-194.871796
-126.92308,-770.512817,-187.179489
-132.051285,-778.205139,-180.769241
-130.769241,-773.076965,-191.02565
-119.230774,-775.641052,-188.461548
-129.487183,-774.359009,-193.589752
-125.641029,-771.794922,-201.282059
-139.743591,-774.359009,-194.871796
-123.076927,-766.666687,-191.02565
-132.051285,-776.923096,-194.871796
-124.358978,-776.923096,-188.461548
-129.487183,-774.359009,-191.02565
-115.384621,-774.359009,-188.461548
-135.897446,-771.794922,-191.02565
-120.512825,-774.359009,-185.897446
-134.615387,-769.230774,-191.02565
-120.512825,-767.94873,-184.615387
-141.02565,-771.794922,-192.307693
-124.358978,-773.076965,-184.615387
-132.051285,-771.794922,-185.897446
-123.076927,-774.359009,-192.307693
-129.487183,-771.794922,-203.846161
-117.948723,-767.94873,-193.589752
-142.307693,-767.94873,-191.02565
-119.230774,-775.641052,-196.153854
-135.897446,-766.666687,-189.743591
-125.641029,-769.230774,-192.307693
-137.179489,-770.512817,-185.897446
-126.92308,-775.641052,-197.435898
-134.615387,-766.666687,-188.461548
-115.384621,-778.205139,-194.871796
-134.615387,-771.794922,-185.897446
-129.487183,-774.359009,-193.589752
-134.615387,-769.230774,-196.153854
-124.358978,-776.923096,-188.461548
-130.769241,-769.230774,-191.02565
-138.461548,-769.230774,-191.02565
-123.076927,-769.230774,-194.871796
-126.92308,-775.641052,-193.589752
-123.076927,-770.512817,-198.717957
-135.897446,-767.94873,-187.179489
-132.051285,-774.359009,-192.307693
-126.92308,-767.94873,-189.743591
-119.230774,-774.359009,-193.589752
-134.615387,-762.820557,-196.153854
-132.051285,-776.923096,-191.02565
-124.358978,-762.820557,-203.846161
-129.487183,-776.923096,-184.615387
-137.179489,-764.1026,-193.589752
-134.615387,-775.641052,-188.461548
-123.076927,-779.487183,-197.435898
-132.051285,-769.230774,-185.897446
-124.358978,-775.641052,-200.0
-135.897446,-766.666687,-185.897446
-129.487183,-774.359009,-196.153854
-130.769241,-769.230774,-184.615387
-129.487183,-776.923096,-201.282059
-134.615387,-762.820557,-187.179489
-124.358978,-774.359009,-197.435898
-129.487183,-771.794922,-194.871796
-129.487183,-773.076965,-194.871796
-116.666672,-775.641052,-194.871796
-129.487183,-771.794922,-185.897446
-116.666672,-766.666687,-189.743591
-132.051285,-771.794922,-182.051285
-124.358978,-779.487183,-197.435898
-132.051285,-767.94873,-187.179489
-124.358978,-775.641052,-193.589752
-141.02565,-770.512817,-188.461548
-134.615387,-778.205139,-197.435898
-125.641029,-767.94873,-192.307693
-123.076927,-773.076965,-196.153854
-129.487183,-769.230774,-187.179489
-125.641029,-776.923096,-188.461548
-132.051285,-773.076965,-192.307693
-119.230774,-765.384644,-189.743591
-129.487183,-767.94873,-206.410263
-130.769241,-766.666687,-185.897446
-130.769241,-776.923096,-200.0
-128.205139,-769.230774,-185.897446
-132.051285,-775.641052,-194.871796
-116.666672,-769.230774,-185.897446
-132.051285,-776.923096,-196.153854
-125.641029,-762.820557,-189.743591
-132.051285,-776.923096,-197.435898
-124.358978,-767.94873,-196.153854
-126.92308,-775.641052,-189.743591
-128.205139,-769.230774,-201.282059
-133.333344,-778.205139,-189.743591
-125.641029,-775.641052,-193.589752
-129.487183,-773.076965,-183.333344
-115.384621,-769.230774,-202.564102
-132.051285,-770.512817,-188.461548
-128.205139,-774.359009,-196.153854
-132.051285,-765.384644,-193.589752
-119.230774,-771.794922,-194.871796
-126.92308,-767.94873,-192.307693
-119.230774,-774.359009,-194.871796
-130.769241,-770.512817,-194.871796
-117.948723,-774.359009,-192.307693
-134.615387,-770.512817,-192.307693
-124.358978,-776.923096,-187.179489
-119.230774,-773.076965,-200.0
-128.205139,-767.94873,-185.897446
-134.615387,-773.076965,-201.282059
-125.641029,-770.512817,-193.589752
-124.358978,-775.641052,-202.564102
-128.205139,-774.359009,-185.897446
-137.179489,-779.487183,-197.435898
-129.487183,-767.94873,-200.0
-130.769241,-771.794922,-197.435898
-117.948723,-760.256409,-188.461548
-125.641029,-771.794922,-191.02565
-126.92308,-774.359009,-189.743591
-132.051285,-779.487183,-188.461548
-123.076927,-769.230774,-203.846161
-137.179489,-774.359009,-189.743591
-128.205139,-773.076965,-201.282059
-132.051285,-766.666687,-189.743591
-112.820518,-773.076965,-192.307693
-137.179489,-761.538513,-184.615387
-120.512825,-778.205139,-196.153854
-134.615387,-766.666687,-193.589752
-129.487183,-773.076965,-194.871796
-134.615387,-766.666687,-189.743591
-133.333344,-771.794922,-184.615387
-133.333344,-769.230774,-192.307693
-124.358978,-766.666687,-185.897446
-132.051285,-782.051331,-197.435898
-117.948723,-764.1026,-187.179489
-137.179489,-775.641052,-196.153854
-115.384621,-764.1026,-191.02565
-125.641029,-770.512817,-197.435898
-119.230774,-764.1026,-196.153854
-129.487183,-776.923096,-185.897446
-132.051285,-773.076965,-198.717957
-124.358978,-767.94873,-184.615387
-117.948723,-779.487183,-198.717957
-117.948723,-767.94873,-185.897446
-129.487183,-773.076965,-196.153854
-123.076927,-767.94873,-184.615387
-125.641029,-776.923096,-192.307693
-124.358978,-761.538513,-196.153854
-132.051285,-778.205139,-192.307693
-124.358978,-760.256409,-192.307693
-132.051285,-767.94873,-182.051285
-117.948723,-774.359009,-205.128204
-134.615387,-765.384644,-182.051285
-130.769241,-769.230774,-203.846161
-134.615387,-773.076965,-189.743591
-116.666672,-774.359009,-194.871796
-130.769241,-766.666687,-196.153854
-133.333344,-775.641052,-198.717957
-133.333344,-767.94873,-192.307693
-129.487183,-765.384644,-187.179489
-117.948723,-771.794922,-196.153854
-132.051285,-778.205139,-196.153854
-132.051285,-773.076965,-194.871796
-129.487183,-769.230774,-176.92308
-130.769241,-776.923096,-194.871796
-130.769241,-769.230774,-182.051285
-130.769241,-776.923096,-198.717957
-125.641029,-767.94873,-183.333344
-129.487183,-778.205139,-191.02565
-135.897446,-765.384644,-191.02565
-133.333344,-778.205139,-196.153854
-124.358978,-767.94873,-198.717957
-129.487183,-775.641052,-189.743591
-124.358978,-761.538513,-201.282059
-132.051285,-767.94873,-182.051285
-124.358978,-769.230774,-200.0
-120.512825,-771.794922,-183.333344
-133.333344,-769.230774,-203.846161
-138.461548,-765.384644,-191.02565
-123.076927,-778.205139,-194.871796
-124.358978,-767.94873,-185.897446
-124.358978,-776.923096,-193.589752
-133.333344,-769.230774,-192.307693
-121.794876,-771.794922,-189.743591
-129.487183,-769.230774,-196.153854
-133.333344,-765.384644,-188.461548
-117.948723,-776.923096,-196.153854
-135.897446,-761.538513,-187.179489
-125.641029,-775.641052,-198.717957
-124.358978,-765.384644,-188.461548
-120.512825,-775.641052,-191.02565
-130.769241,-769.230774,-196.153854
-132.051285,-770.512817,-191.02565
