mx,my,mz,temp
203.733337,440.666656,99.066666,33.25
193.866669,438.133301,98.26667,33.25
201.733337,441.06665,98.533333,33.246094
197.46666,438.666656,98.666672,33.25
206.266663,441.06665,99.066666,33.246094
192.53334,437.200012,97.333336,33.246094
205.066666,441.199982,99.466667,33.246094
192.933334,438.133301,96.800003,33.246094
199.733337,440.0,98.666672,33.246094
195.599991,438.93335,98.666672,33.246094
202.933334,440.800018,99.599998,33.246094
192.266678,438.0,98.133331,33.242188
194.0,438.266663,98.26667,33.242188
198.399994,440.0,98.800003,33.246094
200.0,439.333344,98.533333,33.242188
195.599991,438.93335,98.533333,33.242188
192.266678,438.0,97.466667,33.242188
203.199997,440.800018,98.400002,33.242188
195.599991,438.266663,98.666672,33.246094
199.866653,440.93335,98.26667,33.242188
195.733337,438.133301,97.866669,33.242188
204.533325,441.199982,99.599998,33.238281
192.399994,437.866669,97.466667,33.242188
203.866669,441.333344,98.533333,33.238281
196.53334,439.599976,98.133331,33.242188
201.066666,440.400024,98.133331,33.238281
193.733337,438.666656,97.466667,33.238281
203.333344,440.800018,99.333336,33.238281
203.46666,441.466675,98.666672,33.238281
195.466675,438.266663,98.800003,33.238281
200.0,440.800018,98.400002,33.238281
197.333344,439.06665,98.800003,33.238281
204.400009,441.333344,99.333336,33.238281
192.53334,437.866669,97.333336,33.238281
205.200012,441.199982,99.466667,33.238281
192.53334,438.0,97.733337,33.238281
199.599991,438.666656,98.533333,33.238281
197.333344,440.0,98.0,33.238281
200.0,439.866669,98.800003,33.238281
193.866669,438.800018,98.400002,33.234375
191.866669,437.866669,97.600006,33.234375
203.46666,441.06665,98.666672,33.234375
193.066681,438.266663,98.400002,33.234375
201.200012,440.93335,99.333336,33.234375
194.533325,438.399994,98.26667,33.230469
204.266663,440.93335,99.866669,33.234375
193.066681,437.866669,97.600006,33.234375
204.933334,441.333344,100.0,33.234375
198.399994,440.266693,98.133331,33.234375
200.533325,439.599976,98.800003,33.230469
195.466675,438.93335,98.666672,33.234375
203.333344,440.800018,100.133331,33.234375
202.266678,441.333344,98.533333,33.234375
196.266663,438.399994,99.199997,33.230469
199.733337,440.0,99.066666,33.230469
199.733337,439.199982,98.800003,33.230469
