x,y,z,temp
-0.915076,-0.773606,-0.048712,39.094707
0.336101,0.035571,-0.151754,39.062351
0.019114,0.448124,-0.102119,39.062351
-1.079048,-0.430598,-0.080802,39.085884
0.33052,-0.389495,-0.107897,39.082943
-0.97457,0.600824,-0.081664,39.085884
0.310832,-0.131233,-0.122371,39.094707
-1.101377,0.29064,-0.024212,39.074116
-0.052749,-1.076923,-0.141265,39.094707
-0.223641,0.624794,-0.113483,39.088825
-0.69875,0.63639,-0.053366,39.094707
-0.526961,-1.019755,-0.119216,39.071175
0.071268,0.364136,-0.055581,39.074116
-1.045244,-0.157644,-0.063568,39.068233
-0.437273,0.717666,-0.071079,39.082943
-0.679842,-0.972939,-0.083553,39.112354
0.276441,0.233346,-0.060023,39.088825
-1.074407,-0.020787,-0.040491,39.077061
-1.050272,-0.537171,-0.019487,39.109413
0.308915,-0.305776,-0.146206,39.10059
-0.929239,0.585209,-0.034932,39.088825
-0.298015,-1.067275,-0.099843,39.091766
-1.072421,0.153763,-0.024314,39.082943
0.071637,-0.948914,-0.176639,39.085884
-0.467335,0.786209,-0.040679,39.091766
-0.656485,-0.935194,-0.07528,39.085884
-0.984158,0.486989,-0.0211,39.094707
-0.158571,-0.931841,-0.096602,39.094707
-0.162612,0.601507,-0.120112,39.077061
-0.928104,-0.614057,-0.086504,39.077061
-0.631931,-0.821524,-0.097266,39.071175
0.213886,0.097291,-0.100129,39.121178
-1.165965,-0.035131,-0.095886,39.103531
0.103275,-0.820206,-0.114166,39.109413
0.360996,-0.435254,-0.153501,39.088825
-0.883638,0.524139,-0.080326,39.080002
-0.983495,0.479474,-0.10538,39.091766
-0.143932,-0.992684,-0.104274,39.10059
0.22759,-0.714945,-0.172627,39.094707
-0.620152,0.787549,-0.074166,39.082943
-0.641773,-0.950546,-0.029119,39.109413
0.199801,0.203671,-0.092233,39.10059
-0.176025,-1.091115,-0.074697,39.080002
-0.290501,0.792358,-0.113944,39.109413
-0.876091,-0.743541,-0.086141,39.088825
-1.085748,0.28296,-0.069915,39.071175
-0.026608,0.448538,-0.12595,39.080002
-1.033904,-0.484133,-0.064891,39.106472
0.294964,-0.222124,-0.184372,39.062351
-0.983789,0.517347,-0.020951,39.085884
-1.167625,-0.149005,-0.065814,39.085884
-0.423621,0.626404,-0.009975,39.106472
-0.724455,-0.881448,-0.106935,39.10059
0.287641,-0.115898,-0.076774,39.112354
-0.450713,-1.028021,-0.094851,39.088825
0.045443,0.129052,-0.057168,39.088825
-1.170941,-0.354009,0.025078,39.103531
-0.714468,0.659221,0.023045,39.097649
-1.007842,0.388567,-0.075623,39.085884
-0.089706,-0.962757,-0.133759,39.094707
-0.315396,0.701396,-0.022921,39.085884
-0.375646,0.732341,-0.092838,39.103531
-0.783759,0.553645,-0.078321,39.071175
-0.306522,-1.120358,-0.077272,39.094707
-0.087333,0.524919,-0.080767,39.097649
-0.973849,-0.621225,-0.118031,39.10059
-0.695471,-0.965259,-0.037851,39.085884
0.221425,0.082052,-0.10772,39.106472
0.252131,0.043896,-0.168603,39.094707
-1.11782,0.16937,-0.063388,39.10059
-1.047116,-0.339763,-0.102757,39.106472
0.298304,-0.571324,-0.178291,39.118237
-0.813774,0.637353,-0.032531,39.112354
-0.290592,-1.097686,-0.115167,39.103531
-0.006062,-1.031758,-0.16316,39.097649
-0.399371,0.664238,-0.101261,39.130001
-0.82507,-0.94893,-0.078493,39.121178
-1.031653,0.381099,0.008154,39.106472
0.148612,0.333238,-0.184497,39.109413
-1.131883,-0.278454,0.041481,39.112354
0.180512,-0.77531,-0.127831,39.121178
-0.715649,0.522655,-0.031237,39.118237
-1.047149,0.343309,-0.022952,39.10059
-0.068077,-1.038892,-0.087755,39.112354
-0.331307,0.640823,-0.038822,39.124119
-0.947475,-0.947873,-0.088434,39.115295
-0.890438,0.600095,-0.072436,39.103531
-0.041496,0.539677,-0.049203,39.10059
-1.054932,-0.347294,-0.095279,39.115295
0.415984,-0.337026,-0.174992,39.109413
0.251141,-0.009266,-0.130573,39.109413
-1.099216,0.389403,-0.130943,39.112354
-0.038728,-1.137828,-0.080012,39.121178
-0.096899,-0.924742,-0.133715,39.124119
0.228745,-0.608702,-0.156787,39.121178
-0.659416,0.711973,-0.067595,39.115295
-0.451703,-1.081184,-0.056821,39.118237
0.104448,0.568803,-0.06166,39.103531
-0.028192,-0.940512,-0.132506,39.115295
-0.292205,0.686061,-0.068518,39.121178
-0.924047,-0.88738,-0.057074,39.097649
-1.085562,0.320881,-0.039094,39.12706
-1.145232,-0.134097,0.018931,39.091766
0.233635,-0.790976,-0.096274,39.115295
-0.746431,0.492579,-0.054932,39.12706
-0.45779,-0.974835,-0.087074,39.141766
-0.028701,-0.993627,-0.148084,39.121178
-0.30825,0.648216,-0.038356,39.109413
0.373612,-0.033058,-0.159036,39.10059
-1.070158,0.351082,-0.008026,39.12706
-1.108005,-0.29372,-0.080699,39.124119
0.236378,-0.593609,-0.133594,39.103531
0.300311,-0.411933,-0.185164,39.094707
-0.776384,0.508069,-0.109036,39.106472
-1.086139,0.26776,-0.047014,39.124119
0.070209,-1.032442,-0.1311,39.109413
-0.498902,0.68025,-0.080065,39.112354
-0.747348,-0.858502,-0.084276,39.10059
-0.915523,0.44847,-0.042978,39.138824
-0.113361,-1.008112,-0.119095,39.112354
-0.95116,-0.621449,-0.086969,39.168236
0.319107,-0.108496,-0.160408,39.109413
-0.51257,-1.0503,-0.057813,39.094707
0.137847,0.128319,-0.116723,39.130001
-1.159229,-0.065611,-0.034626,39.132942
0.179565,-0.85879,-0.135901,39.109413
0.430301,-0.413062,-0.167422,39.112354
-0.851403,0.668068,-0.063728,39.112354
-0.335618,-1.006236,-0.092599,39.115295
-0.087956,0.479374,-0.073333,39.121178
0.126078,-0.827999,-0.106117,39.091766
-0.731506,-0.797936,-0.060717,39.106472
-1.15854,-0.0428,-0.080464,39.118237
0.110972,-0.850589,-0.160123,39.112354
-0.940871,-0.371095,-0.039643,39.124119
0.308086,-0.351342,-0.115797,39.106472
-0.993084,0.365639,-0.044816,39.130001
-0.088252,-0.848904,-0.140857,39.103531
-1.148526,0.207526,-0.002504,39.094707
0.20087,-0.97286,-0.1054,39.130001
-0.42199,0.687211,-0.109235,39.106472
-0.678729,-0.836379,-0.021613,39.118237
-0.297556,-1.052068,-0.130402,39.124119
-0.048717,0.524625,-0.118346,39.106472
-1.034875,-0.575196,-0.080656,39.106472
-0.838423,0.493352,-0.041327,39.12706
-1.097209,-0.012994,-0.04854,39.109413
0.078669,-0.994525,-0.169062,39.132942
-0.52193,0.725923,-0.011344,39.106472
-0.617334,-0.852049,-0.058838,39.118237
-0.984669,0.411133,-0.067424,39.106472
-0.08936,-0.93998,-0.141306,39.12706
-0.276366,0.723885,-0.075704,39.097649
-0.800005,-0.759404,-0.054155,39.103531
-0.798832,0.629605,-0.001649,39.112354
-0.238161,-1.158904,-0.068517,39.106472
-0.226292,0.435016,-0.076126,39.103531
-1.011211,-0.438874,0.027662,39.130001
-0.739575,-0.820654,-0.045655,39.10059
0.33488,-0.047936,-0.12919,39.109413
-1.125446,0.222502,0.005657,39.130001
0.118423,-0.827934,-0.106259,39.118237
-1.027656,-0.582886,-0.042259,39.109413
0.294858,-0.14633,-0.069123,39.115295
-1.123647,0.359131,-0.008987,39.121178
0.064055,-0.903358,-0.122949,39.121178
0.368215,-0.442944,-0.115104,39.10059
-0.982568,0.600855,-0.043515,39.141766
-0.396284,-1.020815,-0.178057,39.132942
-0.034698,0.440979,-0.087838,39.121178
0.06318,-0.964089,-0.107931,39.124119
-0.428974,0.747987,-0.10142,39.12706
0.274455,0.058796,-0.0762,39.132942
-1.073187,0.039979,-0.093801,39.135883
-1.01989,-0.613262,-0.095874,39.121178
0.303523,-0.108392,-0.13006,39.109413
0.334399,-0.047985,-0.075582,39.135883
-1.018237,0.214007,-0.0077,39.10059
-0.955742,-0.340598,-0.047437,39.115295
0.33896,-0.313677,-0.092064,39.109413
-0.874805,0.637899,-0.056647,39.118237
-0.29815,-1.044547,-0.053781,39.12706
-1.071315,0.222098,-0.054612,39.097649
0.086072,-0.987035,-0.13059,39.124119
-0.406262,0.755346,-0.062663,39.112354
-0.756525,-0.972296,-0.069663,39.124119
-0.397709,-1.081602,-0.101773,39.115295
0.036037,0.569442,-0.116552,39.118237
-1.085685,-0.324304,-0.049787,39.124119
-1.071481,-0.39277,-0.019205,39.115295
-0.693238,-0.843748,-0.121494,39.118237
-1.106708,-0.141981,-0.018685,39.112354
0.204191,-0.722372,-0.1348,39.118237
-0.599217,0.64312,-0.043815,39.135883
0.388026,-0.05602,-0.089937,39.130001
-1.01591,0.36585,-0.060561,39.138824
-0.143612,-1.000232,-0.150262,39.121178
-0.131275,0.699862,-0.065447,39.097649
-0.576901,0.567053,-0.074395,39.121178
-0.695449,-0.980418,-0.0609,39.112354
0.231501,0.264161,-0.129655,39.109413
-1.12877,-0.050728,0.004311,39.150589
-0.163164,0.57871,-0.089591,39.106472
-0.867421,-0.66012,-0.085587,39.132942
0.427379,-0.018337,-0.157962,39.141766
-1.031937,0.290104,-0.084195,39.118237
-1.154688,-0.293402,0.002687,39.130001
0.321618,-0.503261,-0.123918,39.115295
-0.875749,0.57716,-0.033971,39.132942
-0.544249,-1.125949,-0.043441,39.132942
-0.135174,-0.947156,-0.165174,39.130001
-0.125097,0.578361,-0.065902,39.135883
-0.223364,0.647563,-0.113371,39.121178
-0.950232,-0.500069,-0.025104,39.124119
-0.732874,-0.972425,-0.145819,39.124119
0.292366,0.210535,-0.159409,39.138824
-1.105508,-0.043315,-0.018199,39.121178
0.205183,-0.646468,-0.142085,39.147648
-0.990581,-0.659139,-0.011286,39.118237
-1.007704,0.388581,-0.09094,39.144707
0.008947,-1.062242,-0.170683,39.115295
-0.321926,0.731896,-0.107156,39.135883
-0.652384,0.666362,-0.060018,39.135883
-0.571255,-0.935813,-0.188586,39.138824
0.177505,0.241837,-0.115449,39.12706
-1.104456,-0.05837,-0.156124,39.124119
-0.116983,0.593503,-0.096318,39.12706
-0.927507,-0.598836,-0.132379,39.135883
0.335526,0.005192,-0.128929,39.132942
-1.117406,0.192153,-0.078592,39.112354
-1.023525,-0.248931,-0.048272,39.135883
0.351862,-0.579366,-0.184988,39.121178
-0.844624,0.607271,-0.048568,39.112354
-0.487883,-0.9821,-0.156607,39.124119
-0.963181,0.312242,-0.036849,39.124119
-0.065244,-0.856677,-0.155783,39.147648
-0.354043,0.625882,-0.085275,39.141766
-0.863639,-0.93347,-0.025523,39.15353
-0.46768,-1.119022,-0.034318,39.12706
-0.268202,-1.105521,-0.061167,39.138824
-0.041796,0.509325,-0.057011,39.138824
-0.845367,0.501069,-0.110358,39.124119
0.298174,0.058675,-0.160014,39.144707
-1.010701,0.176027,-0.046036,39.135883
0.101109,-0.964452,-0.068926,39.138824
-0.567443,0.749099,-0.027404,39.124119
-0.811842,0.728512,-0.123982,39.150589
-0.28854,-0.945871,-0.137394,39.12706
-0.117812,0.547937,-0.065909,39.144707
-1.010941,-0.48433,-0.064463,39.135883
-0.593591,-0.844587,-0.134957,39.156471
-0.496016,-0.959341,-0.072396,39.150589
0.094713,0.363987,-0.108762,39.150589
-1.040541,-0.377839,-0.033876,39.141766
-0.725329,-0.919438,-0.061172,39.15353
-1.127712,0.002441,-0.041378,39.144707
0.236793,-0.570826,-0.148799,39.130001
-0.545109,0.635132,-0.111779,39.130001
0.375174,-0.534045,-0.16136,39.150589
-0.735872,0.697477,-0.09973,39.141766
0.040922,0.341684,-0.117531,39.132942
0.196098,-0.752672,-0.127434,39.112354
-0.897672,-0.65224,-0.116754,39.144707
0.296515,-0.055198,-0.129941,39.121178
-1.024214,0.290046,-0.091711,39.132942
0.033806,-0.872737,-0.12337,39.138824
-1.054347,-0.225948,0.004878,39.135883
0.313367,-0.518416,-0.078185,39.144707
-0.804971,0.675305,-0.108785,39.15353
-0.48163,-1.035369,-0.072484,39.135883
-0.12004,-0.8715,-0.041981,39.18
-0.276576,0.678381,-0.11422,39.156471
-0.854394,-0.819669,-0.047795,39.147648
0.305805,0.051027,-0.167567,39.118237
-0.382005,-1.02105,-0.062896,39.135883
0.057294,0.440206,-0.101443,39.159412
-1.126633,-0.521336,-0.020839,39.159412
0.299871,-0.46504,-0.208401,39.144707
-0.757005,-0.972344,-0.016054,39.121178
0.291954,0.210494,-0.113458,39.118237
-1.074932,-0.013259,0.028472,39.138824
0.149018,-0.835779,-0.113384,39.150589
0.321528,-0.488109,-0.093209,39.124119
-0.939471,0.440988,0.056115,39.135883
-0.187788,-0.878375,-0.181153,39.150589
-0.132385,0.586044,-0.096641,39.147648
0.142855,-0.797662,-0.228216,39.162354
-0.559909,0.688378,-0.096486,39.156471
-0.703703,-1.018315,-0.045913,39.130001
0.140752,0.333283,-0.161664,39.150589
-0.200026,0.723208,-0.051302,39.150589
-0.814388,-0.660634,-0.023321,39.150589
-1.047407,0.282639,-0.07686,39.147648
0.030928,-1.047376,-0.039987,39.141766
-1.048354,-0.362628,0.004348,39.150589
0.256665,-0.813908,-0.13425,39.12706
-0.668411,0.590616,-0.083653,39.141766
-0.696441,-1.056322,-0.053616,39.138824
-0.31321,-1.074713,-0.123141,39.132942
-0.147767,0.540685,-0.150759,39.150589
-1.037086,-0.711866,-0.020062,39.138824
0.395402,-0.101596,-0.120652,39.138824
-0.481791,-1.042966,-0.064863,39.150589
0.133634,0.439529,-0.077041,39.156471
-1.114663,-0.172267,-0.026635,39.124119
0.280479,-0.783698,-0.187281,39.141766
0.323509,-0.359043,-0.138524,39.132942
-0.282748,-1.037089,-0.053458,39.150589
0.003004,0.455755,-0.002808,39.144707
-1.01011,-0.416023,-0.064126,39.138824
-0.412576,0.876833,-0.046891,39.150589
-0.679191,-0.874327,-0.0218,39.159412
0.275378,0.134694,-0.075826,39.174118
-1.081374,-0.020653,-0.117217,39.124119
-0.078942,0.562829,-0.111071,39.138824
-0.97218,-0.416385,-0.025121,39.15353
0.302553,-0.199455,-0.145825,39.135883
-1.006824,0.494796,-0.044466,39.165295
-1.157729,0.063408,-0.026332,39.15353
0.06913,-1.070452,-0.062361,39.141766
0.178602,-0.881628,-0.059429,39.138824
-0.581396,0.81001,-0.096316,39.162354
-0.913911,0.547178,-0.088442,39.138824
-0.205419,-0.984603,-0.067086,39.144707
-0.231899,0.541414,-0.159987,39.156471
-0.988597,-0.507331,-0.025855,39.132942
-0.68711,-1.003157,-0.168087,39.165295
0.162747,0.264765,-0.146256,39.156471
-1.080811,0.115852,0.00599,39.130001
0.180121,-0.79051,-0.104931,39.138824
-0.990353,-0.674277,-0.057311,39.147648
0.363768,-0.184821,-0.121634,39.12706
-1.083348,0.480293,-0.068943,39.147648
0.041115,-0.895578,-0.115681,39.135883
0.336188,-0.56411,-0.123931,39.132942
-0.705874,0.674411,-0.06098,39.156471
-0.365983,-0.990788,-0.100753,39.156471
0.110389,0.371473,-0.139073,39.18
0.008374,-1.069879,-0.117111,39.165295
-0.860597,-0.728493,-0.085781,39.15353
0.326182,-0.184424,-0.198931,39.135883
-1.015726,0.381029,-0.060486,39.144707
0.117539,0.363777,-0.093017,39.144707
-1.12156,-0.149385,-0.080275,39.150589
0.275664,-0.533192,-0.163215,39.141766
-0.920623,0.58524,-0.142007,39.182941
-1.137814,-0.209992,-0.057884,39.15353
0.171911,-0.858724,-0.136044,39.147648
-0.506368,0.740978,-0.018642,39.150589
-0.801643,-0.888436,-0.047132,39.168236
-0.85862,0.698499,-0.071379,39.168236
-0.421156,-1.104195,-0.079338,39.156471
0.075046,0.60709,-0.146285,39.144707
-1.148356,-0.475532,-0.097627,39.18
-0.853681,-0.789276,-0.085937,39.147648
0.237489,0.081997,-0.191677,39.182941
-1.08701,0.252512,0.029495,39.168236
0.181592,-0.7373,-0.19657,39.162354
-1.033831,-0.438643,-0.011058,39.177059
0.421563,-0.49649,-0.160317,39.159412
-0.930347,0.494133,-0.035381,39.162354
-0.31367,-1.08992,-0.092582,39.168236
0.056382,-0.865392,-0.069296,39.15353
-0.383414,0.739976,-0.069968,39.171177
-0.800719,-0.812539,-0.046759,39.177059
0.373941,0.050361,-0.082041,39.144707
-0.381749,-0.983122,-0.039734,39.174118
-1.109892,-0.392455,-0.004602,39.188824
0.306747,-0.472764,-0.131712,39.147648
-0.319826,-0.983578,-0.115177,39.147648
0.01001,-0.963589,-0.15488,39.165295
-0.414131,0.664424,-0.162813,39.165295
-0.809155,-0.842874,-0.0011,39.159412
0.359044,0.050533,-0.128276,39.150589
-0.411617,-1.028267,-0.186038,39.171177
0.111615,0.500464,-0.100145,39.171177
-1.046558,-0.248741,-0.041042,39.150589
0.265633,-0.722876,-0.156634,39.182941
0.387172,-0.13191,-0.097969,39.174118
-1.117172,0.24524,-0.03238,39.177059
0.070671,-0.994493,-0.130913,39.165295
-0.399232,0.686993,-0.085832,39.165295
0.344929,-0.45794,-0.10029,39.177059
-0.899267,0.531819,-0.034623,39.165295
-0.145177,-1.083774,-0.089406,39.165295
-0.277033,0.685916,-0.052916,39.162354
-0.682891,0.636313,-0.114347,39.182941
-0.557279,-0.989141,-0.111978,39.171177
0.236367,0.074304,-0.076838,39.168236
-1.073715,0.024765,-0.055584,39.182941
-1.101778,-0.377314,-0.035018,39.162354
0.368838,-0.397399,-0.122538,39.174118
-0.814006,0.607008,-0.047997,39.165295
-0.274407,-1.037086,-0.129899,39.168236
0.157108,-0.828221,-0.151496,39.162354
-0.444229,0.831509,0.005923,39.191765
-0.670641,-0.851562,-0.09047,39.168236
0.17665,0.165947,-0.123481,39.174118
-0.39729,-1.013336,-0.055486,39.156471
-0.040968,0.554891,-0.08742,39.177059
-1.056454,-0.461154,-0.080523,39.174118
0.302063,-0.29047,-0.215199,39.162354
0.277518,0.248615,-0.159507,39.165295
0.11075,-0.789968,-0.052607,39.188824
-0.577519,0.566991,-0.005469,39.156471
-0.54992,-0.974075,-0.058152,39.159412
-1.032046,0.343157,0.000309,39.168236
0.025941,-0.918175,-0.162029,39.159412
-0.446217,0.634218,-0.040999,39.141766
-0.73967,-0.850985,-0.076438,39.159412
-0.403496,-0.944901,-0.124217,39.165295
0.056946,0.394688,-0.124642,39.15353
-0.042584,0.4107,-0.103447,39.185883
-1.100649,-0.301396,-0.057619,39.165295
0.357519,-0.086068,-0.144266,39.182941
-0.992397,0.365708,-0.1214,39.182941
-0.044628,-0.993557,-0.079444,39.182941
-0.29216,0.678485,-0.083872,39.165295
-0.876073,0.539226,-0.049475,39.165295
-0.312564,-1.021585,-0.122879,39.156471
-0.048421,0.509494,-0.172029,39.168236
0.034423,0.447992,-0.101834,39.18
-0.423258,0.588537,-0.102062,39.168236
-0.786518,-0.903747,-0.046922,39.194706
0.282685,0.08911,-0.098882,39.171177
-1.173703,0.048311,0.026916,39.168236
-0.009521,0.600194,-0.117259,39.159412
-1.067195,-0.658489,-0.005054,39.159412
