mx,my,mz
-103.846161,-723.076965,-215.384628
-107.692314,-737.179504,-214.10257
-106.410263,-726.923096,-221.794876
-108.974365,-732.051331,-219.230774
-105.128212,-726.923096,-216.666672
-111.538467,-725.641052,-211.538467
-107.692314,-729.487183,-224.358978
-107.692314,-729.487183,-208.974365
-102.564102,-725.641052,-220.512833
-105.128212,-729.487183,-211.538467
-107.692314,-726.923096,-223.076935
-110.256416,-724.359009,-210.256424
-111.538467,-733.333374,-217.94873
-107.692314,-725.641052,-211.538467
-106.410263,-733.333374,-217.94873
-108.974365,-733.333374,-212.820526
-105.128212,-732.051331,-216.666672
-108.974365,-729.487183,-211.538467
-110.256416,-732.051331,-223.076935
-103.846161,-728.205139,-212.820526
-103.846161,-734.615417,-220.512833
-107.692314,-724.359009,-215.384628
-102.564102,-729.487183,-219.230774
-108.974365,-728.205139,-211.538467
-101.282051,-735.897461,-223.076935
-108.974365,-721.794922,-214.10257
-105.128212,-732.051331,-226.92308
-114.10257,-721.794922,-212.820526
-111.538467,-732.051331,-224.358978
-106.410263,-728.205139,-214.10257
-108.974365,-721.794922,-220.512833
-107.692314,-725.641052,-216.666672
-105.128212,-732.051331,-217.94873
-110.256416,-730.769226,-216.666672
-102.564102,-729.487183,-212.820526
-112.820518,-726.923096,-216.666672
-108.974365,-732.051331,-214.10257
-106.410263,-724.359009,-219.230774
-108.974365,-723.076965,-216.666672
-102.564102,-726.923096,-216.666672
-108.974365,-728.205139,-210.256424
-107.692314,-728.205139,-214.10257
-105.128212,-729.487183,-216.666672
-107.692314,-728.205139,-219.230774
-106.410263,-728.205139,-214.10257
-102.564102,-734.615417,-221.794876
-105.128212,-724.359009,-214.10257
-103.846161,-735.897461,-216.666672
-102.564102,-725.641052,-210.256424
-105.128212,-730.769226,-224.358978
-116.666672,-726.923096,-217.94873
-108.974365,-728.205139,-212.820526
-106.410263,-728.205139,-216.666672
-107.692314,-728.205139,-207.692322
-101.282051,-733.333374,-223.076935
-105.128212,-728.205139,-212.820526
-107.692314,-726.923096,-217.94873
-111.538467,-728.205139,-208.974365
-106.410263,-726.923096,-212.820526
-105.128212,-728.205139,-210.256424
-105.128212,-728.205139,-217.94873
-107.692314,-732.051331,-211.538467
-105.128212,-726.923096,-221.794876
-116.666672,-732.051331,-217.94873
-111.538467,-726.923096,-221.794876
-107.692314,-737.179504,-220.512833
-112.820518,-726.923096,-217.94873
-103.846161,-733.333374,-214.10257
-101.282051,-723.076965,-219.230774
-114.10257,-732.051331,-212.820526
-105.128212,-726.923096,-214.10257
-106.410263,-737.179504,-216.666672
-105.128212,-725.641052,-219.230774
-112.820518,-726.923096,-212.820526
-106.410263,-725.641052,-214.10257
-105.128212,-726.923096,-215.384628
-110.256416,-728.205139,-216.666672
-103.846161,-726.923096,-219.230774
-112.820518,-733.333374,-214.10257
-103.846161,-728.205139,-223.076935
-106.410263,-730.769226,-208.974365
-107.692314,-729.487183,-219.230774
-110.256416,-728.205139,-220.512833
-111.538467,-726.923096,-215.384628
-112.820518,-729.487183,-214.10257
-108.974365,-728.205139,-221.794876
-108.974365,-728.205139,-214.10257
-112.820518,-732.051331,-214.10257
-107.692314,-728.205139,-217.94873
-101.282051,-726.923096,-215.384628
-107.692314,-728.205139,-220.512833
-108.974365,-729.487183,-216.666672
-98.717949,-732.051331,-217.94873
-110.256416,-726.923096,-221.794876
-106.410263,-721.794922,-220.512833
