theta,phi,temp
0.0,0.0,23.15625
0.0,0.0,23.1875
0.0,0.0,23.1875
0.0,0.0,23.1875
1.275687,5.497787,23.1875
0.0,0.0,23.21875
1.268726,0.762009,23.21875
1.268726,0.762009,23.25
0.0,0.0,23.21875
1.275687,2.356194,23.25
1.275687,2.356194,23.28125
1.275687,2.356194,23.28125
1.268726,0.762009,23.28125
1.275687,2.356194,23.3125
1.165034,-0.000253,23.3125
0.0,0.0,23.3125
0.0,0.0,23.34375
1.268726,0.762009,23.34375
1.268726,0.762009,23.34375
0.0,0.0,23.34375
0.0,0.0,23.34375
1.275687,2.356194,23.375
8.4e-05,0.004901,23.375
1.275687,5.497787,23.40625
1.162912,1.570909,23.40625
0.0,0.0,23.4375
0.0,0.0,23.46875
0.0,0.0,23.46875
0.0,0.0,23.5
1.268726,0.762009,23.5
1.268726,0.762009,23.53125
8.4e-05,0.004901,23.53125
1.165034,-0.000253,23.5625
1.275687,2.356194,23.59375
1.162912,1.570909,23.59375
1.268726,0.762009,23.59375
1.268726,0.762009,23.65625
1.268726,0.762009,23.65625
0.0,0.0,23.65625
1.268726,0.762009,23.65625
0.0,0.0,23.6875
1.268726,0.762009,23.71875
1.275687,5.497787,23.71875
1.162912,1.570909,23.75
1.268726,0.762009,23.75
0.0,0.0,23.78125
1.275687,2.356194,23.78125
1.275687,2.356194,23.8125
1.165034,-0.000253,23.84375
1.275687,2.356194,23.84375
0.0,0.0,23.875
0.0,0.0,23.875
0.0,0.0,23.90625
1.275687,5.497787,23.9375
1.275687,2.356194,23.9375
0.0,0.0,23.9375
0.0,0.0,23.96875
8.4e-05,0.004901,24.0
0.824454,0.762009,24.03125
1.275687,5.497787,24.03125
1.268726,0.762009,24.0625
1.268726,0.762009,24.0625
0.0,0.0,24.09375
8.4e-05,0.004901,24.125
1.275687,5.497787,24.125
0.0,0.0,24.15625
1.165034,-0.000253,24.15625
0.0,0.0,24.1875
1.162912,1.570909,24.21875
1.275687,5.497787,24.25
1.162431,-5.2e-05,24.28125
1.268726,0.762009,24.28125
1.275687,2.356194,24.3125
0.0,0.0,24.34375
1.268726,0.762009,24.375
1.275687,5.497787,24.375
0.0,0.0,24.375
1.162912,1.570909,24.40625
1.268726,0.762009,24.40625
0.0,0.0,24.4375
1.268726,0.762009,24.46875
1.268726,0.762009,24.5
1.183551,1.892547,24.5
0.0,0.0,24.53125
8.4e-05,0.004901,24.53125
8.4e-05,0.004901,24.59375
1.268726,0.762009,24.59375
0.0,0.0,24.625
1.275687,2.356194,24.625
1.275687,2.356194,24.65625
1.006796,2.371021,24.65625
0.0,0.0,24.6875
1.275687,2.356194,24.71875
1.275687,2.356194,24.75
0.0,0.0,24.78125
